original_event_time_msc,tick_index,time_msc,bid,ask,flags
1767391200005,229,1767391215336,4317.690000000000,4317.840000000000,4
1767391200005,230,1767391215386,4317.640000000000,4317.840000000000,130
1767391200005,231,1767391215486,4317.670000000000,4317.840000000000,130
1767391200005,232,1767391216021,4317.680000000000,4317.840000000000,130
1767391200005,233,1767391216095,4317.680000000000,4317.810000000000,4
1767391200005,234,1767391216125,4317.670000000000,4317.810000000000,130
1767391200005,235,1767391216144,4317.670000000000,4317.850000000000,4
1767391200005,236,1767391216228,4317.690000000000,4317.850000000000,130
1767391200005,237,1767391216288,4317.690000000000,4317.780000000000,4
1767391200005,238,1767391216331,4317.590000000000,4317.780000000000,130
1767391200005,239,1767391216590,4317.610000000000,4317.810000000000,134
1767391200005,240,1767391216631,4317.640000000000,4317.810000000000,130
1767391200005,241,1767391216640,4317.640000000000,4317.780000000000,4
1767391200005,242,1767391216833,4317.650000000000,4317.780000000000,130
1767391200005,243,1767391216838,4317.650000000000,4317.790000000000,4
1767391200005,244,1767391216889,4317.650000000000,4317.780000000000,4
1767391200005,245,1767391216934,4317.590000000000,4317.780000000000,130
1767391200005,246,1767391217091,4317.660000000000,4317.860000000000,134
1767391200005,247,1767391217133,4317.710000000000,4317.860000000000,130
1767391200005,248,1767391217192,4317.710000000000,4317.910000000000,4
1767391200005,249,1767391217234,4317.760000000000,4317.910000000000,130
1767391200005,250,1767391217301,4317.760000000000,4317.870000000000,4
1767391200005,251,1767391217334,4317.720000000000,4317.870000000000,130
1767391200005,252,1767391217396,4317.720000000000,4317.860000000000,4
1767391200005,253,1767391217434,4317.660000000000,4317.860000000000,130
1767391200005,254,1767391217443,4317.650000000000,4317.850000000000,134
1767391200005,255,1767391217537,4317.700000000000,4317.850000000000,130
1767391200005,256,1767391217635,4317.690000000000,4317.850000000000,130
1767391200005,257,1767391217643,4317.690000000000,4317.840000000000,4
1767391200005,258,1767391217736,4317.640000000000,4317.840000000000,130
1767391200005,259,1767391217897,4317.680000000000,4317.880000000000,134
1767391200005,260,1767391217989,4317.720000000000,4317.880000000000,130
1767391200005,261,1767391217993,4317.720000000000,4317.870000000000,4
1767391200005,262,1767391218089,4317.670000000000,4317.870000000000,130
1767391200005,263,1767391218096,4317.660000000000,4317.860000000000,134
1767391200005,264,1767391218146,4317.650000000000,4317.850000000000,134
1767391200005,265,1767391218191,4317.650000000000,4317.800000000000,4
1767391200005,266,1767391218195,4317.530000000000,4317.720000000000,134
1767391200005,267,1767391218292,4317.550000000000,4317.720000000000,130
1767391200005,268,1767391218392,4317.560000000000,4317.720000000000,130
1767391200005,269,1767391218400,4317.560000000000,4317.750000000000,4
1767391200005,270,1767391218492,4317.550000000000,4317.750000000000,130
1767391200005,271,1767391218542,4317.540000000000,4317.740000000000,134
1767391200005,272,1767391218596,4317.520000000000,4317.720000000000,134
1767391200005,273,1767391218652,4317.510000000000,4317.620000000000,134
1767391200005,274,1767391218695,4317.510000000000,4317.660000000000,4
1767391200005,275,1767391218699,4317.470000000000,4317.660000000000,130
1767391200005,276,1767391218744,4317.480000000000,4317.680000000000,134
1767391200005,277,1767391218795,4317.470000000000,4317.650000000000,134
1767391200005,278,1767391218809,4317.480000000000,4317.650000000000,130
1767391200005,279,1767391218899,4317.540000000000,4317.740000000000,134
1767391200005,280,1767391218947,4317.550000000000,4317.750000000000,134
1767391200005,281,1767391218996,4317.520000000000,4317.720000000000,134
1767391200005,282,1767391219145,4317.540000000000,4317.740000000000,134
1767391200005,283,1767391219206,4317.570000000000,4317.740000000000,130
1767391200005,284,1767391219892,4317.660000000000,4317.740000000000,130
1767391200005,285,1767391219893,4317.660000000000,4317.800000000000,4
1767391200005,286,1767391219944,4317.680000000000,4317.880000000000,134
1767391200005,287,1767391219999,4317.720000000000,4317.920000000000,134
1767391200005,288,1767391220043,4317.670000000000,4317.870000000000,134
1767391200005,289,1767391220099,4317.690000000000,4317.870000000000,130
1767391200005,290,1767391220149,4317.690000000000,4317.880000000000,4
1767391200005,291,1767391220194,4317.720000000000,4317.920000000000,134
1767391200005,292,1767391220247,4317.720000000000,4317.870000000000,4
1767391200005,293,1767391220295,4317.720000000000,4317.810000000000,4
1767391200005,294,1767391220299,4317.640000000000,4317.810000000000,130
1767391200005,295,1767391220346,4317.640000000000,4317.760000000000,4
1767391200005,296,1767391220397,4317.640000000000,4317.790000000000,4
1767391200005,297,1767391220400,4317.630000000000,4317.790000000000,130
1767391200005,298,1767391220444,4317.630000000000,4317.770000000000,4
1767391200005,299,1767391220501,4317.620000000000,4317.770000000000,130
1767391200005,300,1767391220934,4317.610000000000,4317.770000000000,130
1767391200005,301,1767391221035,4317.620000000000,4317.770000000000,130
1767391200005,302,1767391221100,4317.620000000000,4317.760000000000,4
1767391200005,303,1767391221543,4317.620000000000,4317.770000000000,4
1767391200005,304,1767391222295,4317.620000000000,4317.800000000000,4
1767391200005,305,1767391222544,4317.620000000000,4317.790000000000,4
1767391200005,306,1767391223247,4317.670000000000,4317.870000000000,134
1767391200005,307,1767391223348,4317.800000000000,4317.930000000000,134
1767391200005,308,1767391223402,4317.850000000000,4317.930000000000,130
1767391200005,309,1767391223406,4317.850000000000,4318.000000000000,4
1767391200005,310,1767391223449,4317.940000000000,4318.000000000000,130
1767391200005,311,1767391223499,4317.820000000000,4318.000000000000,130
1767391200005,312,1767391223507,4317.820000000000,4318.020000000000,4
1767391200005,313,1767391223548,4317.850000000000,4318.030000000000,134
1767391200005,314,1767391223600,4317.810000000000,4318.010000000000,134
1767391200005,315,1767391223651,4317.760000000000,4317.950000000000,134
1767391200005,316,1767391223704,4317.760000000000,4317.860000000000,4
1767391200005,317,1767391223709,4317.680000000000,4317.860000000000,130
1767391200005,318,1767391223749,4317.700000000000,4317.900000000000,134
1767391200005,319,1767391223851,4317.690000000000,4317.870000000000,134
1767391200005,320,1767391223902,4317.700000000000,4317.900000000000,134
1767391200005,321,1767391224614,4317.670000000000,4317.830000000000,134
1767391200005,322,1767391224634,4317.630000000000,4317.830000000000,130
1767391200005,323,1767391224653,4317.610000000000,4317.810000000000,134
1767391200005,324,1767391224754,4317.590000000000,4317.630000000000,134
1767391200005,325,1767391224803,4317.540000000000,4317.580000000000,134
1767391200005,326,1767391224834,4317.320000000000,4317.520000000000,134
1767391200005,327,1767391224852,4317.300000000000,4317.500000000000,134
1767391200005,328,1767391225003,4317.350000000000,4317.550000000000,134
1767391200005,329,1767391225101,4317.330000000000,4317.530000000000,134
1767391200005,330,1767391225204,4317.300000000000,4317.500000000000,134
1767391200005,331,1767391225303,4317.280000000000,4317.480000000000,134
1767391200005,332,1767391225357,4317.240000000000,4317.440000000000,134
1767391200005,333,1767391225455,4317.220000000000,4317.410000000000,134
1767391200005,334,1767391225505,4317.220000000000,4317.380000000000,4
1767391200005,335,1767391225538,4317.180000000000,4317.380000000000,130
1767391200005,336,1767391225604,4317.200000000000,4317.400000000000,134
1767391200005,337,1767391225656,4317.210000000000,4317.410000000000,134
1767391200005,338,1767391225903,4317.230000000000,4317.430000000000,134
1767391200005,339,1767391226007,4317.260000000000,4317.460000000000,134
1767391200005,340,1767391226056,4317.320000000000,4317.490000000000,134
1767391200005,341,1767391226081,4317.320000000000,4317.520000000000,4
1767391200005,342,1767391226107,4317.310000000000,4317.510000000000,134
1767391200005,343,1767391226204,4317.290000000000,4317.490000000000,134
1767391200005,344,1767391226254,4317.310000000000,4317.510000000000,134
1767391200005,345,1767391226457,4317.340000000000,4317.540000000000,134
1767391200005,346,1767391226583,4317.340000000000,4317.510000000000,4
1767391200005,347,1767391226603,4317.400000000000,4317.510000000000,130
1767391200005,348,1767391226653,4317.310000000000,4317.510000000000,130
1767391200005,349,1767391226805,4317.420000000000,4317.550000000000,134
1767391200005,350,1767391226854,4317.470000000000,4317.550000000000,130
1767391200005,351,1767391226884,4317.480000000000,4317.670000000000,134
1767391200005,352,1767391226956,4317.480000000000,4317.640000000000,4
1767391200005,353,1767391226987,4317.470000000000,4317.640000000000,130
1767391200005,354,1767391227057,4317.470000000000,4317.600000000000,4
1767391200005,355,1767391227086,4317.400000000000,4317.600000000000,130
1767391200005,356,1767391227106,4317.410000000000,4317.610000000000,134
1767391200005,357,1767391227157,4317.660000000000,4317.700000000000,134
1767391200005,358,1767391227187,4317.800000000000,4317.890000000000,134
1767391200005,359,1767391227206,4317.830000000000,4318.030000000000,134
1767391200005,360,1767391227258,4317.840000000000,4318.040000000000,134
1767391200005,361,1767391227320,4317.850000000000,4318.050000000000,134
1767391200005,362,1767391227359,4317.790000000000,4317.960000000000,134
1767391200005,363,1767391227389,4317.760000000000,4317.960000000000,130
1767391200005,364,1767391227413,4317.810000000000,4317.970000000000,134
1767391200005,365,1767391227657,4317.700000000000,4317.890000000000,134
1767391200005,366,1767391227690,4317.810000000000,4317.890000000000,130
1767391200005,367,1767391227708,4317.860000000000,4318.060000000000,134
1767391200005,368,1767391227757,4317.830000000000,4318.030000000000,134
1767391200005,369,1767391227790,4317.830000000000,4318.010000000000,4
1767391200005,370,1767391227989,4317.830000000000,4318.000000000000,4
1767391200005,371,1767391228559,4317.860000000000,4318.000000000000,130
1767391200005,372,1767391228559,4317.900000000000,4318.060000000000,134
1767391200005,373,1767391228607,4318.150000000000,4318.190000000000,134
1767391200005,374,1767391228661,4318.030000000000,4318.170000000000,134
1767391200005,375,1767391228662,4318.040000000000,4318.230000000000,134
1767391200005,376,1767391228706,4318.060000000000,4318.260000000000,134
1767391200005,377,1767391228756,4318.080000000000,4318.280000000000,134
1767391200005,378,1767391228858,4318.050000000000,4318.220000000000,134
1767391200005,379,1767391228864,4318.020000000000,4318.220000000000,130
1767391200005,380,1767391228908,4318.030000000000,4318.230000000000,134
1767391200005,381,1767391229106,4318.020000000000,4318.210000000000,134
1767391200005,382,1767391229167,4318.010000000000,4318.210000000000,130
1767391200005,383,1767391229259,4318.010000000000,4318.200000000000,4
1767391200005,384,1767391229322,4318.200000000000,4318.280000000000,134
1767391200005,385,1767391229367,4318.170000000000,4318.280000000000,130
1767391200005,386,1767391229372,4318.170000000000,4318.370000000000,4
1767391200005,387,1767391229417,4318.190000000000,4318.390000000000,134
1767391200005,388,1767391229559,4318.200000000000,4318.400000000000,134
1767391200005,389,1767391229661,4318.340000000000,4318.440000000000,134
1767391200005,390,1767391229670,4318.340000000000,4318.540000000000,4
1767391200005,391,1767391229717,4318.310000000000,4318.510000000000,134
1767391200005,392,1767391229761,4318.320000000000,4318.520000000000,134
1767391200005,393,1767391229858,4318.290000000000,4318.470000000000,134
1767391200005,394,1767391229871,4318.270000000000,4318.460000000000,134
1767391200005,395,1767391229910,4318.190000000000,4318.300000000000,134
1767391200005,396,1767391229971,4318.100000000000,4318.300000000000,130
