research_join_key,signal_time,signal_time_msc,side,s2_gate,gate_reason,history_count,mean20_shadow_bps,median20_shadow_bps,mean5_shadow_bps,status,entry_bid,entry_ask,target_ask,shadow_10m_bps,m5_atr,stop_distance,exit_mode,exit_time_msc,exit_ask,observed_r,nominal_net_r_1bps,stress_net_r_2bps
1767391200005_SELL,2026.01.02 22:00:00,1767391200005,SELL,REJECT,WARMUP,0,0.000000,0.000000,0.000000,OK,4318.18,4318.28,4319.48,-3.010528,3.61,4.51,TIME_EXIT,1767391800110,4319.48,-0.288374,-0.384162,-0.479951
1767765900054_SELL,2026.01.07 06:05:00,1767765900054,SELL,REJECT,WARMUP,1,0.000000,0.000000,0.000000,OK,4473.10,4473.26,4470.56,5.678389,3.53,4.41,TIME_EXIT,1767766500136,4470.56,0.575870,0.474456,0.373042
1767789000507_SELL,2026.01.07 12:30:00,1767789000507,SELL,REJECT,WARMUP,2,0.000000,0.000000,0.000000,OK,4459.88,4460.05,4464.96,-11.390441,3.22,4.03,HARD_SL,1767789249010,4464.05,-1.034877,-1.145559,-1.256240
1767791700254_SELL,2026.01.07 13:15:00,1767791700254,SELL,REJECT,WARMUP,3,0.000000,0.000000,0.000000,OK,4461.78,4461.95,4459.76,4.527341,2.84,3.55,TIME_EXIT,1767792300255,4459.76,0.568871,0.443219,0.317566
1767803400041_SELL,2026.01.07 16:30:00,1767803400041,SELL,REJECT,WARMUP,4,0.000000,0.000000,0.000000,OK,4444.65,4444.80,4441.22,7.717143,6.29,7.86,TIME_EXIT,1767804000066,4441.22,0.436248,0.379718,0.323189
1767804000018_SELL,2026.01.07 16:40:00,1767804000018,SELL,REJECT,WARMUP,4,0.000000,0.000000,0.000000,OK,4441.04,4441.22,4442.95,-4.300794,6.92,8.65,TIME_EXIT,1767804600035,4442.95,-0.220923,-0.272291,-0.323659
1767816300014_SELL,2026.01.07 20:05:00,1767816300014,SELL,REJECT,WARMUP,6,0.000000,0.000000,0.000000,OK,4450.59,4450.74,4450.06,1.190853,3.89,4.86,TIME_EXIT,1767816900024,4450.06,0.109078,0.017481,-0.074115
1767827400165_SELL,2026.01.07 23:10:00,1767827400165,SELL,REJECT,WARMUP,7,0.000000,0.000000,0.000000,OK,4452.91,4453.18,4454.15,-2.784696,3.56,4.44,TIME_EXIT,1767828001934,4454.15,-0.278988,-0.379174,-0.479360
1767866700025_SELL,2026.01.08 10:05:00,1767866700025,SELL,REJECT,WARMUP,8,0.000000,0.000000,0.000000,OK,4425.75,4425.94,4425.97,-0.497091,4.26,5.32,HARD_SL,1767866963280,4431.09,-1.003322,-1.086476,-1.169631
1767871200003_SELL,2026.01.08 11:20:00,1767871200003,SELL,REJECT,WARMUP,9,0.000000,0.000000,0.000000,OK,4426.51,4426.61,4430.43,-8.855735,4.83,6.03,TIME_EXIT,1767871800018,4430.43,-0.649852,-0.723234,-0.796616
1767874800039_SELL,2026.01.08 12:20:00,1767874800039,SELL,REJECT,WARMUP,10,0.000000,0.000000,0.000000,OK,4424.39,4424.53,4424.79,-0.904079,3.43,4.28,TIME_EXIT,1767875400067,4424.79,-0.093372,-0.196651,-0.299930
1767878400132_SELL,2026.01.08 13:20:00,1767878400132,SELL,REJECT,WARMUP,11,0.000000,0.000000,0.000000,OK,4428.81,4428.98,4426.53,5.148110,3.49,4.37,TIME_EXIT,1767879000205,4426.53,0.522209,0.420772,0.319335
1767885000010_SELL,2026.01.08 15:10:00,1767885000010,SELL,REJECT,WARMUP,12,0.000000,0.000000,0.000000,OK,4418.68,4418.82,4425.95,-16.452877,5.71,7.14,HARD_SL,1767885516729,4425.84,-1.003278,-1.065194,-1.127109
