research_join_key,signal_time,signal_time_msc,side,s2_gate,gate_reason,history_count,mean20_shadow_bps,median20_shadow_bps,mean5_shadow_bps,status,entry_bid,entry_ask,target_ask,shadow_10m_bps,m5_atr,stop_distance,exit_mode,exit_time_msc,exit_ask,observed_r,nominal_net_r_1bps,stress_net_r_2bps
1767888900003_SELL,2026.01.08 16:15:00,1767888900003,SELL,REJECT,WARMUP,13,0.000000,0.000000,0.000000,OK,4423.48,4423.58,4429.10,-12.704929,6.29,7.86,TIME_EXIT,1767889500014,4429.10,-0.715029,-0.771309,-0.827588
1768271400116_SELL,2026.01.13 02:30:00,1768271400116,SELL,REJECT,WARMUP,14,0.000000,0.000000,0.000000,OK,4588.31,4588.53,4585.48,6.167848,4.88,6.10,TIME_EXIT,1768272000238,4585.48,0.464070,0.388830,0.313590
1768305300296_SELL,2026.01.13 11:55:00,1768305300296,SELL,REJECT,WARMUP,15,0.000000,0.000000,0.000000,OK,4585.97,4586.10,4583.10,6.258218,2.94,3.68,TIME_EXIT,1768305900381,4583.10,0.780573,0.655845,0.531118
1768313700469_SELL,2026.01.13 14:15:00,1768313700469,SELL,REJECT,WARMUP,16,0.000000,0.000000,0.000000,OK,4583.58,4583.72,4579.86,8.115927,2.97,3.71,TIME_EXIT,1768314300502,4579.86,1.001538,0.878134,0.754730
1768452600111_SELL,2026.01.15 04:50:00,1768452600111,SELL,REJECT,WARMUP,17,0.000000,0.000000,0.000000,OK,4604.10,4604.31,4603.13,2.106818,6.11,7.64,TIME_EXIT,1768453200125,4603.13,0.127035,0.066738,0.006441
1768471500011_SELL,2026.01.15 10:05:00,1768471500011,SELL,REJECT,WARMUP,18,0.000000,0.000000,0.000000,OK,4599.87,4600.06,4603.96,-8.891556,3.74,4.68,HARD_SL,1768472073599,4604.55,-1.000687,-1.099043,-1.197398
1768474200011_SELL,2026.01.15 10:50:00,1768474200011,SELL,REJECT,WARMUP,19,0.000000,0.000000,0.000000,OK,4603.24,4603.35,4604.38,-2.476517,3.96,4.95,TIME_EXIT,1768474800057,4604.38,-0.230096,-0.323006,-0.415917
1768553400028_SELL,2026.01.16 08:50:00,1768553400028,SELL,REJECT,MEAN20_NOT_ABOVE_1BPS,20,-1.267930,-0.700585,1.022578,OK,4596.80,4597.00,4598.21,-3.067351,4.55,5.69,TIME_EXIT,1768554000044,4598.21,-0.247990,-0.328838,-0.409686
1768560600013_SELL,2026.01.16 10:50:00,1768560600013,SELL,REJECT,MEAN20_NOT_ABOVE_1BPS,21,-1.270771,-0.700585,-0.842536,OK,4602.94,4603.09,4603.08,-0.304153,3.82,4.77,TIME_EXIT,1768561200139,4603.08,-0.029341,-0.125810,-0.222279
1768568700253_SELL,2026.01.16 13:05:00,1768568700253,SELL,REJECT,MEAN20_NOT_ABOVE_1BPS,22,-1.569898,-0.700585,-2.526552,OK,4601.36,4601.52,4606.60,-11.387937,3.16,3.95,HARD_SL,1768569229361,4605.52,-1.052689,-1.169126,-1.285564
1768584600017_SELL,2026.01.16 17:30:00,1768584600017,SELL,REJECT,MEAN20_NOT_ABOVE_1BPS,23,-1.569773,-0.700585,-5.225503,OK,4565.12,4565.25,4548.37,36.691259,9.83,12.28,TIME_EXIT,1768585200032,4548.37,1.363570,1.326407,1.289244
1768591500037_SELL,2026.01.16 19:25:00,1768591500037,SELL,REJECT,MEAN20_NOT_ABOVE_1BPS,24,0.038423,-0.700585,3.891060,OK,4584.53,4584.72,4583.63,1.963124,7.64,9.55,TIME_EXIT,1768592100054,4583.63,0.094250,0.046240,-0.001770
1768597800003_SELL,2026.01.16 21:10:00,1768597800003,SELL,REJECT,MEAN20_NOT_ABOVE_1BPS,25,-0.249278,-0.700585,4.778988,OK,4584.50,4584.66,4583.75,1.635947,5.32,6.65,TIME_EXIT,1768598400183,4583.75,0.112752,0.043830,-0.025091
1768603200061_SELL,2026.01.16 22:40:00,1768603200061,SELL,REJECT,MEAN20_NOT_ABOVE_1BPS,26,0.047559,-0.400622,5.719648,OK,4585.35,4585.55,4585.93,-1.264898,3.64,4.55,TIME_EXIT,1768603800131,4585.93,-0.127523,-0.228339,-0.329156
1769031300019_SELL,2026.01.21 21:35:00,1769031300019,SELL,REJECT,MEAN20_NOT_ABOVE_1BPS,27,-0.075228,-0.700585,5.527499,OK,4805.83,4806.03,4766.19,82.483151,9.93,12.42,TIME_EXIT,1769031900090,4766.19,3.192636,3.153930,3.115223
1769044800059_SELL,2026.01.22 01:20:00,1769044800059,SELL,REJECT,MEDIAN20_NOT_POSITIVE,28,4.188164,-0.400622,24.301717,OK,4803.29,4803.52,4795.23,16.780165,8.39,10.49,TIME_EXIT,1769045400241,4795.23,0.768207,0.722426,0.676646
1769055300007_SELL,2026.01.22 04:15:00,1769055300007,SELL,ELIGIBLE,EDGE_STATE_PASS,29,5.052027,0.665897,20.319498,OK,4793.51,4793.73,4788.70,10.034401,8.46,10.58,TIME_EXIT,1769055900051,4788.70,0.454654,0.409345,0.364035
1769174100008_SELL,2026.01.23 13:15:00,1769174100008,SELL,ELIGIBLE,EDGE_STATE_PASS,30,5.996533,1.799536,21.933753,OK,4918.50,4918.69,4919.61,-2.256786,4.71,5.89,TIME_EXIT,1769174700252,4919.61,-0.188506,-0.272035,-0.355564
1769469300010_SELL,2026.01.26 23:15:00,1769469300010,SELL,ELIGIBLE,EDGE_STATE_PASS,31,5.928898,1.799536,21.155207,OK,5034.23,5034.40,5020.61,27.054783,11.48,14.35,TIME_EXIT,1769469900018,5020.61,0.949306,0.914218,0.879130
1769482200011_SELL,2026.01.27 02:50:00,1769482200011,SELL,ELIGIBLE,EDGE_STATE_PASS,32,7.024232,1.799536,26.819143,OK,5023.55,5023.68,5032.95,-18.711867,7.41,9.26,HARD_SL,1769482660906,5032.83,-1.002276,-1.056532,-1.110788
1769721300024_SELL,2026.01.29 21:15:00,1769721300024,SELL,ELIGIBLE,EDGE_STATE_PASS,33,6.911282,1.799536,6.580139,OK,5306.71,5306.91,5314.49,-14.660684,23.10,28.88,TIME_EXIT,1769721900098,5314.49,-0.269404,-0.287780,-0.306156
1769742000015_SELL,2026.01.30 03:00:00,1769742000015,SELL,ELIGIBLE,EDGE_STATE_PASS,34,6.813495,1.799536,0.291969,OK,5407.18,5407.31,5366.79,74.696977,16.48,20.60,TIME_EXIT,1769742600042,5366.79,1.960935,1.934683,1.908431
1769760000047_SELL,2026.01.30 08:00:00,1769760000047,SELL,ELIGIBLE,EDGE_STATE_PASS,35,10.239951,1.799536,13.224485,OK,5184.98,5185.14,5193.46,-16.354933,15.80,19.76,TIME_EXIT,1769760600110,5193.46,-0.429251,-0.455497,-0.481743
1769784600035_SELL,2026.01.30 14:50:00,1769784600035,SELL,ELIGIBLE,EDGE_STATE_PASS,36,9.109293,0.665897,10.404855,OK,5066.15,5066.35,5064.74,2.783179,22.65,28.31,HARD_SL,1769784853141,5094.48,-1.000587,-1.018480,-1.036373
1769792400039_SELL,2026.01.30 17:00:00,1769792400039,SELL,ELIGIBLE,EDGE_STATE_PASS,37,8.842656,0.665897,5.550534,OK,5033.17,5033.37,5000.65,64.611368,31.48,39.35,TIME_EXIT,1769793000046,5000.65,0.826448,0.813657,0.800866
1769813100051_SELL,2026.01.30 22:45:00,1769813100051,SELL,ELIGIBLE,EDGE_STATE_PASS,38,11.967884,0.665897,22.215181,OK,4861.74,4862.01,4838.56,47.678403,30.30,37.88,TIME_EXIT,1769813700148,4838.56,0.611941,0.599106,0.586272
1769994300011_SELL,2026.02.02 01:05:00,1769994300011,SELL,ELIGIBLE,EDGE_STATE_PASS,39,14.796381,1.799536,34.682999,OK,4828.32,4829.86,4742.67,177.390894,31.01,38.76,TIME_EXIT,1769994900013,4742.67,2.209661,2.197204,2.184748
1770000900026_SELL,2026.02.02 02:55:00,1770000900026,SELL,ELIGIBLE,EDGE_STATE_PASS,40,23.789752,2.373151,55.221782,OK,4791.37,4791.66,4756.21,73.381935,34.86,43.57,TIME_EXIT,1770001500030,4756.21,0.806885,0.795889,0.784893
1770008100047_SELL,2026.02.02 04:55:00,1770008100047,SELL,ELIGIBLE,EDGE_STATE_PASS,41,27.612216,6.408790,73.169156,OK,4727.83,4727.98,4707.00,44.058268,27.54,34.43,TIME_EXIT,1770008700070,4707.00,0.604989,0.591258,0.577526
1770060000091_SELL,2026.02.02 19:20:00,1770060000091,SELL,ELIGIBLE,EDGE_STATE_PASS,42,29.830337,13.407283,81.424173,OK,4678.05,4678.15,4667.48,22.594885,27.38,34.23,TIME_EXIT,1770060600120,4667.48,0.308822,0.295155,0.281487
1770073200031_SELL,2026.02.02 23:00:00,1770073200031,SELL,ELIGIBLE,EDGE_STATE_PASS,43,31.529478,19.687525,73.020877,OK,4652.67,4652.82,4663.69,-23.685325,21.13,26.41,TIME_EXIT,1770073800331,4663.69,-0.417283,-0.434901,-0.452519
1770076500040_SELL,2026.02.02 23:55:00,1770076500040,SELL,ELIGIBLE,EDGE_STATE_PASS,44,28.510649,13.407283,58.748131,NO_TICK_NEAR_TARGET,4664.72,4665.16,,,,,,,,
1770288900046_SELL,2026.02.05 10:55:00,1770288900046,SELL,ELIGIBLE,EDGE_STATE_PASS,44,28.510649,13.407283,58.748131,OK,4904.71,4904.75,4884.25,41.715005,12.06,15.07,TIME_EXIT,1770289500090,4884.25,1.357455,1.324914,1.292373
1770299400010_SELL,2026.02.05 13:50:00,1770299400010,SELL,ELIGIBLE,EDGE_STATE_PASS,45,30.498243,19.687525,31.612953,OK,4871.72,4871.76,4868.41,6.794315,10.79,13.48,TIME_EXIT,1770300000082,4868.41,0.245477,0.209348,0.173218
1770311700035_SELL,2026.02.05 17:15:00,1770311700035,SELL,ELIGIBLE,EDGE_STATE_PASS,46,30.756162,19.687525,18.295429,OK,4828.45,4828.65,4831.29,-5.881805,26.15,32.69,TIME_EXIT,1770312300107,4831.29,-0.086869,-0.101638,-0.116407
1770312300005_SELL,2026.02.05 17:25:00,1770312300005,SELL,ELIGIBLE,EDGE_STATE_PASS,46,30.756162,19.687525,18.295429,OK,4831.24,4831.44,4814.74,34.152723,24.84,31.05,TIME_EXIT,1770312900048,4814.74,0.531355,0.515797,0.500239
1770324900011_SELL,2026.02.05 20:55:00,1770324900011,SELL,ELIGIBLE,EDGE_STATE_PASS,48,28.108795,19.687525,10.618983,OK,4858.84,4858.88,4854.78,8.355904,14.13,17.66,TIME_EXIT,1770325500014,4854.78,0.229947,0.202428,0.174909
1770348000038_SELL,2026.02.06 03:20:00,1770348000038,SELL,ELIGIBLE,EDGE_STATE_PASS,49,27.687582,16.314643,17.027228,OK,4718.03,4718.07,4712.14,12.484024,30.54,38.17,TIME_EXIT,1770348600098,4712.14,0.154308,0.141947,0.129587
1770700500091_SELL,2026.02.10 05:15:00,1770700500091,SELL,ELIGIBLE,EDGE_STATE_PASS,50,27.810063,17.539454,11.181032,OK,5026.88,5026.93,5025.36,3.023744,8.73,10.91,TIME_EXIT,1770701100138,5025.36,0.139347,0.093263,0.047178
1770708000060_SELL,2026.02.10 07:20:00,1770708000060,SELL,ELIGIBLE,EDGE_STATE_PASS,51,28.074090,17.539454,10.426918,OK,5023.59,5023.63,5019.42,8.300837,5.20,6.50,TIME_EXIT,1770708600115,5019.42,0.641891,0.564563,0.487234
1770713700081_SELL,2026.02.10 08:55:00,1770713700081,SELL,ELIGIBLE,EDGE_STATE_PASS,52,27.136392,10.419964,13.263446,OK,5022.23,5022.35,5029.32,-14.117235,6.70,8.37,TIME_EXIT,1770714300148,5029.32,-0.847019,-0.907018,-0.967016
1770754200012_SELL,2026.02.10 20:10:00,1770754200012,SELL,ELIGIBLE,EDGE_STATE_PASS,53,27.366124,10.419964,3.609455,OK,5021.00,5021.11,5011.82,18.283211,6.14,7.68,TIME_EXIT,1770754800012,5011.82,1.195257,1.129882,1.064508
1770767100003_SELL,2026.02.10 23:45:00,1770767100003,SELL,ELIGIBLE,EDGE_STATE_PASS,54,29.013319,15.383617,5.594916,OK,5024.06,5024.50,5026.15,-4.159982,4.87,6.08,TIME_EXIT,1770767700120,5026.15,-0.343629,-0.426232,-0.508836
1770871800022_SELL,2026.02.12 04:50:00,1770871800022,SELL,ELIGIBLE,EDGE_STATE_PASS,55,25.070471,10.419964,2.266115,OK,5060.38,5060.56,5066.17,-11.441828,6.14,7.68,TIME_EXIT,1770872400067,5066.17,-0.754397,-0.820331,-0.886264
1770875400069_SELL,2026.02.12 05:50:00,1770875400069,SELL,REJECT,MEAN5_NOT_POSITIVE,56,25.316126,10.419964,-0.627000,OK,5058.85,5059.04,5057.05,3.558121,6.25,7.81,TIME_EXIT,1770876000096,5057.05,0.230532,0.165741,0.100951
1770885000014_SELL,2026.02.12 08:30:00,1770885000014,SELL,REJECT,MEAN5_NOT_POSITIVE,57,25.354873,10.419964,-1.575543,OK,5055.50,5055.70,5052.71,5.518742,6.31,7.89,TIME_EXIT,1770885600086,5052.71,0.353484,0.289433,0.225381
1770892800280_SELL,2026.02.12 10:40:00,1770892800280,SELL,ELIGIBLE,EDGE_STATE_PASS,58,22.400242,8.328370,2.351653,OK,5060.02,5060.16,5062.05,-4.011842,4.77,5.96,TIME_EXIT,1770893400308,5062.05,-0.340512,-0.425389,-0.510266
1770899100042_SELL,2026.02.12 12:25:00,1770899100042,SELL,REJECT,MEAN5_NOT_POSITIVE,59,19.815729,7.547576,-2.107358,OK,5064.73,5064.86,5062.73,3.948878,4.67,5.83,TIME_EXIT,1770899700051,5062.73,0.342822,0.256007,0.169192
1770905400061_SELL,2026.02.12 14:10:00,1770905400061,SELL,REJECT,MEAN5_NOT_POSITIVE,60,11.143629,6.156528,-0.485586,OK,5061.27,5061.41,5063.79,-4.978987,3.75,4.69,TIME_EXIT,1770906000095,5063.79,-0.537498,-0.645451,-0.753404
1770913800023_SELL,2026.02.12 16:30:00,1770913800023,SELL,ELIGIBLE,EDGE_STATE_PASS,61,7.225583,4.733810,0.806982,OK,5059.96,5060.16,5059.27,1.363647,8.59,10.74,HARD_SL,1770913982571,5070.84,-1.012682,-1.059779,-1.106875
1770919800044_SELL,2026.02.12 18:10:00,1770919800044,SELL,ELIGIBLE,EDGE_STATE_PASS,62,5.090851,3.753499,0.368088,OK,5050.12,5050.27,4934.81,228.331208,7.83,9.79,TIME_EXIT,1770920400065,4934.81,11.775982,11.724408,11.672834
1770934800047_SELL,2026.02.12 22:20:00,1770934800047,SELL,ELIGIBLE,EDGE_STATE_PASS,63,15.377668,3.753499,44.930581,OK,4937.60,4937.80,4922.88,29.812054,9.03,11.29,TIME_EXIT,1770935400061,4922.88,1.303582,1.259855,1.216129
1770965700033_SELL,2026.02.13 06:55:00,1770965700033,SELL,ELIGIBLE,EDGE_STATE_PASS,64,18.052537,4.733810,51.695360,OK,4975.18,4975.44,4980.62,-10.934278,5.85,7.32,TIME_EXIT,1770966300067,4980.62,-0.743568,-0.811572,-0.879575
1770982200032_SELL,2026.02.13 11:30:00,1770982200032,SELL,ELIGIBLE,EDGE_STATE_PASS,65,15.420073,3.753499,48.718729,OK,4964.98,4965.07,4965.15,-0.342398,6.87,8.58,TIME_EXIT,1770982800054,4965.15,-0.019802,-0.077637,-0.135471
1771292400019_SELL,2026.02.17 01:40:00,1771292400019,SELL,ELIGIBLE,EDGE_STATE_PASS,66,15.063237,3.290933,49.646047,OK,4989.92,4990.14,4993.85,-7.875878,5.43,6.78,TIME_EXIT,1771293000034,4993.85,-0.579234,-0.652779,-0.726325
1771303500080_SELL,2026.02.17 04:45:00,1771303500080,SELL,ELIGIBLE,EDGE_STATE_PASS,67,14.963533,3.290933,47.798142,OK,4961.03,4961.21,4963.44,-4.857862,4.67,5.83,TIME_EXIT,1771304100088,4963.44,-0.413101,-0.498138,-0.583176
1771305300049_SELL,2026.02.17 05:15:00,1771305300049,SELL,ELIGIBLE,EDGE_STATE_PASS,68,13.013004,2.193696,1.160328,OK,4961.56,4961.77,4958.13,6.913148,4.75,5.94,TIME_EXIT,1771305900394,4958.13,0.577858,0.494270,0.410681
1771332900006_SELL,2026.02.17 12:55:00,1771332900006,SELL,REJECT,MEAN5_NOT_POSITIVE,69,12.940866,2.193696,-3.419454,OK,4912.15,4912.19,4919.42,-14.800037,6.98,8.72,TIME_EXIT,1771333500068,4919.42,-0.833664,-0.889993,-0.946321
1771341300017_SELL,2026.02.17 15:15:00,1771341300017,SELL,REJECT,MEAN5_NOT_POSITIVE,70,11.576663,0.510624,-4.192605,OK,4922.29,4922.37,4917.66,9.406191,6.03,7.54,TIME_EXIT,1771341900017,4917.66,0.613826,0.548568,0.483310
1771354500039_SELL,2026.02.17 18:55:00,1771354500039,SELL,REJECT,MEAN5_NOT_POSITIVE,71,11.895785,0.510624,-2.242887,OK,4876.29,4876.46,4866.55,19.974202,10.01,12.51,TIME_EXIT,1771355100061,4866.55,0.778366,0.739397,0.700429
1771365900046_SELL,2026.02.17 22:05:00,1771365900046,SELL,ELIGIBLE,EDGE_STATE_PASS,72,12.479454,0.510624,3.327128,OK,4879.02,4879.20,4879.89,-1.783145,7.21,9.01,TIME_EXIT,1771366500085,4879.89,-0.096590,-0.150758,-0.204927
1771922100025_SELL,2026.02.24 08:35:00,1771922100025,SELL,ELIGIBLE,EDGE_STATE_PASS,73,13.096158,0.510624,3.942072,OK,5166.50,5166.54,5169.18,-5.187264,6.47,8.09,TIME_EXIT,1771922700069,5169.18,-0.331376,-0.395258,-0.459141
1771928400011_SELL,2026.02.24 10:20:00,1771928400011,SELL,REJECT,MEDIAN20_NOT_POSITIVE,74,11.922634,-1.062772,1.521989,OK,5168.61,5168.65,5170.54,-3.734079,6.98,8.73,TIME_EXIT,1771929000106,5170.54,-0.221068,-0.280270,-0.339473
1771930200117_SELL,2026.02.24 10:50:00,1771930200117,SELL,REJECT,MEDIAN20_NOT_POSITIVE,75,11.943930,-1.062772,3.735181,OK,5172.52,5172.59,5173.21,-1.333973,6.36,7.95,TIME_EXIT,1771930800117,5173.21,-0.086822,-0.151907,-0.216992
1771931700157_SELL,2026.02.24 11:15:00,1771931700157,SELL,REJECT,MEDIAN20_NOT_POSITIVE,76,12.449322,-0.838185,1.587148,OK,5172.49,5172.66,5170.54,3.769944,6.25,7.81,TIME_EXIT,1771932300265,5170.54,0.249629,0.183413,0.117198
1771936500014_SELL,2026.02.24 12:35:00,1771936500014,SELL,REJECT,MEDIAN20_NOT_POSITIVE,77,12.459914,-0.838185,-1.653703,OK,5167.28,5167.45,5170.39,-6.018640,4.73,5.91,TIME_EXIT,1771937100065,5170.39,-0.526481,-0.613956,-0.701431
1771941900062_SELL,2026.02.24 14:05:00,1771941900062,SELL,REJECT,MEDIAN20_NOT_POSITIVE,78,11.883044,-1.558559,-2.500802,OK,5169.67,5169.80,5167.63,3.946093,3.61,4.52,TIME_EXIT,1771942500122,5167.63,0.451809,0.337314,0.222819
1771968000070_SELL,2026.02.24 21:20:00,1771968000070,SELL,REJECT,MEDIAN20_NOT_POSITIVE,79,12.280941,-0.838185,-0.674131,OK,5149.03,5149.16,5151.72,-5.224285,5.16,6.44,TIME_EXIT,1771968600206,5151.72,-0.417401,-0.497297,-0.577194
1771975500019_SELL,2026.02.24 23:25:00,1771975500019,SELL,REJECT,MEDIAN20_NOT_POSITIVE,80,11.822283,-1.558559,-0.972172,OK,5153.88,5154.13,5150.18,7.179057,5.81,7.27,TIME_EXIT,1771976100080,5150.18,0.509091,0.438178,0.367264
1772080500027_SELL,2026.02.26 04:35:00,1772080500027,SELL,REJECT,MEDIAN20_NOT_POSITIVE,81,12.430185,-0.838185,0.730434,OK,5178.92,5178.96,5176.71,4.267299,7.01,8.76,TIME_EXIT,1772081100031,5176.71,0.252340,0.193206,0.134073
1772109300063_SELL,2026.02.26 12:35:00,1772109300063,SELL,REJECT,MEDIAN20_NOT_POSITIVE,82,12.575368,-0.838185,0.829905,OK,5176.84,5176.88,5172.17,9.020947,4.06,5.07,TIME_EXIT,1772109900088,5172.17,0.920845,0.818767,0.716688
1772119200066_SELL,2026.02.26 15:20:00,1772119200066,SELL,REJECT,MEDIAN20_NOT_POSITIVE,83,1.609855,-0.838185,3.837822,OK,5171.74,5171.80,5175.00,-6.303488,6.05,7.57,TIME_EXIT,1772119800066,5175.00,-0.430871,-0.499225,-0.567580
1772119800033_SELL,2026.02.26 15:30:00,1772119800033,SELL,REJECT,MEDIAN20_NOT_POSITIVE,83,1.609855,-0.838185,3.837822,OK,5174.58,5175.00,5173.54,2.009825,6.07,7.59,TIME_EXIT,1772120400043,5173.54,0.137100,0.068885,0.000670
1772135100062_SELL,2026.02.26 19:45:00,1772135100062,SELL,REJECT,MEAN20_NOT_ABOVE_1BPS,85,0.451283,-0.838185,3.234728,OK,5174.82,5174.90,5167.16,14.802447,5.94,7.42,TIME_EXIT,1772135700062,5167.16,1.032395,0.962650,0.892905
1772495400108_SELL,2026.03.02 23:50:00,1772495400108,SELL,ELIGIBLE,EDGE_STATE_PASS,86,1.208525,0.337926,4.759406,NO_TICK_NEAR_TARGET,5327.23,5327.96,,,,,,,,
1772533800012_SELL,2026.03.03 10:30:00,1772533800012,SELL,ELIGIBLE,EDGE_STATE_PASS,86,1.208525,0.337926,4.759406,OK,5312.34,5312.43,5300.06,23.115990,8.47,10.59,TIME_EXIT,1772534400097,5300.06,1.159761,1.109589,1.059418
1772550600012_SELL,2026.03.03 15:10:00,1772550600012,SELL,ELIGIBLE,EDGE_STATE_PASS,87,2.758119,2.889885,8.529144,OK,5152.70,5152.84,5174.86,-43.006579,19.81,24.76,TIME_EXIT,1772551200035,5174.86,-0.894998,-0.915809,-0.936620
1772566200026_SELL,2026.03.03 19:30:00,1772566200026,SELL,REJECT,MEAN20_NOT_ABOVE_1BPS,88,0.850683,2.889885,-1.876361,OK,5083.15,5083.19,5074.90,16.230094,15.69,19.61,TIME_EXIT,1772566800040,5074.90,0.420612,0.394696,0.368781
1772578200046_SELL,2026.03.03 22:50:00,1772578200046,SELL,ELIGIBLE,EDGE_STATE_PASS,89,1.316530,2.889885,2.630355,OK,5104.64,5104.82,5097.48,14.026454,11.65,14.56,TIME_EXIT,1772578800073,5097.48,0.491674,0.456620,0.421567
1772601000125_SELL,2026.03.04 05:10:00,1772601000125,SELL,ELIGIBLE,EDGE_STATE_PASS,90,2.757855,3.858019,5.033681,OK,5152.52,5152.65,5160.95,-16.360926,11.30,14.12,TIME_EXIT,1772601600132,5160.95,-0.596927,-0.633412,-0.669897
1772662800108_SELL,2026.03.04 22:20:00,1772662800108,SELL,REJECT,MEAN5_NOT_POSITIVE,91,1.469499,2.889885,-1.198993,OK,5128.15,5128.27,5137.54,-18.310697,5.33,6.66,HARD_SL,1772663179573,5134.84,-1.004531,-1.081533,-1.158534
1772744400016_SELL,2026.03.05 21:00:00,1772744400016,SELL,REJECT,MEAN20_NOT_ABOVE_1BPS,92,-0.444746,0.337926,-9.484331,OK,5069.51,5069.65,5076.70,-14.182830,9.00,11.25,HARD_SL,1772744784620,5080.82,-1.005174,-1.050229,-1.095284
1772745600001_SELL,2026.03.05 21:20:00,1772745600001,SELL,REJECT,MEAN20_NOT_ABOVE_1BPS,93,-1.064731,0.337926,-3.719581,OK,5070.25,5070.31,5067.06,6.291603,8.29,10.36,TIME_EXIT,1772746200019,5067.06,0.307920,0.258979,0.210037
1772765100036_SELL,2026.03.06 02:45:00,1772765100036,SELL,REJECT,MEAN20_NOT_ABOVE_1BPS,94,-0.490787,2.889885,-5.707279,OK,5083.70,5083.79,5089.69,-11.782757,7.94,9.92,TIME_EXIT,1772765700046,5089.69,-0.603744,-0.654983,-0.706223
1772804700014_SELL,2026.03.06 13:45:00,1772804700014,SELL,REJECT,MEAN20_NOT_ABOVE_1BPS,95,-0.893221,2.889885,-10.869121,OK,5081.23,5081.39,5078.67,5.038150,6.79,8.49,TIME_EXIT,1772805300150,5078.67,0.301525,0.241677,0.181828
1772809200011_SELL,2026.03.06 15:00:00,1772809200011,SELL,REJECT,MEAN20_NOT_ABOVE_1BPS,96,-0.574615,3.858019,-6.589306,OK,5083.44,5083.48,5070.47,25.514219,8.18,10.23,TIME_EXIT,1772809800013,5070.47,1.267906,1.218212,1.168518
