research_join_key,signal_time,signal_time_msc,arm,max_layers,status,base_entry_bid,m5_atr,stop_distance,layers_opened,checkpoint_pass_count,checkpoint_reject_count,checkpoint_missing_count,protected_exit_count,hard_sl_exit_count,time_exit_count,gross_total_r,nominal_total_r_1bps,stress_total_r_2bps,incremental_gross_r_vs_control,incremental_nominal_r_vs_control,incremental_stress_r_vs_control
1780916100039_SELL,2026.06.08 10:55:00,1780916100039,CONTROL_L1,1,OK,4296.52,6.91,8.64,1,0,0,0,0,0,1,0.35173554,0.30202374,0.25231193,0.00000000,0.00000000,0.00000000
1780916100039_SELL,2026.06.08 10:55:00,1780916100039,PYRAMID_L3,3,OK,4296.52,6.91,8.64,2,1,1,0,1,0,1,-0.27421488,-0.37357612,-0.47293736,-0.62595041,-0.67559985,-0.72524929
1780916100039_SELL,2026.06.08 10:55:00,1780916100039,PYRAMID_L5,5,OK,4296.52,6.91,8.64,2,1,3,0,1,0,1,0.29388430,0.19446393,0.09504357,-0.05785124,-0.10755980,-0.15726836
1780916100039_SELL,2026.06.08 10:55:00,1780916100039,PYRAMID_L7,7,OK,4296.52,6.91,8.64,2,1,5,0,1,0,1,0.25223140,0.15281775,0.05340410,-0.09950413,-0.14920598,-0.19890783
1780916100039_SELL,2026.06.08 10:55:00,1780916100039,PYRAMID_L10,10,OK,4296.52,6.91,8.64,2,1,8,0,1,0,1,0.29388430,0.19446393,0.09504357,-0.05785124,-0.10755980,-0.15726836
1781043300041_SELL,2026.06.09 22:15:00,1781043300041,CONTROL_L1,1,OK,4258.76,5.41,6.76,1,0,0,0,0,0,1,0.42923219,0.36619782,0.30316344,0.00000000,0.00000000,0.00000000
1781043300041_SELL,2026.06.09 22:15:00,1781043300041,PYRAMID_L3,3,OK,4258.76,5.41,6.76,3,2,0,0,0,0,3,0.56096207,0.37193162,0.18290117,0.13172988,0.00573380,-0.12026228
1781043300041_SELL,2026.06.09 22:15:00,1781043300041,PYRAMID_L5,5,OK,4258.76,5.41,6.76,4,3,1,0,2,0,2,0.26938020,0.01738746,-0.23460529,-0.15985199,-0.34881036,-0.53776873
1781043300041_SELL,2026.06.09 22:15:00,1781043300041,PYRAMID_L7,7,OK,4258.76,5.41,6.76,3,2,4,0,1,0,2,0.34486586,0.15584622,-0.03317343,-0.08436633,-0.21035160,-0.33633687
1781043300041_SELL,2026.06.09 22:15:00,1781043300041,PYRAMID_L10,10,OK,4258.76,5.41,6.76,4,3,6,0,2,0,2,0.27530065,0.02330627,-0.22868810,-0.15393154,-0.34289154,-0.53185154
1781087700145_SELL,2026.06.10 10:35:00,1781087700145,CONTROL_L1,1,OK,4194.70,5.64,7.05,1,0,0,0,0,0,1,0.69751899,0.63804982,0.57858066,0.00000000,0.00000000,0.00000000
1781087700145_SELL,2026.06.10 10:35:00,1781087700145,PYRAMID_L3,3,OK,4194.70,5.64,7.05,3,2,0,0,1,0,2,1.10724051,0.92887725,0.75051398,0.40972152,0.29082742,0.17193333
1781087700145_SELL,2026.06.10 10:35:00,1781087700145,PYRAMID_L5,5,OK,4194.70,5.64,7.05,2,1,3,0,1,0,1,0.57559494,0.45666781,0.33774068,-0.12192405,-0.18138202,-0.24083998
1781087700145_SELL,2026.06.10 10:35:00,1781087700145,PYRAMID_L7,7,OK,4194.70,5.64,7.05,2,1,5,0,1,0,1,0.55716456,0.43823927,0.31931398,-0.14035443,-0.19981055,-0.25926667
1781087700145_SELL,2026.06.10 10:35:00,1781087700145,PYRAMID_L10,10,OK,4194.70,5.64,7.05,2,1,8,0,1,0,1,0.66632911,0.54739348,0.42845784,-0.03118987,-0.09065634,-0.15012282
1781100300029_SELL,2026.06.10 14:05:00,1781100300029,CONTROL_L1,1,OK,4161.40,7.21,9.02,1,0,0,0,0,0,1,-0.80974547,-0.85590540,-0.90206533,0.00000000,0.00000000,0.00000000
