candidate_id,research_join_key,symbol,entry_timeframe,signal_time,signal_time_msc,signal_bar_time,side,horizon_minutes,status,stop_atr_multiplier,m5_atr,m5_atr_points,entry_bid,entry_ask,entry_mid,spread_points,policy_id,policy_type,policy_spec,activated,activation_time,activation_time_msc,time_to_activation_seconds,highest_stage,protection_updates,max_favorable_r,stop_distance,hard_stop_price,final_stop_price,final_locked_r,exit_mode,exit_time,exit_time_msc,exit_ask,holding_seconds,realized_r,realized_bps,ticks_scanned,target_time,target_time_msc,target_delay_milliseconds,target_ask
P2F4_CANDIDATE_S1,1767391200005_SELL,XAUUSD,PERIOD_M5,2026.01.02 22:00:00,1767391200005,2026.01.02 22:00:00,SELL,10,OK,1.250000,3.61,360.64,4318.18,4318.28,4318.23,10.0,CONTROL,CONTROL,NO_RETENTION,NO,,,,0,0,0.177461,4.51,4322.69,4322.69,-1.000000,TIME_EXIT,2026.01.02 22:10:00,1767391800110,4319.48,600.105,-0.288374,-3.0105,5679,2026.01.02 22:10:00,1767391800110,105,4319.48
P2F4_CANDIDATE_S1,1767391200005_SELL,XAUUSD,PERIOD_M5,2026.01.02 22:00:00,1767391200005,2026.01.02 22:00:00,SELL,10,OK,1.250000,3.61,360.64,4318.18,4318.28,4318.23,10.0,LEGACY_BE_050,BREAK_EVEN,0.50:0.00,NO,,,,0,0,0.177461,4.51,4322.69,4322.69,-1.000000,TIME_EXIT,2026.01.02 22:10:00,1767391800110,4319.48,600.105,-0.288374,-3.0105,5679,2026.01.02 22:10:00,1767391800110,105,4319.48
P2F4_CANDIDATE_S1,1767391200005_SELL,XAUUSD,PERIOD_M5,2026.01.02 22:00:00,1767391200005,2026.01.02 22:00:00,SELL,10,OK,1.250000,3.61,360.64,4318.18,4318.28,4318.23,10.0,STEPLOCK_V1,STEP_LOCK,0.50:-0.25|1.00:0.25|2.00:1.00,NO,,,,0,0,0.177461,4.51,4322.69,4322.69,-1.000000,TIME_EXIT,2026.01.02 22:10:00,1767391800110,4319.48,600.105,-0.288374,-3.0105,5679,2026.01.02 22:10:00,1767391800110,105,4319.48
P2F4_CANDIDATE_S1,1767391200005_SELL,XAUUSD,PERIOD_M5,2026.01.02 22:00:00,1767391200005,2026.01.02 22:00:00,SELL,10,OK,1.250000,3.61,360.64,4318.18,4318.28,4318.23,10.0,GIVEBACK_100_075,MFE_GIVEBACK,TRIGGER=1.00|GAP=0.75|FLOOR=0.00,NO,,,,0,0,0.177461,4.51,4322.69,4322.69,-1.000000,TIME_EXIT,2026.01.02 22:10:00,1767391800110,4319.48,600.105,-0.288374,-3.0105,5679,2026.01.02 22:10:00,1767391800110,105,4319.48
P2F4_CANDIDATE_S1,1767765900054_SELL,XAUUSD,PERIOD_M5,2026.01.07 06:05:00,1767765900054,2026.01.07 06:05:00,SELL,10,OK,1.250000,3.53,352.86,4473.10,4473.26,4473.18,16.0,CONTROL,CONTROL,NO_RETENTION,NO,,,,0,0,0.834332,4.41,4477.51,4477.51,-1.000000,TIME_EXIT,2026.01.07 06:15:00,1767766500136,4470.56,600.082,0.575870,5.6784,5895,2026.01.07 06:15:00,1767766500136,82,4470.56
P2F4_CANDIDATE_S1,1767765900054_SELL,XAUUSD,PERIOD_M5,2026.01.07 06:05:00,1767765900054,2026.01.07 06:05:00,SELL,10,OK,1.250000,3.53,352.86,4473.10,4473.26,4473.18,16.0,LEGACY_BE_050,BREAK_EVEN,0.50:0.00,YES,2026.01.07 06:06:28,1767765988413,88.359,1,1,0.834332,4.41,4477.51,4473.10,0.000000,TIME_EXIT,2026.01.07 06:15:00,1767766500136,4470.56,600.082,0.575870,5.6784,5895,2026.01.07 06:15:00,1767766500136,82,4470.56
P2F4_CANDIDATE_S1,1767765900054_SELL,XAUUSD,PERIOD_M5,2026.01.07 06:05:00,1767765900054,2026.01.07 06:05:00,SELL,10,OK,1.250000,3.53,352.86,4473.10,4473.26,4473.18,16.0,STEPLOCK_V1,STEP_LOCK,0.50:-0.25|1.00:0.25|2.00:1.00,YES,2026.01.07 06:06:28,1767765988413,88.359,1,1,0.834332,4.41,4477.51,4474.20,-0.250000,TIME_EXIT,2026.01.07 06:15:00,1767766500136,4470.56,600.082,0.575870,5.6784,5895,2026.01.07 06:15:00,1767766500136,82,4470.56
P2F4_CANDIDATE_S1,1767765900054_SELL,XAUUSD,PERIOD_M5,2026.01.07 06:05:00,1767765900054,2026.01.07 06:05:00,SELL,10,OK,1.250000,3.53,352.86,4473.10,4473.26,4473.18,16.0,GIVEBACK_100_075,MFE_GIVEBACK,TRIGGER=1.00|GAP=0.75|FLOOR=0.00,NO,,,,0,0,0.834332,4.41,4477.51,4477.51,-1.000000,TIME_EXIT,2026.01.07 06:15:00,1767766500136,4470.56,600.082,0.575870,5.6784,5895,2026.01.07 06:15:00,1767766500136,82,4470.56
P2F4_CANDIDATE_S1,1767789000507_SELL,XAUUSD,PERIOD_M5,2026.01.07 12:30:00,1767789000507,2026.01.07 12:30:00,SELL,10,OK,1.250000,3.22,322.36,4459.88,4460.05,4459.97,17.0,CONTROL,CONTROL,NO_RETENTION,NO,,,,0,0,0.191092,4.03,4463.91,4463.91,-1.000000,HARD_SL,2026.01.07 12:34:09,1767789249010,4464.05,248.503,-1.000000,-9.0349,797,2026.01.07 12:40:00,1767789600984,477,4464.96
P2F4_CANDIDATE_S1,1767789000507_SELL,XAUUSD,PERIOD_M5,2026.01.07 12:30:00,1767789000507,2026.01.07 12:30:00,SELL,10,OK,1.250000,3.22,322.36,4459.88,4460.05,4459.97,17.0,LEGACY_BE_050,BREAK_EVEN,0.50:0.00,NO,,,,0,0,0.191092,4.03,4463.91,4463.91,-1.000000,HARD_SL,2026.01.07 12:34:09,1767789249010,4464.05,248.503,-1.000000,-9.0349,797,2026.01.07 12:40:00,1767789600984,477,4464.96
