research_join_key,signal_time,signal_time_msc,arm,max_layers,layer_index,entry_time_msc,entry_bid,protection_activated,protection_time_msc,exit_mode,exit_time_msc,exit_ask,observed_r,nominal_net_r_1bps,stress_net_r_2bps
1769055300007_SELL,2026.01.22 04:15:00,1769055300007,CONTROL_L1,1,1,1769055300007,4793.51,NO,0,TIME_EXIT,1769055900051,4788.70,0.45465440,0.40934483,0.36403526
1769055300007_SELL,2026.01.22 04:15:00,1769055300007,PYRAMID_L3,3,1,1769055300007,4793.51,YES,1769055700098,PROTECTED_STOP,1769055701544,4793.52,-0.00094523,-0.04625480,-0.09156437
1769055300007_SELL,2026.01.22 04:15:00,1769055300007,PYRAMID_L3,3,2,1769055700098,4793.20,NO,0,TIME_EXIT,1769055900051,4788.70,0.42535235,0.38004571,0.33473907
1769055300007_SELL,2026.01.22 04:15:00,1769055300007,PYRAMID_L5,5,1,1769055300007,4793.51,YES,1769055420053,PROTECTED_STOP,1769055462699,4793.57,-0.00567136,-0.05098094,-0.09629051
1769055300007_SELL,2026.01.22 04:15:00,1769055300007,PYRAMID_L5,5,2,1769055420053,4791.63,NO,0,TIME_EXIT,1769055900051,4788.70,0.27695164,0.23165984,0.18636804
1769055300007_SELL,2026.01.22 04:15:00,1769055300007,PYRAMID_L7,7,1,1769055300007,4793.51,YES,1769055385758,PROTECTED_STOP,1769055462699,4793.57,-0.00567136,-0.05098094,-0.09629051
1769055300007_SELL,2026.01.22 04:15:00,1769055300007,PYRAMID_L7,7,2,1769055385758,4791.32,NO,0,TIME_EXIT,1769055900051,4788.70,0.24764959,0.20236072,0.15707185
1769055300007_SELL,2026.01.22 04:15:00,1769055300007,PYRAMID_L10,10,1,1769055300007,4793.51,YES,1769055420053,PROTECTED_STOP,1769055462699,4793.57,-0.00567136,-0.05098094,-0.09629051
1769055300007_SELL,2026.01.22 04:15:00,1769055300007,PYRAMID_L10,10,2,1769055420053,4791.63,NO,0,TIME_EXIT,1769055900051,4788.70,0.27695164,0.23165984,0.18636804
1769174100008_SELL,2026.01.23 13:15:00,1769174100008,CONTROL_L1,1,1,1769174100008,4918.50,NO,0,TIME_EXIT,1769174700252,4919.61,-0.18850644,-0.27203518,-0.35556391
1769174100008_SELL,2026.01.23 13:15:00,1769174100008,PYRAMID_L3,3,1,1769174100008,4918.50,YES,1769174300032,PROTECTED_STOP,1769174677528,4918.52,-0.00339651,-0.08692525,-0.17045398
1769174100008_SELL,2026.01.23 13:15:00,1769174100008,PYRAMID_L3,3,2,1769174300032,4913.08,NO,0,HARD_SL,1769174679229,4918.99,-1.00366945,-1.08710613,-1.17054282
1769174100008_SELL,2026.01.23 13:15:00,1769174100008,PYRAMID_L5,5,1,1769174100008,4918.50,YES,1769174220037,PROTECTED_STOP,1769174677528,4918.52,-0.00339651,-0.08692525,-0.17045398
1769174100008_SELL,2026.01.23 13:15:00,1769174100008,PYRAMID_L5,5,2,1769174220037,4914.04,NO,0,TIME_EXIT,1769174700252,4919.61,-0.94592873,-1.02938173,-1.11283472
1769174100008_SELL,2026.01.23 13:15:00,1769174100008,PYRAMID_L7,7,1,1769174100008,4918.50,YES,1769174186624,PROTECTED_STOP,1769174677528,4918.52,-0.00339651,-0.08692525,-0.17045398
1769174100008_SELL,2026.01.23 13:15:00,1769174100008,PYRAMID_L7,7,2,1769174186624,4913.67,NO,0,HARD_SL,1769174691807,4919.67,-1.01895375,-1.10240046,-1.18584717
1769174100008_SELL,2026.01.23 13:15:00,1769174100008,PYRAMID_L10,10,1,1769174100008,4918.50,YES,1769174160036,PROTECTED_STOP,1769174677528,4918.52,-0.00339651,-0.08692525,-0.17045398
1769174100008_SELL,2026.01.23 13:15:00,1769174100008,PYRAMID_L10,10,2,1769174160036,4915.59,YES,1769174220037,PROTECTED_STOP,1769174343059,4915.66,-0.01188779,-0.09536711,-0.17884642
1769174100008_SELL,2026.01.23 13:15:00,1769174100008,PYRAMID_L10,10,3,1769174220037,4914.04,YES,1769174280227,PROTECTED_STOP,1769174309763,4914.05,-0.00169826,-0.08515125,-0.16860424
1769174100008_SELL,2026.01.23 13:15:00,1769174100008,PYRAMID_L10,10,4,1769174280227,4912.58,NO,0,HARD_SL,1769174677528,4918.52,-1.00876422,-1.09219241,-1.17562061
1769469300010_SELL,2026.01.26 23:15:00,1769469300010,CONTROL_L1,1,1,1769469300010,5034.23,NO,0,TIME_EXIT,1769469900018,5020.61,0.94930612,0.91421783,0.87912953
1769469300010_SELL,2026.01.26 23:15:00,1769469300010,PYRAMID_L3,3,1,1769469300010,5034.23,YES,1769469500024,TIME_EXIT,1769469900018,5020.61,0.94930612,0.91421783,0.87912953
1769469300010_SELL,2026.01.26 23:15:00,1769469300010,PYRAMID_L3,3,2,1769469500024,5029.55,YES,1769469700062,TIME_EXIT,1769469900018,5020.61,0.62311283,0.58805715,0.55300148
1769469300010_SELL,2026.01.26 23:15:00,1769469300010,PYRAMID_L3,3,3,1769469700062,5020.78,NO,0,TIME_EXIT,1769469900018,5020.61,0.01184890,-0.02314564,-0.05814019
1769469300010_SELL,2026.01.26 23:15:00,1769469300010,PYRAMID_L5,5,1,1769469300010,5034.23,YES,1769469420098,TIME_EXIT,1769469900018,5020.61,0.94930612,0.91421783,0.87912953
