signal_id,symbol,timeframe,magic,signal_time,signal_bar_time,side,horizon_hours,target_time,observed_time,delay_seconds,status,entry_bid,entry_ask,entry_mid,entry_spread_points,future_bid,future_ask,future_mid,future_spread_points,mid_return_points,executable_return_points,mid_return_bps,executable_return_bps,fast_ema_bar2,slow_ema_bar2,fast_ema_bar1,slow_ema_bar1
1,XAUUSD,PERIOD_H1,26090401,2026.01.02 13:00:00,2026.01.02 13:00:00,BUY,1,2026.01.02 14:00:00,2026.01.02 14:00:00,0,OK,4396.11,4396.30,4396.20,19.0,4392.96,4393.14,4393.05,18.0,-315.5,-334.0,-7.1766,-7.5973,4358.70600221,4360.63154203,4362.26828771,4362.02285410
1,XAUUSD,PERIOD_H1,26090401,2026.01.02 13:00:00,2026.01.02 13:00:00,BUY,2,2026.01.02 15:00:00,2026.01.02 15:00:00,0,OK,4396.11,4396.30,4396.20,19.0,4394.39,4394.57,4394.48,18.0,-172.5,-191.0,-3.9238,-4.3446,4358.70600221,4360.63154203,4362.26828771,4362.02285410
1,XAUUSD,PERIOD_H1,26090401,2026.01.02 13:00:00,2026.01.02 13:00:00,BUY,4,2026.01.02 17:00:00,2026.01.02 17:00:00,0,OK,4396.11,4396.30,4396.20,19.0,4353.51,4353.67,4353.59,16.0,-4261.5,-4279.0,-96.9359,-97.3318,4358.70600221,4360.63154203,4362.26828771,4362.02285410
2,XAUUSD,PERIOD_H1,26090401,2026.01.02 19:00:00,2026.01.02 19:00:00,SELL,1,2026.01.02 20:00:00,2026.01.02 20:00:00,0,OK,4326.42,4326.61,4326.51,19.0,4323.07,4323.22,4323.15,15.0,337.0,320.0,7.7892,7.3964,4363.47300685,4362.96280388,4359.94510144,4361.53014490
2,XAUUSD,PERIOD_H1,26090401,2026.01.02 19:00:00,2026.01.02 19:00:00,SELL,2,2026.01.02 21:00:00,2026.01.02 21:00:00,0,OK,4326.42,4326.61,4326.51,19.0,4315.21,4315.37,4315.29,16.0,1122.5,1105.0,25.9447,25.5407,4363.47300685,4362.96280388,4359.94510144,4361.53014490
1,XAUUSD,PERIOD_H1,26090401,2026.01.02 13:00:00,2026.01.02 13:00:00,BUY,8,2026.01.02 21:00:00,2026.01.02 21:00:00,0,OK,4396.11,4396.30,4396.20,19.0,4315.21,4315.37,4315.29,16.0,-8091.5,-8109.0,-184.0565,-184.4506,4358.70600221,4360.63154203,4362.26828771,4362.02285410
2,XAUUSD,PERIOD_H1,26090401,2026.01.02 19:00:00,2026.01.02 19:00:00,SELL,4,2026.01.02 23:00:00,2026.01.02 23:00:00,0,OK,4326.42,4326.61,4326.51,19.0,4331.53,4331.67,4331.60,14.0,-508.5,-525.0,-11.7531,-12.1347,4363.47300685,4362.96280388,4359.94510144,4361.53014490
2,XAUUSD,PERIOD_H1,26090401,2026.01.02 19:00:00,2026.01.02 19:00:00,SELL,8,2026.01.03 03:00:00,,,NO_TICK_NEAR_TARGET,4326.42,4326.61,4326.51,19.0,,,,,,,,,4363.47300685,4362.96280388,4359.94510144,4361.53014490
2,XAUUSD,PERIOD_H1,26090401,2026.01.02 19:00:00,2026.01.02 19:00:00,SELL,12,2026.01.03 07:00:00,,,NO_TICK_NEAR_TARGET,4326.42,4326.61,4326.51,19.0,,,,,,,,,4363.47300685,4362.96280388,4359.94510144,4361.53014490
2,XAUUSD,PERIOD_H1,26090401,2026.01.02 19:00:00,2026.01.02 19:00:00,SELL,24,2026.01.03 19:00:00,,,NO_TICK_NEAR_TARGET,4326.42,4326.61,4326.51,19.0,,,,,,,,,4363.47300685,4362.96280388,4359.94510144,4361.53014490
