candidate_id,research_join_key,symbol,entry_timeframe,signal_time,signal_time_msc,signal_bar_time,side,gate_result,gate_reason,research_horizon_minutes,m15_fast_ema_bar1,m15_slow_ema_bar1,m15_trend,entry_bid,entry_ask,entry_mid,spread_points
P2F4_CANDIDATE_S1,1780282500130_BUY,XAUUSD,PERIOD_M5,2026.06.01 02:55:00,1780282500130,2026.06.01 02:55:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4544.25,4544.50,4544.38,25.0
P2F4_CANDIDATE_S1,1780282800047_SELL,XAUUSD,PERIOD_M5,2026.06.01 03:00:00,1780282800047,2026.06.01 03:00:00,SELL,REJECT,M15_NOT_BEARISH,10,4546.00905441,4541.60292106,BULLISH,4539.57,4539.82,4539.69,25.0
P2F4_CANDIDATE_S1,1780283100023_BUY,XAUUSD,PERIOD_M5,2026.06.01 03:05:00,1780283100023,2026.06.01 03:05:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4544.79,4545.00,4544.90,21.0
P2F4_CANDIDATE_S1,1780284000034_SELL,XAUUSD,PERIOD_M5,2026.06.01 03:20:00,1780284000034,2026.06.01 03:20:00,SELL,REJECT,M15_NOT_BEARISH,10,4545.50628732,4541.56868886,BULLISH,4538.34,4538.55,4538.44,21.0
P2F4_CANDIDATE_S1,1780284600027_BUY,XAUUSD,PERIOD_M5,2026.06.01 03:30:00,1780284600027,2026.06.01 03:30:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4543.18,4543.39,4543.28,21.0
P2F4_CANDIDATE_S1,1780284900019_SELL,XAUUSD,PERIOD_M5,2026.06.01 03:35:00,1780284900019,2026.06.01 03:35:00,SELL,REJECT,M15_NOT_BEARISH,10,4545.28473615,4541.63187754,BULLISH,4538.08,4538.29,4538.18,21.0
P2F4_CANDIDATE_S1,1780302300127_BUY,XAUUSD,PERIOD_M5,2026.06.01 08:25:00,1780302300127,2026.06.01 08:25:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4522.49,4522.66,4522.57,17.0
P2F4_CANDIDATE_S1,1780305300197_SELL,XAUUSD,PERIOD_M5,2026.06.01 09:15:00,1780305300197,2026.06.01 09:15:00,SELL,ELIGIBLE,S1_SELL_M15_BEARISH,10,4521.78371144,4529.24064770,BEARISH,4514.15,4514.32,4514.23,17.0
P2F4_CANDIDATE_S1,1780316400057_BUY,XAUUSD,PERIOD_M5,2026.06.01 12:20:00,1780316400057,2026.06.01 12:20:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4505.67,4505.84,4505.76,17.0
P2F4_CANDIDATE_S1,1780316700002_SELL,XAUUSD,PERIOD_M5,2026.06.01 12:25:00,1780316700002,2026.06.01 12:25:00,SELL,ELIGIBLE,S1_SELL_M15_BEARISH,10,4507.07227562,4518.62396131,BEARISH,4499.65,4499.82,4499.73,17.0
