signal_id,symbol,timeframe,magic,signal_time,signal_time_msc,signal_bar_time,side,horizon_minutes,target_time,target_time_msc,observed_time,observed_time_msc,delay_milliseconds,status,entry_bid,entry_ask,entry_mid,entry_spread_points,entry_spread_bps,future_bid,future_ask,future_mid,future_spread_points,future_spread_bps,mid_return_points,executable_return_points,mid_return_bps,executable_return_bps,spread_drag_bps,fast_ema_bar2,slow_ema_bar2,fast_ema_bar1,slow_ema_bar1
1,XAUUSD,PERIOD_M5,26090401,2026.01.02 01:00:01,1767315601203,2026.01.02 01:00:00,BUY,1,2026.01.02 01:01:01,1767315661203,2026.01.02 01:01:01,1767315661325,122,OK,4318.72,4319.16,4318.94,44.0,1.0188,4329.45,4329.89,4329.67,44.0,1.0162,1073.0,1029.0,24.8441,23.8241,1.0200,4313.94225756,4313.99244075,4314.91780605,4314.43130977
1,XAUUSD,PERIOD_M5,26090401,2026.01.02 01:00:01,1767315601203,2026.01.02 01:00:00,BUY,3,2026.01.02 01:03:01,1767315781203,2026.01.02 01:03:01,1767315781663,460,OK,4318.72,4319.16,4318.94,44.0,1.0188,4330.60,4331.04,4330.82,44.0,1.0160,1188.0,1144.0,27.5067,26.4866,1.0201,4313.94225756,4313.99244075,4314.91780605,4314.43130977
1,XAUUSD,PERIOD_M5,26090401,2026.01.02 01:00:01,1767315601203,2026.01.02 01:00:00,BUY,5,2026.01.02 01:05:01,1767315901203,2026.01.02 01:05:01,1767315901661,458,OK,4318.72,4319.16,4318.94,44.0,1.0188,4327.65,4327.74,4327.69,9.0,0.2080,875.5,849.0,20.2712,19.6566,0.6146,4313.94225756,4313.99244075,4314.91780605,4314.43130977
1,XAUUSD,PERIOD_M5,26090401,2026.01.02 01:00:01,1767315601203,2026.01.02 01:00:00,BUY,10,2026.01.02 01:10:01,1767316201203,2026.01.02 01:10:01,1767316201436,233,OK,4318.72,4319.16,4318.94,44.0,1.0188,4333.16,4333.35,4333.26,19.0,0.4385,1431.5,1400.0,33.1447,32.4137,0.7310,4313.94225756,4313.99244075,4314.91780605,4314.43130977
1,XAUUSD,PERIOD_M5,26090401,2026.01.02 01:00:01,1767315601203,2026.01.02 01:00:00,BUY,15,2026.01.02 01:15:01,1767316501203,2026.01.02 01:15:01,1767316501248,45,OK,4318.72,4319.16,4318.94,44.0,1.0188,4330.72,4330.86,4330.79,14.0,0.3233,1185.0,1156.0,27.4373,26.7645,0.6728,4313.94225756,4313.99244075,4314.91780605,4314.43130977
1,XAUUSD,PERIOD_M5,26090401,2026.01.02 01:00:01,1767315601203,2026.01.02 01:00:00,BUY,30,2026.01.02 01:30:01,1767317401203,2026.01.02 01:30:01,1767317401228,25,OK,4318.72,4319.16,4318.94,44.0,1.0188,4341.45,4341.61,4341.53,16.0,0.3685,2259.0,2229.0,52.3045,51.6073,0.6972,4313.94225756,4313.99244075,4314.91780605,4314.43130977
1,XAUUSD,PERIOD_M5,26090401,2026.01.02 01:00:01,1767315601203,2026.01.02 01:00:00,BUY,60,2026.01.02 02:00:01,1767319201203,2026.01.02 02:00:01,1767319201205,2,OK,4318.72,4319.16,4318.94,44.0,1.0188,4349.01,4349.05,4349.03,4.0,0.0920,3009.0,2985.0,69.6699,69.1107,0.5592,4313.94225756,4313.99244075,4314.91780605,4314.43130977
2,XAUUSD,PERIOD_M5,26090401,2026.01.02 08:55:00,1767344100162,2026.01.02 08:55:00,SELL,1,2026.01.02 08:56:00,1767344160162,2026.01.02 08:56:00,1767344160243,81,OK,4374.40,4374.56,4374.48,16.0,0.3658,4375.02,4375.18,4375.10,16.0,0.3657,-62.0,-78.0,-1.4173,-1.7831,0.3658,4376.86217899,4376.62345809,4376.36974319,4376.42132554
2,XAUUSD,PERIOD_M5,26090401,2026.01.02 08:55:00,1767344100162,2026.01.02 08:55:00,SELL,3,2026.01.02 08:58:00,1767344280162,2026.01.02 08:58:00,1767344280831,669,OK,4374.40,4374.56,4374.48,16.0,0.3658,4374.07,4374.24,4374.15,17.0,0.3886,32.5,16.0,0.7429,0.3658,0.3772,4376.86217899,4376.62345809,4376.36974319,4376.42132554
2,XAUUSD,PERIOD_M5,26090401,2026.01.02 08:55:00,1767344100162,2026.01.02 08:55:00,SELL,5,2026.01.02 09:00:00,1767344400162,2026.01.02 09:00:00,1767344400175,13,OK,4374.40,4374.56,4374.48,16.0,0.3658,4374.83,4374.97,4374.90,14.0,0.3200,-42.0,-57.0,-0.9601,-1.3030,0.3429,4376.86217899,4376.62345809,4376.36974319,4376.42132554
2,XAUUSD,PERIOD_M5,26090401,2026.01.02 08:55:00,1767344100162,2026.01.02 08:55:00,SELL,10,2026.01.02 09:05:00,1767344700162,2026.01.02 09:05:00,1767344700218,56,OK,4374.40,4374.56,4374.48,16.0,0.3658,4373.96,4374.10,4374.03,14.0,0.3201,45.0,30.0,1.0287,0.6858,0.3429,4376.86217899,4376.62345809,4376.36974319,4376.42132554
2,XAUUSD,PERIOD_M5,26090401,2026.01.02 08:55:00,1767344100162,2026.01.02 08:55:00,SELL,15,2026.01.02 09:10:00,1767345000162,2026.01.02 09:10:00,1767345000181,19,OK,4374.40,4374.56,4374.48,16.0,0.3658,4373.00,4373.11,4373.06,11.0,0.2515,142.5,129.0,3.2575,2.9490,0.3086,4376.86217899,4376.62345809,4376.36974319,4376.42132554
2,XAUUSD,PERIOD_M5,26090401,2026.01.02 08:55:00,1767344100162,2026.01.02 08:55:00,SELL,30,2026.01.02 09:25:00,1767345900162,2026.01.02 09:25:00,1767345900162,0,OK,4374.40,4374.56,4374.48,16.0,0.3658,4372.55,4372.73,4372.64,18.0,0.4117,184.0,167.0,4.2062,3.8177,0.3885,4376.86217899,4376.62345809,4376.36974319,4376.42132554
3,XAUUSD,PERIOD_M5,26090401,2026.01.02 09:40:00,1767346800005,2026.01.02 09:40:00,BUY,1,2026.01.02 09:41:00,1767346860005,2026.01.02 09:41:00,1767346860045,40,OK,4379.76,4379.89,4379.83,13.0,0.2968,4377.47,4377.61,4377.54,14.0,0.3198,-228.5,-242.0,-5.2171,-5.5253,0.3081,4375.51054308,4375.70749660,4376.36043446,4376.07590600
3,XAUUSD,PERIOD_M5,26090401,2026.01.02 09:40:00,1767346800005,2026.01.02 09:40:00,BUY,3,2026.01.02 09:43:00,1767346980005,2026.01.02 09:43:00,1767346980034,29,OK,4379.76,4379.89,4379.83,13.0,0.2968,4376.30,4376.40,4376.35,10.0,0.2285,-347.5,-359.0,-7.9341,-8.1966,0.2624,4375.51054308,4375.70749660,4376.36043446,4376.07590600
3,XAUUSD,PERIOD_M5,26090401,2026.01.02 09:40:00,1767346800005,2026.01.02 09:40:00,BUY,5,2026.01.02 09:45:00,1767347100005,2026.01.02 09:45:00,1767347100146,141,OK,4379.76,4379.89,4379.83,13.0,0.2968,4375.80,4375.92,4375.86,12.0,0.2742,-396.5,-409.0,-9.0529,-9.3381,0.2853,4375.51054308,4375.70749660,4376.36043446,4376.07590600
3,XAUUSD,PERIOD_M5,26090401,2026.01.02 09:40:00,1767346800005,2026.01.02 09:40:00,BUY,10,2026.01.02 09:50:00,1767347400005,2026.01.02 09:50:00,1767347400019,14,OK,4379.76,4379.89,4379.83,13.0,0.2968,4377.09,4377.21,4377.15,12.0,0.2742,-267.5,-280.0,-6.1075,-6.3929,0.2853,4375.51054308,4375.70749660,4376.36043446,4376.07590600
3,XAUUSD,PERIOD_M5,26090401,2026.01.02 09:40:00,1767346800005,2026.01.02 09:40:00,BUY,15,2026.01.02 09:55:00,1767347700005,2026.01.02 09:55:00,1767347700023,18,OK,4379.76,4379.89,4379.83,13.0,0.2968,4380.45,4380.58,4380.51,13.0,0.2968,69.0,56.0,1.5754,1.2786,0.2968,4375.51054308,4375.70749660,4376.36043446,4376.07590600
2,XAUUSD,PERIOD_M5,26090401,2026.01.02 08:55:00,1767344100162,2026.01.02 08:55:00,SELL,60,2026.01.02 09:55:00,1767347700162,2026.01.02 09:55:00,1767347700224,62,OK,4374.40,4374.56,4374.48,16.0,0.3658,4380.48,4380.59,4380.53,11.0,0.2511,-605.5,-619.0,-13.8416,-14.1505,0.3089,4376.86217899,4376.62345809,4376.36974319,4376.42132554
3,XAUUSD,PERIOD_M5,26090401,2026.01.02 09:40:00,1767346800005,2026.01.02 09:40:00,BUY,30,2026.01.02 10:10:00,1767348600005,2026.01.02 10:10:00,1767348600039,34,OK,4379.76,4379.89,4379.83,13.0,0.2968,4385.99,4386.09,4386.04,10.0,0.2280,621.5,610.0,14.1901,13.9273,0.2628,4375.51054308,4375.70749660,4376.36043446,4376.07590600
