position_id,symbol,timeframe,magic,side,entry_deal_id,exit_deal_id,entry_order_id,exit_order_id,entry_time,exit_time,holding_seconds,holding_hours,entry_volume,exit_volume,entry_price,exit_price,initial_sl,initial_tp,gross_pnl,commission,swap,fee,net_pnl,mt5_exit_reason,strategy_exit_reason,balance_after,diagnostics_status,ticks_scanned,best_price,worst_price,mfe_points,mae_points,mfe_money,mae_money,mfe_r,mae_r
130,XAUUSD,PERIOD_H1,26090401,BUY,130,131,130,131,2025.09.12 05:00:00,2025.09.12 11:50:19,24619,6.8386,0.1000,0.1000,3646.48,3641.20,3641.48,3666.48,-52.80,0.00,0.00,0.00,-52.80,DEAL_REASON_SL,STOP_LOSS,10157.66,OK,24776,3656.63,3641.20,1015.0,528.0,101.50,52.80,2.0300,1.0560
132,XAUUSD,PERIOD_H1,26090401,SELL,132,133,132,133,2025.09.18 01:00:08,2025.09.18 01:13:02,774,0.2150,0.1000,0.1000,3658.85,3663.90,3663.85,3638.85,-50.50,0.00,0.00,0.00,-50.50,DEAL_REASON_SL,STOP_LOSS,10107.16,OK,941,3655.85,3663.90,300.0,505.0,30.00,50.50,0.6000,1.0100
134,XAUUSD,PERIOD_H1,26090401,BUY,134,135,134,135,2025.09.19 21:00:00,2025.09.22 08:35:40,214540,59.5944,0.1000,0.1000,3678.83,3698.87,3673.83,3698.83,200.40,0.00,0.00,0.00,200.40,DEAL_REASON_TP,TAKE_PROFIT,10307.56,OK,40790,3698.87,3678.29,2004.0,54.0,200.40,5.40,4.0080,0.1080
136,XAUUSD,PERIOD_H1,26090401,SELL,136,137,136,137,2025.09.25 07:00:00,2025.09.25 09:10:01,7801,2.1669,0.1000,0.1000,3736.67,3741.73,3741.67,3716.67,-50.60,0.00,0.00,0.00,-50.60,DEAL_REASON_SL,STOP_LOSS,10256.96,OK,8435,3731.88,3741.73,479.0,506.0,47.90,50.60,0.9580,1.0120
138,XAUUSD,PERIOD_H1,26090401,BUY,138,139,138,139,2025.09.25 13:00:00,2025.09.25 14:03:07,3787,1.0519,0.1000,0.1000,3757.19,3751.67,3752.19,3777.19,-55.20,0.00,0.00,0.00,-55.20,DEAL_REASON_SL,STOP_LOSS,10201.76,OK,4773,3760.78,3751.67,359.0,552.0,35.90,55.20,0.7180,1.1040
140,XAUUSD,PERIOD_H1,26090401,SELL,140,141,140,141,2025.09.25 17:00:00,2025.09.25 19:07:53,7673,2.1314,0.1000,0.1000,3734.03,3739.10,3739.03,3714.03,-50.70,0.00,0.00,0.00,-50.70,DEAL_REASON_SL,STOP_LOSS,10151.06,OK,12347,3723.74,3739.10,1029.0,507.0,102.90,50.70,2.0580,1.0140
142,XAUUSD,PERIOD_H1,26090401,BUY,142,143,142,143,2025.09.26 13:00:00,2025.09.26 13:40:48,2448,0.6800,0.1000,0.1000,3751.56,3746.55,3746.56,3771.56,-50.10,0.00,0.00,0.00,-50.10,DEAL_REASON_SL,STOP_LOSS,10100.96,OK,2806,3754.78,3746.55,322.0,501.0,32.20,50.10,0.6440,1.0020
144,XAUUSD,PERIOD_H1,26090401,SELL,144,145,144,145,2025.10.03 08:00:00,2025.10.03 08:13:33,813,0.2258,0.1000,0.1000,3844.03,3849.19,3849.03,3824.03,-51.60,0.00,0.00,0.00,-51.60,DEAL_REASON_SL,STOP_LOSS,10049.36,OK,832,3844.03,3849.19,0.0,516.0,0.00,51.60,0.0000,1.0320
146,XAUUSD,PERIOD_H1,26090401,BUY,146,147,146,147,2025.10.03 11:00:00,2025.10.03 12:16:54,4614,1.2817,0.1000,0.1000,3864.46,3859.44,3859.46,3884.46,-50.20,0.00,0.00,0.00,-50.20,DEAL_REASON_SL,STOP_LOSS,9999.16,OK,4623,3865.57,3859.44,111.0,502.0,11.10,50.20,0.2220,1.0040
148,XAUUSD,PERIOD_H1,26090401,SELL,148,149,148,149,2025.10.10 01:00:10,2025.10.10 01:00:59,49,0.0136,0.0900,0.0900,3974.93,3980.06,3979.93,3954.93,-46.17,0.00,0.00,0.00,-46.17,DEAL_REASON_SL,STOP_LOSS,9952.99,OK,126,3974.93,3980.06,0.0,513.0,0.00,46.17,0.0000,1.0260
150,XAUUSD,PERIOD_H1,26090401,BUY,150,151,150,151,2025.10.13 02:00:00,2025.10.13 02:41:08,2468,0.6856,0.0900,0.0900,4042.36,4037.34,4037.36,4062.36,-45.18,0.00,0.00,0.00,-45.18,DEAL_REASON_SL,STOP_LOSS,9907.81,OK,4098,4060.29,4037.34,1793.0,502.0,161.37,45.18,3.5860,1.0040
