position_id,symbol,timeframe,magic,side,entry_deal_id,exit_deal_id,entry_order_id,exit_order_id,entry_time,exit_time,holding_seconds,holding_hours,entry_volume,exit_volume,entry_price,exit_price,initial_sl,initial_tp,gross_pnl,commission,swap,fee,net_pnl,mt5_exit_reason,strategy_exit_reason,balance_after,diagnostics_status,ticks_scanned,best_price,worst_price,mfe_points,mae_points,mfe_money,mae_money,mfe_r,mae_r
2,XAUUSD,PERIOD_H1,26090401,BUY,2,3,2,3,2026.01.02 13:00:00,2026.01.02 13:53:44,3224,0.8956,0.1000,0.1000,4396.30,4391.25,4391.30,4416.30,-50.50,0.00,0.00,0.00,-50.50,DEAL_REASON_SL,STOP_LOSS,9949.50,OK,17475,4399.30,4391.25,300.0,505.0,30.00,50.50,0.6000,1.0100
4,XAUUSD,PERIOD_H1,26090401,SELL,4,5,4,5,2026.01.02 19:00:00,2026.01.02 19:02:01,121,0.0336,0.0900,0.0900,4326.42,4331.42,4331.42,4306.42,-45.00,0.00,0.00,0.00,-45.00,DEAL_REASON_SL,STOP_LOSS,9904.50,OK,2125,4325.07,4331.42,135.0,500.0,12.15,45.00,0.2700,1.0000
6,XAUUSD,PERIOD_H1,26090401,BUY,6,7,6,7,2026.01.05 05:00:00,2026.01.05 05:59:54,3594,0.9983,0.0900,0.0900,4405.58,4400.57,4400.58,4425.58,-45.09,0.00,0.00,0.00,-45.09,DEAL_REASON_SL,STOP_LOSS,9859.41,OK,46906,4414.01,4400.57,843.0,501.0,75.87,45.09,1.6860,1.0020
8,XAUUSD,PERIOD_H1,26090401,SELL,8,9,8,9,2026.01.08 08:00:00,2026.01.08 08:31:06,1866,0.5183,0.0900,0.0900,4425.49,4430.51,4430.49,4405.49,-45.18,0.00,0.00,0.00,-45.18,DEAL_REASON_SL,STOP_LOSS,9814.23,OK,26973,4416.09,4430.51,940.0,502.0,84.60,45.18,1.8800,1.0040
10,XAUUSD,PERIOD_H1,26090401,SELL,10,11,10,11,2026.01.16 09:00:00,2026.01.16 09:06:11,371,0.1031,0.0900,0.0900,4598.05,4603.14,4603.05,4578.05,-45.81,0.00,0.00,0.00,-45.81,DEAL_REASON_SL,STOP_LOSS,9768.42,OK,3057,4597.04,4603.14,101.0,509.0,9.09,45.81,0.2020,1.0180
12,XAUUSD,PERIOD_H1,26090401,BUY,12,13,12,13,2026.01.19 03:00:00,2026.01.19 03:00:54,54,0.0150,0.0900,0.0900,4675.39,4670.33,4670.39,4695.39,-45.54,0.00,0.00,0.00,-45.54,DEAL_REASON_SL,STOP_LOSS,9722.88,OK,1335,4678.14,4670.33,275.0,506.0,24.75,45.54,0.5500,1.0120
14,XAUUSD,PERIOD_H1,26090401,SELL,14,15,14,15,2026.01.30 09:00:00,2026.01.30 09:00:15,15,0.0042,0.0900,0.0900,5155.96,5135.64,5160.96,5135.96,182.88,0.00,0.00,0.00,182.88,DEAL_REASON_TP,TAKE_PROFIT,9905.76,OK,297,5135.64,5158.75,2032.0,279.0,182.88,25.11,4.0640,0.5580
16,XAUUSD,PERIOD_H1,26090401,SELL,16,17,16,17,2026.02.05 07:00:00,2026.02.05 07:00:20,20,0.0056,0.0900,0.0900,4864.03,4869.07,4869.03,4844.03,-45.36,0.00,0.00,0.00,-45.36,DEAL_REASON_SL,STOP_LOSS,9860.40,OK,357,4862.94,4869.07,109.0,504.0,9.81,45.36,0.2180,1.0080
18,XAUUSD,PERIOD_H1,26090401,BUY,18,19,18,19,2026.02.06 20:00:00,2026.02.06 20:23:21,1401,0.3892,0.0900,0.0900,4960.82,4955.81,4955.82,4980.82,-45.09,0.00,0.00,0.00,-45.09,DEAL_REASON_SL,STOP_LOSS,9815.31,OK,15345,4971.48,4955.81,1066.0,501.0,95.94,45.09,2.1320,1.0020
