join_key,symbol,entry_timeframe,context_timeframe,signal_time,signal_time_msc,signal_bar_time,side,context_status,server_hour,server_minute,server_day_of_week,entry_bid,entry_ask,entry_mid,spread_points,spread_bps,m5_fast_ema_bar2,m5_slow_ema_bar2,m5_fast_ema_bar1,m5_slow_ema_bar1,m5_fast_slope_points,m5_slow_slope_points,m5_ema_separation_points,m5_ema_separation_bps,m5_signal_separation_bps,m5_atr_points,m5_atr_bps,spread_to_atr_ratio,m5_bar1_open,m5_bar1_high,m5_bar1_low,m5_bar1_close,m5_bar1_direction,m5_bar1_body_points,m5_bar1_range_points,m5_bar1_body_to_range,m5_bar1_range_to_atr,m5_momentum_3bar_bps,m5_signal_momentum_3bar_bps,m15_fast_ema_bar2,m15_slow_ema_bar2,m15_fast_ema_bar1,m15_slow_ema_bar1,m15_fast_slope_points,m15_slow_slope_points,m15_ema_separation_points,m15_ema_separation_bps,m15_trend,m15_signal_alignment
2026.06.01 02:55_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.06.01 02:55:00,1780282500130,2026.06.01 02:55:00,BUY,OK,2,55,1,4544.25,4544.50,4544.38,25.0,0.5501,4540.89712093,4541.06929737,4541.56769674,4541.35845215,67.06,28.92,20.92,0.4604,0.4604,376.21,8.2787,0.066451,4541.10,4544.80,4540.44,4544.25,BULLISH,315.00,436.00,0.722477,1.158914,7.7961,7.7961,4547.18757062,4541.67593406,4546.68684961,4541.68589743,-50.07,1.00,500.10,11.0047,BULLISH,ALIGNED
2026.06.01 03:00_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.06.01 03:00:00,1780282800047,2026.06.01 03:00:00,SELL,OK,3,0,1,4539.57,4539.82,4539.69,25.0,0.5507,4541.56769674,4541.35845215,4541.16815739,4541.19586559,-39.95,-16.26,-2.77,-0.0610,0.0610,378.43,8.3360,0.066063,4544.25,4544.64,4539.57,4539.57,BEARISH,468.00,507.00,0.923077,1.339751,-5.1960,5.1960,4546.68684961,4541.68589743,4546.00905441,4541.60292106,-67.78,-8.30,440.61,9.7058,BULLISH,COUNTER
2026.06.01 03:05_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.06.01 03:05:00,1780283100023,2026.06.01 03:05:00,BUY,OK,3,5,1,4544.79,4545.00,4544.90,21.0,0.4621,4541.16815739,4541.19586559,4541.89252591,4541.52260509,72.44,32.67,36.99,0.8139,0.8139,408.64,8.9912,0.051390,4539.57,4546.06,4537.51,4544.79,BULLISH,522.00,855.00,0.610526,2.092292,8.0817,8.0817,4546.68684961,4541.68589743,4546.00905441,4541.60292106,-67.78,-8.30,440.61,9.6947,BULLISH,ALIGNED
2026.06.01 03:20_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.06.01 03:20:00,1780284000034,2026.06.01 03:20:00,SELL,OK,3,20,1,4538.34,4538.55,4538.44,21.0,0.4627,4541.47881659,4541.38752486,4540.85105327,4541.11047715,-62.78,-27.70,-25.94,-0.5716,0.5716,432.21,9.5234,0.048587,4540.61,4543.69,4537.77,4538.34,BEARISH,227.00,592.00,0.383446,1.369691,-14.1921,14.1921,4546.00905441,4541.60292106,4545.50628732,4541.56868886,-50.28,-3.42,393.76,8.6761,BULLISH,COUNTER
2026.06.01 03:30_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.06.01 03:30:00,1780284600027,2026.06.01 03:30:00,BUY,OK,3,30,1,4543.18,4543.39,4543.28,21.0,0.4622,4540.84484261,4541.08407014,4541.31187409,4541.27460921,46.70,19.05,3.73,0.0820,0.0820,451.79,9.9440,0.046482,4540.74,4544.47,4539.80,4543.18,BULLISH,244.00,467.00,0.522484,1.033676,5.3956,5.3956,4545.50628732,4541.56868886,4545.28473615,4541.63187754,-22.16,6.32,365.29,8.0401,BULLISH,ALIGNED
2026.06.01 03:35_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.06.01 03:35:00,1780284900019,2026.06.01 03:35:00,SELL,OK,3,35,1,4538.08,4538.29,4538.18,21.0,0.4627,4541.31187409,4541.27460921,4540.66549927,4540.98419019,-64.64,-29.04,-31.87,-0.7022,0.7022,492.36,10.8492,0.042652,4543.18,4545.09,4535.99,4538.08,BEARISH,510.00,910.00,0.560440,1.848252,-0.5729,0.5729,4545.50628732,4541.56868886,4545.28473615,4541.63187754,-22.16,6.32,365.29,8.0492,BULLISH,COUNTER
2026.06.01 08:25_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.06.01 08:25:00,1780302300127,2026.06.01 08:25:00,BUY,OK,8,25,1,4522.49,4522.66,4522.57,17.0,0.3759,4516.86034931,4517.01578728,4517.98627944,4517.51344298,112.59,49.77,47.28,1.0455,1.0455,325.71,7.2020,0.052193,4521.61,4523.16,4519.67,4522.49,BULLISH,88.00,349.00,0.252149,1.071491,13.3955,13.3955,4524.26818144,4531.70965378,4523.68454511,4531.17751050,-58.36,-53.21,-749.30,-16.5679,BEARISH,COUNTER
2026.06.01 09:15_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.06.01 09:15:00,1780305300197,2026.06.01 09:15:00,SELL,OK,9,15,1,4514.15,4514.32,4514.23,17.0,0.3766,4518.82776715,4518.49980553,4517.89221372,4518.10436867,-93.56,-39.54,-21.22,-0.4700,0.4700,503.86,11.1615,0.033740,4517.10,4517.52,4512.73,4514.15,BEARISH,295.00,479.00,0.615866,0.950666,-9.1849,9.1849,4522.58726001,4529.85659250,4521.78371144,4529.24064770,-80.35,-61.59,-745.69,-16.5187,BEARISH,ALIGNED
2026.06.01 12:20_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.06.01 12:20:00,1780316400057,2026.06.01 12:20:00,BUY,OK,12,20,1,4505.67,4505.84,4505.76,17.0,0.3773,4498.76124086,4499.53236176,4500.14299269,4500.09032888,138.18,55.80,5.27,0.1169,0.1169,452.14,10.0348,0.037599,4499.67,4505.72,4498.25,4505.67,BULLISH,600.00,747.00,0.803213,1.652133,11.3319,11.3319,4507.85251516,4519.39800055,4507.07227562,4518.62396131,-78.02,-77.40,-1155.17,-25.6376,BEARISH,COUNTER
2026.06.01 12:25_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.06.01 12:25:00,1780316700002,2026.06.01 12:25:00,SELL,OK,12,25,1,4499.65,4499.82,4499.73,17.0,0.3778,4500.14299269,4500.09032888,4500.04239415,4500.04938989,-10.06,-4.09,-0.70,-0.0155,0.0155,469.86,10.4419,0.036181,4505.67,4506.28,4498.68,4499.64,BEARISH,603.00,760.00,0.793421,1.617513,0.1111,-0.1111,4507.85251516,4519.39800055,4507.07227562,4518.62396131,-78.02,-77.40,-1155.17,-25.6719,BEARISH,ALIGNED
