time,event,position_id,deal_id,order_id,symbol,timeframe,magic,position_side,deal_side,entry_type,volume,price,profit,commission,swap,fee,net_pnl,deal_reason,balance_after,decision_time,strategy_signal,fast_ema_bar2,slow_ema_bar2,fast_ema_bar1,slow_ema_bar1,spread_points,decision_bid,decision_ask,planned_sl,planned_tp,strategy_exit_reason
2026.01.02 13:00:00,ENTRY,2,2,2,XAUUSD,PERIOD_H1,26090401,BUY,DEAL_TYPE_BUY,DEAL_ENTRY_IN,0.1000,4396.30,0.00,0.00,0.00,0.00,0.00,DEAL_REASON_EXPERT,10000.00,2026.01.02 13:00:00,BUY,4358.70600221,4360.63154203,4362.26828771,4362.02285410,19.0,4396.11,4396.30,4391.30,4416.30,
2026.01.02 13:53:44,EXIT,2,3,3,XAUUSD,PERIOD_H1,26090401,BUY,DEAL_TYPE_SELL,DEAL_ENTRY_OUT,0.1000,4391.25,-50.50,0.00,0.00,0.00,-50.50,DEAL_REASON_SL,9949.50,,,,,,,,,,,,
2026.01.02 19:00:00,ENTRY,4,4,4,XAUUSD,PERIOD_H1,26090401,SELL,DEAL_TYPE_SELL,DEAL_ENTRY_IN,0.0900,4326.42,0.00,0.00,0.00,0.00,0.00,DEAL_REASON_EXPERT,9949.50,2026.01.02 19:00:00,SELL,4363.47300685,4362.96280388,4359.94510144,4361.53014490,19.0,4326.42,4326.61,4331.42,4306.42,
2026.01.02 19:02:01,EXIT,4,5,5,XAUUSD,PERIOD_H1,26090401,SELL,DEAL_TYPE_BUY,DEAL_ENTRY_OUT,0.0900,4331.42,-45.00,0.00,0.00,0.00,-45.00,DEAL_REASON_SL,9904.50,,,,,,,,,,,,
2026.01.05 05:00:00,ENTRY,6,6,6,XAUUSD,PERIOD_H1,26090401,BUY,DEAL_TYPE_BUY,DEAL_ENTRY_IN,0.0900,4405.58,0.00,0.00,0.00,0.00,0.00,DEAL_REASON_EXPERT,9904.50,2026.01.05 05:00:00,BUY,4357.68872801,4358.79374497,4362.24218248,4360.62536281,8.0,4405.50,4405.58,4400.58,4425.58,
2026.01.05 05:59:54,EXIT,6,7,7,XAUUSD,PERIOD_H1,26090401,BUY,DEAL_TYPE_SELL,DEAL_ENTRY_OUT,0.0900,4400.57,-45.09,0.00,0.00,0.00,-45.09,DEAL_REASON_SL,9859.41,,,,,,,,,,,,
2026.01.08 08:00:00,ENTRY,8,8,8,XAUUSD,PERIOD_H1,26090401,SELL,DEAL_TYPE_SELL,DEAL_ENTRY_IN,0.0900,4425.49,0.00,0.00,0.00,0.00,0.00,DEAL_REASON_EXPERT,9859.41,2026.01.08 08:00:00,SELL,4451.61689865,4450.60776758,4449.12957497,4449.62314924,9.0,4425.49,4425.58,4430.49,4405.49,
2026.01.08 08:31:06,EXIT,8,9,9,XAUUSD,PERIOD_H1,26090401,SELL,DEAL_TYPE_BUY,DEAL_ENTRY_OUT,0.0900,4430.51,-45.18,0.00,0.00,0.00,-45.18,DEAL_REASON_SL,9814.23,,,,,,,,,,,,
2026.01.16 09:00:00,ENTRY,10,10,10,XAUUSD,PERIOD_H1,26090401,SELL,DEAL_TYPE_SELL,DEAL_ENTRY_IN,0.0900,4598.05,0.00,0.00,0.00,0.00,0.00,DEAL_REASON_EXPERT,9814.23,2026.01.16 09:00:00,SELL,4606.96289025,4606.56255300,4606.11118641,4606.22755093,16.0,4598.05,4598.21,4603.05,4578.05,
2026.01.16 09:06:11,EXIT,10,11,11,XAUUSD,PERIOD_H1,26090401,SELL,DEAL_TYPE_BUY,DEAL_ENTRY_OUT,0.0900,4603.14,-45.81,0.00,0.00,0.00,-45.81,DEAL_REASON_SL,9768.42,,,,,,,,,,,,
2026.01.19 03:00:00,ENTRY,12,12,12,XAUUSD,PERIOD_H1,26090401,BUY,DEAL_TYPE_BUY,DEAL_ENTRY_IN,0.0900,4675.39,0.00,0.00,0.00,0.00,0.00,DEAL_REASON_EXPERT,9768.42,2026.01.19 03:00:00,BUY,4602.87702613,4603.59462356,4609.76397603,4606.40228538,22.0,4675.17,4675.39,4670.39,4695.39,
2026.01.19 03:00:54,EXIT,12,13,13,XAUUSD,PERIOD_H1,26090401,BUY,DEAL_TYPE_SELL,DEAL_ENTRY_OUT,0.0900,4670.33,-45.54,0.00,0.00,0.00,-45.54,DEAL_REASON_SL,9722.88,,,,,,,,,,,,
2026.01.30 09:00:00,ENTRY,14,14,14,XAUUSD,PERIOD_H1,26090401,SELL,DEAL_TYPE_SELL,DEAL_ENTRY_IN,0.0900,5155.96,0.00,0.00,0.00,0.00,0.00,DEAL_REASON_EXPERT,9722.88,2026.01.30 09:00:00,SELL,5331.26354330,5326.69060434,5314.56796775,5319.99528653,16.0,5155.96,5156.12,5160.96,5135.96,
