candidate_id,research_join_key,symbol,entry_timeframe,signal_time,signal_time_msc,signal_bar_time,side,gate_result,gate_reason,research_horizon_minutes,m15_fast_ema_bar1,m15_slow_ema_bar1,m15_trend,entry_bid,entry_ask,entry_mid,spread_points
P2F4_CANDIDATE_S1,1770696300038_BUY,XAUUSD,PERIOD_M5,2026.02.10 04:05:00,1770696300038,2026.02.10 04:05:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5036.87,5036.95,5036.91,8.0
P2F4_CANDIDATE_S1,1770700500091_SELL,XAUUSD,PERIOD_M5,2026.02.10 05:15:00,1770700500091,2026.02.10 05:15:00,SELL,ELIGIBLE,S1_SELL_M15_BEARISH,10,5039.12797633,5039.70115035,BEARISH,5026.88,5026.93,5026.91,5.0
P2F4_CANDIDATE_S1,1770706800009_BUY,XAUUSD,PERIOD_M5,2026.02.10 07:00:00,1770706800009,2026.02.10 07:00:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5031.71,5031.80,5031.76,9.0
P2F4_CANDIDATE_S1,1770708000060_SELL,XAUUSD,PERIOD_M5,2026.02.10 07:20:00,1770708000060,2026.02.10 07:20:00,SELL,ELIGIBLE,S1_SELL_M15_BEARISH,10,5032.75063357,5036.28923617,BEARISH,5023.59,5023.63,5023.61,4.0
P2F4_CANDIDATE_S1,1770709800198_BUY,XAUUSD,PERIOD_M5,2026.02.10 07:50:00,1770709800198,2026.02.10 07:50:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5034.58,5034.75,5034.66,17.0
P2F4_CANDIDATE_S1,1770713700081_SELL,XAUUSD,PERIOD_M5,2026.02.10 08:55:00,1770713700081,2026.02.10 08:55:00,SELL,ELIGIBLE,S1_SELL_M15_BEARISH,10,5032.31901768,5035.29716304,BEARISH,5022.23,5022.35,5022.29,12.0
P2F4_CANDIDATE_S1,1770717600049_BUY,XAUUSD,PERIOD_M5,2026.02.10 10:00:00,1770717600049,2026.02.10 10:00:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5034.10,5034.14,5034.12,4.0
P2F4_CANDIDATE_S1,1770732900073_SELL,XAUUSD,PERIOD_M5,2026.02.10 14:15:00,1770732900073,2026.02.10 14:15:00,SELL,REJECT,M15_NOT_BEARISH,10,5044.78689278,5040.58527278,BULLISH,5044.03,5044.15,5044.09,12.0
P2F4_CANDIDATE_S1,1770738000073_BUY,XAUUSD,PERIOD_M5,2026.02.10 15:40:00,1770738000073,2026.02.10 15:40:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5049.05,5049.24,5049.15,19.0
P2F4_CANDIDATE_S1,1770742800022_SELL,XAUUSD,PERIOD_M5,2026.02.10 17:00:00,1770742800022,2026.02.10 17:00:00,SELL,REJECT,M15_NOT_BEARISH,10,5047.34259366,5043.05742088,BULLISH,5039.70,5039.80,5039.75,10.0
