join_key,symbol,entry_timeframe,context_timeframe,signal_time,signal_time_msc,signal_bar_time,side,context_status,server_hour,server_minute,server_day_of_week,entry_bid,entry_ask,entry_mid,spread_points,spread_bps,m5_fast_ema_bar2,m5_slow_ema_bar2,m5_fast_ema_bar1,m5_slow_ema_bar1,m5_fast_slope_points,m5_slow_slope_points,m5_ema_separation_points,m5_ema_separation_bps,m5_signal_separation_bps,m5_atr_points,m5_atr_bps,spread_to_atr_ratio,m5_bar1_open,m5_bar1_high,m5_bar1_low,m5_bar1_close,m5_bar1_direction,m5_bar1_body_points,m5_bar1_range_points,m5_bar1_body_to_range,m5_bar1_range_to_atr,m5_momentum_3bar_bps,m5_signal_momentum_3bar_bps,m15_fast_ema_bar2,m15_slow_ema_bar2,m15_fast_ema_bar1,m15_slow_ema_bar1,m15_fast_slope_points,m15_slow_slope_points,m15_ema_separation_points,m15_ema_separation_bps,m15_trend,m15_signal_alignment
2026.01.05 06:25_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.05 06:25:00,1767594300072,2026.01.05 06:25:00,BUY,OK,6,25,1,4405.24,4405.32,4405.28,8.0,0.1816,4403.35497466,4403.54740353,4403.73197972,4403.70127594,37.70,15.39,3.07,0.0697,0.0697,402.36,9.1335,0.019883,4403.02,4406.39,4403.02,4405.24,BULLISH,222.00,337.00,0.658754,0.837564,11.3630,11.3630,4389.61625752,4371.28929875,4390.61470918,4372.41913018,99.85,112.98,1819.56,41.3040,BULLISH,ALIGNED
2026.01.05 13:20_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.05 13:20:00,1767619200021,2026.01.05 13:20:00,SELL,OK,13,20,1,4427.69,4427.83,4427.76,14.0,0.3162,4434.08935124,4433.45910513,4432.79748099,4432.92918649,-129.19,-52.99,-13.17,-0.2975,0.2975,341.43,7.7111,0.041004,4433.24,4433.72,4427.44,4427.63,BEARISH,561.00,628.00,0.893312,1.839331,-10.2658,10.2658,4426.53881532,4407.42843033,4427.17702338,4408.44064875,63.82,101.22,1873.64,42.3157,BULLISH,COUNTER
2026.01.05 16:05_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.05 16:05:00,1767629100008,2026.01.05 16:05:00,BUY,OK,16,5,1,4422.51,4422.60,4422.56,9.0,0.2035,4412.14447276,4413.19143842,4414.21757821,4414.03858038,207.31,84.71,17.90,0.4047,0.4047,671.57,15.1851,0.013401,4416.86,4423.38,4416.86,4422.51,BULLISH,565.00,652.00,0.866564,0.970857,19.1207,19.1207,4417.59530070,4409.90532146,4417.52146253,4410.17648532,-7.38,27.12,734.50,16.6080,BULLISH,ALIGNED
2026.01.05 21:15_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.05 21:15:00,1767647700434,2026.01.05 21:15:00,SELL,OK,21,15,1,4440.05,4440.21,4440.13,16.0,0.3603,4444.33128610,4444.30373699,4443.47302888,4443.91612453,-85.83,-38.76,-44.31,-0.9979,0.9979,463.86,10.4469,0.034493,4437.50,4440.58,4434.84,4440.04,BULLISH,254.00,574.00,0.442509,1.237450,-19.1971,19.1971,4439.83217778,4427.89740336,4439.85197037,4428.37358362,1.98,47.62,1147.84,25.8515,BULLISH,COUNTER
2026.01.05 22:25_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.05 22:25:00,1767651900259,2026.01.05 22:25:00,BUY,OK,22,25,1,4444.69,4444.89,4444.79,20.0,0.4500,4442.99504012,4443.08005986,4443.33403209,4443.22641805,33.90,14.64,10.76,0.2421,0.2421,335.79,7.5546,0.059562,4444.89,4446.97,4443.77,4444.69,BEARISH,20.00,320.00,0.062500,0.952989,7.8808,7.8808,4440.23141397,4429.84186624,4440.57699359,4430.39159698,34.56,54.97,1018.54,22.9154,BULLISH,ALIGNED
2026.01.05 22:40_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.05 22:40:00,1767652800093,2026.01.05 22:40:00,SELL,OK,22,40,1,4441.08,4441.28,4441.18,20.0,0.4503,4443.32858054,4443.26439509,4442.87886443,4443.06581371,-44.97,-19.86,-18.69,-0.4209,0.4209,349.93,7.8792,0.057155,4441.55,4443.24,4439.07,4441.08,BEARISH,47.00,417.00,0.112710,1.191672,-8.1221,8.1221,4440.57699359,4430.39159698,4441.04870849,4430.98525984,47.17,59.37,1006.34,22.6594,BULLISH,COUNTER
2026.01.05 23:05_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.05 23:05:00,1767654300052,2026.01.05 23:05:00,BUY,OK,23,5,1,4446.37,4446.64,4446.51,27.0,0.6072,4442.32446287,4442.60115000,4443.13357030,4442.94377273,80.91,34.26,18.98,0.4268,0.4268,380.21,8.5509,0.071013,4444.81,4447.65,4444.80,4446.37,BULLISH,156.00,285.00,0.547368,0.749577,13.0614,13.0614,4440.76311720,4431.26230848,4441.14758223,4431.79319834,38.45,53.09,935.44,21.0376,BULLISH,ALIGNED
2026.01.06 01:45_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.06 01:45:00,1767663900037,2026.01.06 01:45:00,SELL,OK,1,45,2,4442.95,4443.16,4443.06,21.0,0.4726,4447.66095476,4447.42172932,4446.72076381,4447.01611757,-94.02,-40.56,-29.54,-0.6648,0.6648,412.79,9.2906,0.050874,4443.95,4444.74,4441.60,4442.96,BEARISH,99.00,314.00,0.315287,0.760685,-13.4414,13.4414,4444.35236185,4435.27128920,4444.21975596,4435.57280727,-13.26,30.15,864.69,19.4617,BULLISH,COUNTER
2026.01.06 03:55_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.06 03:55:00,1767671700040,2026.01.06 03:55:00,BUY,OK,3,55,2,4447.64,4447.85,4447.75,21.0,0.4721,4438.55266759,4439.01959887,4440.37413408,4439.80508988,182.15,78.55,56.90,1.2794,1.2794,536.71,12.0671,0.039127,4440.66,4448.29,4439.70,4447.66,BULLISH,700.00,859.00,0.814901,1.600479,16.7785,16.7785,4441.36885126,4436.33976397,4441.16800828,4436.45428303,-20.08,11.45,471.37,10.5980,BULLISH,ALIGNED
2026.01.06 07:50_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.06 07:50:00,1767685800037,2026.01.06 07:50:00,SELL,OK,7,50,2,4459.83,4459.99,4459.91,16.0,0.3588,4466.70306355,4465.99525324,4465.33445084,4465.43750295,-136.86,-55.78,-10.31,-0.2311,0.2311,360.14,8.0751,0.044427,4463.24,4464.80,4457.83,4459.86,BEARISH,338.00,697.00,0.484935,1.935343,-25.7192,25.7192,4459.11357106,4448.53053964,4459.48846906,4449.09993025,37.49,56.94,1038.85,23.2932,BULLISH,COUNTER
2026.01.06 08:55_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.06 08:55:00,1767689700032,2026.01.06 08:55:00,BUY,OK,8,55,2,4464.76,4464.93,4464.85,17.0,0.3808,4461.83045599,4461.90865720,4462.41436479,4462.16696109,58.39,25.83,24.74,0.5541,0.5541,428.50,9.5972,0.039673,4463.20,4465.13,4461.74,4464.75,BULLISH,155.00,339.00,0.457227,0.791132,0.9184,0.9184,4458.87822149,4449.98912254,4459.32886707,4450.52327459,45.06,53.42,880.56,19.7221,BULLISH,ALIGNED
