opportunity,time,cap,extra_cost_bps,tickets,total_R,incremental_R
1780916100039_SELL,2026.06.08 10:55:00,1,0,1,0.35173554,0.0
1781043300041_SELL,2026.06.09 22:15:00,1,0,1,0.42923219,0.0
1781087700145_SELL,2026.06.10 10:35:00,1,0,1,0.69751899,0.0
1781100300029_SELL,2026.06.10 14:05:00,1,0,1,-0.80974547,0.0
1781156400033_SELL,2026.06.11 05:40:00,1,0,1,1.11990581,0.0
1781178300012_SELL,2026.06.11 11:45:00,1,0,1,0.49257684,0.0
1781197800031_SELL,2026.06.11 17:10:00,1,0,1,-0.09354537,0.0
1781207700011_SELL,2026.06.11 19:55:00,1,0,1,0.53093309,0.0
1781580000011_SELL,2026.06.16 03:20:00,1,0,1,0.7230893,0.0
1781586000015_SELL,2026.06.16 05:00:00,1,0,1,0.30282609,0.0
1781599200003_SELL,2026.06.16 08:40:00,1,0,1,-0.27614056,0.0
1781688000014_SELL,2026.06.17 09:20:00,1,0,1,-0.12837242,0.0
1781693700050_SELL,2026.06.17 10:55:00,1,0,1,-0.19178829,0.0
1781706900042_SELL,2026.06.17 14:35:00,1,0,1,-0.0907885,0.0
1783337700009_SELL,2026.07.06 11:35:00,1,0,1,1.05644805,0.0
1783351800022_SELL,2026.07.06 15:30:00,1,0,1,1.23747667,0.0
1783422000050_SELL,2026.07.07 11:00:00,1,0,1,-1.01513736,0.0
1783425600028_SELL,2026.07.07 12:00:00,1,0,1,-0.1432949,0.0
1783485000006_SELL,2026.07.08 04:30:00,1,0,1,0.26092212,0.0
1783504500004_SELL,2026.07.08 09:55:00,1,0,1,0.91887906,0.0
1783530600036_SELL,2026.07.08 17:10:00,1,0,1,0.86613595,0.0
1783560000085_SELL,2026.07.09 01:20:00,1,0,1,0.24670391,0.0
1783675800038_SELL,2026.07.10 09:30:00,1,0,1,-0.23243515,0.0
1783693800015_SELL,2026.07.10 14:30:00,1,0,1,0.42824906,0.0
1783698000056_SELL,2026.07.10 15:40:00,1,0,1,-0.12133703,0.0
1783704900028_SELL,2026.07.10 17:35:00,1,0,1,-1.00226125,0.0
1783933200017_SELL,2026.07.13 09:00:00,1,0,1,0.05359477,0.0
1783948200078_SELL,2026.07.13 13:10:00,1,0,1,0.10140577,0.0
1783960500078_SELL,2026.07.13 16:35:00,1,0,1,0.62513309,0.0
1783982400076_SELL,2026.07.13 22:40:00,1,0,1,-0.42238204,0.0
1783995600224_SELL,2026.07.14 02:20:00,1,0,1,0.68146027,0.0
1784002500017_SELL,2026.07.14 04:15:00,1,0,1,-1.00457002,0.0
1784003400048_SELL,2026.07.14 04:30:00,1,0,1,0.00229814,0.0
1784111100010_SELL,2026.07.15 10:25:00,1,0,1,0.36976367,0.0
1786653000045_SELL,2026.08.13 20:30:00,1,0,1,0.26080682,0.0
1786673100025_SELL,2026.08.14 02:05:00,1,0,1,-1.01308411,0.0
1786695000009_SELL,2026.08.14 08:10:00,1,0,1,0.25765871,0.0
1787688600090_SELL,2026.08.25 20:10:00,1,0,1,-1.0200489,0.0
1787899200150_SELL,2026.08.28 06:40:00,1,0,1,0.40627051,0.0
1769055300007_SELL,2026.01.22 04:15:00,1,0.5,1,0.431999615,0.0
1769174100008_SELL,2026.01.23 13:15:00,1,0.5,1,-0.23027081,0.0
1769469300010_SELL,2026.01.26 23:15:00,1,0.5,1,0.931761975,0.0
1769482200011_SELL,2026.01.27 02:50:00,1,0.5,1,-1.029403935,0.0
1769721300024_SELL,2026.01.29 21:15:00,1,0.5,1,-0.27859188,0.0
1769742000015_SELL,2026.01.30 03:00:00,1,0.5,1,1.94780866,0.0
1769760000047_SELL,2026.01.30 08:00:00,1,0.5,1,-0.44237362999999996,0.0
1769784600035_SELL,2026.01.30 14:50:00,1,0.5,1,-1.00953311,0.0
1769792400039_SELL,2026.01.30 17:00:00,1,0.5,1,0.8200527,0.0
1769813100051_SELL,2026.01.30 22:45:00,1,0.5,1,0.6055236900000001,0.0
1769994300011_SELL,2026.02.02 01:05:00,1,0.5,1,2.203432475,0.0
1770000900026_SELL,2026.02.02 02:55:00,1,0.5,1,0.8013868399999999,0.0
1770008100047_SELL,2026.02.02 04:55:00,1,0.5,1,0.59812358,0.0
1770060000091_SELL,2026.02.02 19:20:00,1,0.5,1,0.301988555,0.0
1770073200031_SELL,2026.02.02 23:00:00,1,0.5,1,-0.426092015,0.0
1770288900046_SELL,2026.02.05 10:55:00,1,0.5,1,1.341184545,0.0
1770299400010_SELL,2026.02.05 13:50:00,1,0.5,1,0.227412505,0.0
1770311700035_SELL,2026.02.05 17:15:00,1,0.5,1,-0.094253695,0.0
1770312300005_SELL,2026.02.05 17:25:00,1,0.5,1,0.523576025,0.0
1770324900011_SELL,2026.02.05 20:55:00,1,0.5,1,0.21618735500000003,0.0
1770348000038_SELL,2026.02.06 03:20:00,1,0.5,1,0.1481273,0.0
1770700500091_SELL,2026.02.10 05:15:00,1,0.5,1,0.116304715,0.0
1770708000060_SELL,2026.02.10 07:20:00,1,0.5,1,0.603226905,0.0
1770713700081_SELL,2026.02.10 08:55:00,1,0.5,1,-0.87701812,0.0
1770754200012_SELL,2026.02.10 20:10:00,1,0.5,1,1.162569635,0.0
1770767100003_SELL,2026.02.10 23:45:00,1,0.5,1,-0.38493061500000003,0.0
1770871800022_SELL,2026.02.12 04:50:00,1,0.5,1,-0.787364035,0.0
1770892800280_SELL,2026.02.12 10:40:00,1,0.5,1,-0.382950595,0.0
1770913800023_SELL,2026.02.12 16:30:00,1,0.5,1,-1.03623018,0.0
1770919800044_SELL,2026.02.12 18:10:00,1,0.5,1,11.750195430000002,0.0
1770934800047_SELL,2026.02.12 22:20:00,1,0.5,1,1.281718545,0.0
1770965700033_SELL,2026.02.13 06:55:00,1,0.5,1,-0.77757018,0.0
1770982200032_SELL,2026.02.13 11:30:00,1,0.5,1,-0.04871958999999999,0.0
1771292400019_SELL,2026.02.17 01:40:00,1,0.5,1,-0.61600678,0.0
1771303500080_SELL,2026.02.17 04:45:00,1,0.5,1,-0.45561947999999997,0.0
1771305300049_SELL,2026.02.17 05:15:00,1,0.5,1,0.536063875,0.0
1771365900046_SELL,2026.02.17 22:05:00,1,0.5,1,-0.12367418000000001,0.0
1771922100025_SELL,2026.02.24 08:35:00,1,0.5,1,-0.363316845,0.0
1772533800012_SELL,2026.03.03 10:30:00,1,0.5,1,1.1346748450000002,0.0
1772550600012_SELL,2026.03.03 15:10:00,1,0.5,1,-0.905403745,0.0
1772578200046_SELL,2026.03.03 22:50:00,1,0.5,1,0.47414716,0.0
1772601000125_SELL,2026.03.04 05:10:00,1,0.5,1,-0.615169825,0.0
1774248900012_SELL,2026.03.23 06:55:00,1,0.5,1,-1.01906201,0.0
1774250700030_SELL,2026.03.23 07:25:00,1,0.5,1,1.5994097649999999,0.0
1774330800114_SELL,2026.03.24 05:40:00,1,0.5,1,0.085691745,0.0
1774487100044_SELL,2026.03.26 01:05:00,1,0.5,1,-0.32870874,0.0
1774499700030_SELL,2026.03.26 04:35:00,1,0.5,1,0.35644411499999995,0.0
1774509300030_SELL,2026.03.26 07:15:00,1,0.5,1,0.655722335,0.0
1774533300023_SELL,2026.03.26 13:55:00,1,0.5,1,0.13612866,0.0
1774536900013_SELL,2026.03.26 14:55:00,1,0.5,1,-0.40791336,0.0
1774578300027_SELL,2026.03.27 02:25:00,1,0.5,1,-0.6359282749999999,0.0
1778600100002_SELL,2026.05.12 15:35:00,1,0.5,1,-1.03321356,0.0
1778749800032_SELL,2026.05.14 09:10:00,1,0.5,1,0.28689834000000003,0.0
1778829600067_SELL,2026.05.15 07:20:00,1,0.5,1,0.477005425,0.0
1778870100003_SELL,2026.05.15 18:35:00,1,0.5,1,0.19474181499999998,0.0
1778883300079_SELL,2026.05.15 22:15:00,1,0.5,1,0.0040631650000000005,0.0
1779094800031_SELL,2026.05.18 09:00:00,1,0.5,1,-1.02475029,0.0
1779187500003_SELL,2026.05.19 10:45:00,1,0.5,1,-1.039779475,0.0
1779976200048_SELL,2026.05.28 13:50:00,1,0.5,1,-1.034508655,0.0
1779981600010_SELL,2026.05.28 15:20:00,1,0.5,1,0.48371176000000005,0.0
1780305300197_SELL,2026.06.01 09:15:00,1,0.5,1,1.2375400650000001,0.0
1780316700002_SELL,2026.06.01 12:25:00,1,0.5,1,1.44640006,0.0
1780327500017_SELL,2026.06.01 15:25:00,1,0.5,1,-1.06478676,0.0
1780329600032_SELL,2026.06.01 16:00:00,1,0.5,1,0.12245076,0.0
1780353900068_SELL,2026.06.01 22:45:00,1,0.5,1,1.211617105,0.0
1780368600011_SELL,2026.06.02 02:50:00,1,0.5,1,-1.078308935,0.0
1780372800001_SELL,2026.06.02 04:00:00,1,0.5,1,0.26743569500000003,0.0
1780375200009_SELL,2026.06.02 04:40:00,1,0.5,1,0.68380765,0.0
1780452000017_SELL,2026.06.03 02:00:00,1,0.5,1,0.44853059,0.0
1780460100006_SELL,2026.06.03 04:15:00,1,0.5,1,0.63105517,0.0
1780471800004_SELL,2026.06.03 07:30:00,1,0.5,1,1.531183125,0.0
1780500300041_SELL,2026.06.03 15:25:00,1,0.5,1,1.1644862150000002,0.0
1780503900034_SELL,2026.06.03 16:25:00,1,0.5,1,0.181511245,0.0
1780510500038_SELL,2026.06.03 18:15:00,1,0.5,1,0.29977061,0.0
1780535100018_SELL,2026.06.04 01:05:00,1,0.5,1,-1.05786761,0.0
1780650300042_SELL,2026.06.05 09:05:00,1,0.5,1,0.13257718000000002,0.0
1780693500009_SELL,2026.06.05 21:05:00,1,0.5,1,1.40803879,0.0
1780883400031_SELL,2026.06.08 01:50:00,1,0.5,1,0.428764155,0.0
1780892100044_SELL,2026.06.08 04:15:00,1,0.5,1,0.597036745,0.0
1780904700039_SELL,2026.06.08 07:45:00,1,0.5,1,-1.0622010899999998,0.0
1780916100039_SELL,2026.06.08 10:55:00,1,0.5,1,0.32687964,0.0
1781043300041_SELL,2026.06.09 22:15:00,1,0.5,1,0.397715005,0.0
1781087700145_SELL,2026.06.10 10:35:00,1,0.5,1,0.6677844049999999,0.0
1781100300029_SELL,2026.06.10 14:05:00,1,0.5,1,-0.832825435,0.0
1781156400033_SELL,2026.06.11 05:40:00,1,0.5,1,1.10075189,0.0
1781178300012_SELL,2026.06.11 11:45:00,1,0.5,1,0.464745775,0.0
1781197800031_SELL,2026.06.11 17:10:00,1,0.5,1,-0.108746605,0.0
1781207700011_SELL,2026.06.11 19:55:00,1,0.5,1,0.508084545,0.0
1781580000011_SELL,2026.06.16 03:20:00,1,0.5,1,0.674527095,0.0
1781586000015_SELL,2026.06.16 05:00:00,1,0.5,1,0.270005445,0.0
1781599200003_SELL,2026.06.16 08:40:00,1,0.5,1,-0.323072275,0.0
1781688000014_SELL,2026.06.17 09:20:00,1,0.5,1,-0.171069385,0.0
1781693700050_SELL,2026.06.17 10:55:00,1,0.5,1,-0.23892211000000002,0.0
1781706900042_SELL,2026.06.17 14:35:00,1,0.5,1,-0.150292525,0.0
1783337700009_SELL,2026.07.06 11:35:00,1,0.5,1,1.01358824,0.0
1783351800022_SELL,2026.07.06 15:30:00,1,0.5,1,1.1941468,0.0
1783422000050_SELL,2026.07.07 11:00:00,1,0.5,1,-1.058304035,0.0
1783425600028_SELL,2026.07.07 12:00:00,1,0.5,1,-0.179790785,0.0
1783485000006_SELL,2026.07.08 04:30:00,1,0.5,1,0.23852691999999998,0.0
1783504500004_SELL,2026.07.08 09:55:00,1,0.5,1,0.876290045,0.0
1783530600036_SELL,2026.07.08 17:10:00,1,0.5,1,0.84622839,0.0
1783560000085_SELL,2026.07.09 01:20:00,1,0.5,1,0.21027021,0.0
1783675800038_SELL,2026.07.10 09:30:00,1,0.5,1,-0.27099773,0.0
1783693800015_SELL,2026.07.10 14:30:00,1,0.5,1,0.380276155,0.0
1783698000056_SELL,2026.07.10 15:40:00,1,0.5,1,-0.15168002,0.0
1783704900028_SELL,2026.07.10 17:35:00,1,0.5,1,-1.0206275050000002,0.0
1783933200017_SELL,2026.07.13 09:00:00,1,0.5,1,0.02710098,0.0
1783948200078_SELL,2026.07.13 13:10:00,1,0.5,1,0.04711419,0.0
1783960500078_SELL,2026.07.13 16:35:00,1,0.5,1,0.588469395,0.0
1783982400076_SELL,2026.07.13 22:40:00,1,0.5,1,-0.46162624,0.0
1783995600224_SELL,2026.07.14 02:20:00,1,0.5,1,0.6013014999999999,0.0
1784002500017_SELL,2026.07.14 04:15:00,1,0.5,1,-1.0257828,0.0
1784003400048_SELL,2026.07.14 04:30:00,1,0.5,1,-0.020670704999999998,0.0
1784111100010_SELL,2026.07.15 10:25:00,1,0.5,1,0.32909098000000003,0.0
1786653000045_SELL,2026.08.13 20:30:00,1,0.5,1,0.22073872,0.0
1786673100025_SELL,2026.08.14 02:05:00,1,0.5,1,-1.05373355,0.0
1786695000009_SELL,2026.08.14 08:10:00,1,0.5,1,0.18721188500000002,0.0
1787688600090_SELL,2026.08.25 20:10:00,1,0.5,1,-1.059722125,0.0
1787899200150_SELL,2026.08.28 06:40:00,1,0.5,1,0.359489175,0.0
1769055300007_SELL,2026.01.22 04:15:00,1,1,1,0.40934483,0.0
1769174100008_SELL,2026.01.23 13:15:00,1,1,1,-0.27203518,0.0
1769469300010_SELL,2026.01.26 23:15:00,1,1,1,0.91421783,0.0
1769482200011_SELL,2026.01.27 02:50:00,1,1,1,-1.05653207,0.0
1769721300024_SELL,2026.01.29 21:15:00,1,1,1,-0.28777985,0.0
1769742000015_SELL,2026.01.30 03:00:00,1,1,1,1.93468273,0.0
1769760000047_SELL,2026.01.30 08:00:00,1,1,1,-0.4554966,0.0
1769784600035_SELL,2026.01.30 14:50:00,1,1,1,-1.01847967,0.0
1769792400039_SELL,2026.01.30 17:00:00,1,1,1,0.81365717,0.0
1769813100051_SELL,2026.01.30 22:45:00,1,1,1,0.59910631,0.0
1769994300011_SELL,2026.02.02 01:05:00,1,1,1,2.19720425,0.0
1770000900026_SELL,2026.02.02 02:55:00,1,1,1,0.795889,0.0
1770008100047_SELL,2026.02.02 04:55:00,1,1,1,0.59125779,0.0
1770060000091_SELL,2026.02.02 19:20:00,1,1,1,0.29515465,0.0
1770073200031_SELL,2026.02.02 23:00:00,1,1,1,-0.43490091,0.0
1770288900046_SELL,2026.02.05 10:55:00,1,1,1,1.32491396,0.0
1770299400010_SELL,2026.02.05 13:50:00,1,1,1,0.20934759,0.0
1770311700035_SELL,2026.02.05 17:15:00,1,1,1,-0.10163826,0.0
1770312300005_SELL,2026.02.05 17:25:00,1,1,1,0.51579692,0.0
1770324900011_SELL,2026.02.05 20:55:00,1,1,1,0.20242781,0.0
1770348000038_SELL,2026.02.06 03:20:00,1,1,1,0.1419471,0.0
1770700500091_SELL,2026.02.10 05:15:00,1,1,1,0.09326262,0.0
1770708000060_SELL,2026.02.10 07:20:00,1,1,1,0.56456266,0.0
1770713700081_SELL,2026.02.10 08:55:00,1,1,1,-0.90701757,0.0
1770754200012_SELL,2026.02.10 20:10:00,1,1,1,1.12988235,0.0
1770767100003_SELL,2026.02.10 23:45:00,1,1,1,-0.42623234,0.0
1770871800022_SELL,2026.02.12 04:50:00,1,1,1,-0.82033068,0.0
1770892800280_SELL,2026.02.12 10:40:00,1,1,1,-0.42538898,0.0
1770913800023_SELL,2026.02.12 16:30:00,1,1,1,-1.05977857,0.0
1770919800044_SELL,2026.02.12 18:10:00,1,1,1,11.72440837,0.0
1770934800047_SELL,2026.02.12 22:20:00,1,1,1,1.25985521,0.0
