partition,deadline_minutes,delay_minutes,gross_n,gross_mean,gross_median,gross_trim10,gross_exbest1,gross_extop3,gross_extop5,gross_worst1,gross_worst3_sum,gross_pf,gross_positive,gross_negative,inc_n,inc_mean,inc_median,inc_trim10,inc_exbest1,inc_extop3,inc_extop5,inc_worst1,inc_worst3_sum,inc_pf,inc_positive,inc_negative
JAN_JUN,10,0,342,2.6817334141151,0.9892723623557683,0.8174006252905486,2.020004749724544,1.2653320804006312,0.8334381711278979,-77.80794147805737,-170.61800390698994,1.5692753212607151,0.5292397660818714,0.47076023391812866,342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
JAN_JUN,10,1,342,1.8134736779684029,0.22348337175202468,0.3399916320230511,1.2403333340497507,0.6029848857524674,0.2791264932590513,-71.00259511835088,-174.66211366146462,1.3785022308808756,0.5058479532163743,0.48830409356725146,342,-0.8682597361466969,-0.2965601714686972,-0.35390614049716146,-0.9364848682494348,-1.0525462270015435,-1.1548767031071545,-38.9280519065747,-108.7676346640189,0.6743423539324401,0.4678362573099415,0.5321637426900585
JAN_JUN,10,3,342,1.4372184295809345,-0.4614547887609189,0.248640519558277,0.9577829318512431,0.33113859536090806,-0.0039796749489298235,-58.96050176688675,-157.27030864657766,1.3334999812822919,0.47953216374269003,0.52046783625731,342,-1.2445149845341652,-0.1983513131067074,-0.7019637741694537,-1.3550982170528894,-1.5660131146937832,-1.7698901994285234,-84.74922735871974,-224.4993732940743,0.714532600384027,0.4824561403508772,0.5175438596491229
JAN_JUN,10,5,342,1.1677433310887266,-0.16432420509971588,0.39134125788030844,0.7280063021256489,0.40961914215470807,0.11262784760656107,-58.233144686225195,-140.3673103357007,1.3216871698606658,0.49122807017543857,0.5058479532163743,342,-1.5139900830263733,-0.3822212492297604,-0.5591585672289722,-1.6571768316424866,-1.8942112941734803,-2.0948894318072124,-195.3891665746017,-357.3039176952097,0.7069319057653389,0.4824561403508772,0.5175438596491229
JAN_JUN,15,0,340,2.5680040012364436,-0.050388606227998,0.34301470038719334,1.7464090059445465,0.33915972170820496,-0.43091188113614565,-112.38051835293108,-259.3342068959622,1.3960477352734368,0.4970588235294118,0.5029411764705882,340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
JAN_JUN,15,1,340,1.702241293947648,-0.3702010598955211,-0.33060932602479143,0.9493535725444653,-0.3148384469793768,-1.0539852601514008,-105.55182580905961,-241.89463920159648,1.2582162247112862,0.4852941176470588,0.5117647058823529,340,-0.8657627072887955,-0.28060440190804936,-0.35057819904479803,-0.9343088666074713,-1.0516537307568423,-1.1544740461319851,-39.01250427979397,-108.9258788046539,0.6763811686410971,0.47058823529411764,0.5294117647058824
JAN_JUN,15,3,340,1.3317317199366636,-0.8817124711451488,-0.5484682373923626,0.6246713086660224,-0.5135552631174288,-1.2171178992926606,-92.81242831739762,-241.5310719497798,1.2021897205219527,0.47352941176470587,0.5235294117647059,340,-1.2362722812997797,-0.198329022226567,-0.6897152890536732,-1.347932775405413,-1.5599021063797818,-1.7655349964216056,-85.21003375226529,-224.89863438200422,0.7170392990079205,0.4823529411764706,0.5176470588235295
JAN_JUN,15,5,340,1.0531350206846444,-0.7419532714536601,-0.6428774365385823,0.3743611220496703,-0.6580618659496913,-1.0610287786474015,-86.14845669458002,-244.52556343990986,1.1784308493965314,0.45294117647058824,0.5470588235294118,340,-1.5148689805517992,-0.3821325473748127,-0.5591704901179525,-1.65982676831509,-1.8987541107279737,-2.100293764751775,-194.9298754707364,-357.5065988271013,0.7080509149588907,0.4823529411764706,0.5176470588235295
JAN_JUN,30,0,338,3.0238085613781966,0.856969902019602,0.5780630951286616,2.3037876300923794,1.27450569190648,0.6198450576872562,-116.5842294047631,-315.8164261141038,1.3465202379095011,0.5118343195266272,0.4881656804733728,338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
JAN_JUN,30,1,338,2.1537069486006466,-0.5552770519861384,-0.1360918252967157,1.5030494068602525,0.6186513266176898,-0.043786432930941976,-109.75269817713517,-296.375045853503,1.2398790019557984,0.48520710059171596,0.514792899408284,338,-0.8701016127775504,-0.28074873247325294,-0.355196488926937,-0.939142862840395,-1.056690555608654,-1.1602865769217705,-39.00605192245904,-109.11587284461888,0.6756481191251675,0.47041420118343197,0.5295857988165681
JAN_JUN,30,3,338,1.9075041639290637,-0.36565163314431415,0.06237098575222126,1.3034867698451758,0.504067066393874,-0.0778319748151774,-110.04688814972161,-299.23566782354806,1.2127638768183255,0.4911242603550296,0.5088757396449705,338,-1.1163043974491333,-0.1986885825044693,-0.6630095702530303,-1.2285627269873527,-1.4408751843566858,-1.6463351985934074,-85.50966806774471,-225.755701202585,0.7378793122141716,0.4822485207100592,0.5177514792899408
JAN_JUN,30,5,338,1.6625197645512253,0.7780612015836899,0.23368447800503409,1.0871632020289967,0.3173475174839037,-0.2394111871480401,-120.47032771299017,-293.4088351753059,1.1937866768494696,0.5088757396449705,0.4911242603550296,338,-1.3612887968269716,-0.3822419985352483,-0.5361501501663521,-1.5060130301141321,-1.7450917028624162,-1.9470524128004063,-196.3033934356576,-359.2051979473539,0.7299382448953082,0.4822485207100592,0.5177514792899408
JUL_AUG,10,0,88,0.7966132123256923,1.1776623433166826,0.5994617886303056,0.5297290463008196,0.03147708275386566,-0.4794797634849717,-26.807740677642332,-66.16225592109586,1.2295996672196083,0.5681818181818182,0.4318181818181818,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
JUL_AUG,10,1,88,1.4936143209881414,1.7221442942965717,1.5956006650665104,1.2502103936564477,0.798952314517119,0.3837507136993391,-25.11555109926385,-63.31842148289202,1.5103458546551285,0.5568181818181818,0.4431818181818182,88,0.6970011086624491,0.33267411092503324,0.585249236796945,0.558416347805103,0.32473527283785014,0.14012709029279025,-12.94375804133046,-27.36464531448376,1.6347879963741785,0.5227272727272727,0.4772727272727273
