month,cap,n,mean,median,trim10,exbest1,extop3,extop5,worst1,worst3_sum,pf,positive,negative
2026.01,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2026.02,1,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2026.03,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2026.05,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2026.06,1,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2026.07,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2026.08,1,5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0
2026.01,3,10,0.11439903200000001,-0.019615985000000002,0.026150797499999982,-0.07697664666666666,-0.17967161714285715,-0.251540264,-0.9019961999999999,-1.15237887,1.909588231965917,0.2,0.5
2026.02,3,28,0.32962569178571427,-0.0678871,0.02139713249999999,0.047884907037037024,-0.0936078348,-0.19475994695652174,-0.7686567000000001,-1.77036119,2.9954439135165374,0.21428571428571427,0.5357142857142857
2026.03,3,13,-0.18803876076923076,-0.2100469,-0.19524353727272725,-0.26531816416666665,-0.31838179699999997,-0.39797724624999997,-1.03613906,-1.94271526,0.23220990865881697,0.07692307692307693,0.6153846153846154
2026.05,3,9,-0.2531804844444444,-0.19085512,-0.2531804844444444,-0.284828045,-0.3797707266666666,-0.497235205,-1.0835157,-1.76754601,0.0,0.0,0.6666666666666666
2026.06,3,34,0.02817547970588236,0.0,-0.048620151071428565,-0.02517388878787879,-0.13174027064516128,-0.1818047775862069,-1.13432427,-2.7225841600000003,1.151236962546325,0.35294117647058826,0.4117647058823529
2026.07,3,20,-0.23170149650000002,-0.20879643999999997,-0.23736208625,-0.28109998999999997,-0.3357129294117647,-0.38047465333333336,-1.11170484,-2.58466258,0.18802651908586185,0.1,0.7
2026.08,3,5,-0.12064718199999999,-0.08497628000000002,-0.12064718199999999,-0.1508089775,-0.259129815,,-0.29743045,-0.60323591,0.0,0.0,0.6
2026.01,5,10,-0.09932644600000001,-0.130805855,-0.11665316500000002,-0.1974996788888889,-0.2674014142857143,-0.360289272,-0.8442717899999999,-1.38153226,0.46935612425172013,0.2,0.6
2026.02,5,28,0.2719864203571428,-0.18888037500000004,-0.18264937041666665,-0.19382000444444444,-0.291850612,-0.3448538986956522,-1.04074564,-2.8324234600000002,1.9601570528732803,0.17857142857142858,0.5714285714285714
2026.03,5,13,-0.17099313923076925,-0.10284613000000009,-0.18068019363636362,-0.2211984175,-0.265438101,-0.33179762625,-0.66689888,-1.53378844,0.162550213543006,0.07692307692307693,0.6153846153846154
2026.05,5,9,-0.21857415555555557,-0.10809897000000013,-0.21857415555555557,-0.24589592500000002,-0.32786123333333334,-0.4647671075,-1.11737726,-1.68884775,0.0,0.0,0.5555555555555556
2026.06,5,34,-0.09340068823529413,-0.19267414499999996,-0.11441803964285714,-0.1405297875757576,-0.20869652193548388,-0.2551958724137931,-1.39151222,-3.26588707,0.6135051102625004,0.2647058823529412,0.5588235294117647
2026.07,5,20,-0.147330487,-0.180720895,-0.189558545,-0.2308564163157895,-0.26936386588235295,-0.305279048,-0.7961593600000001,-2.06329736,0.35652102356748266,0.1,0.65
2026.08,5,5,-0.239741786,-0.36710522,-0.239741786,-0.2996772325,-0.415801855,,-0.45590502,-1.19870893,0.0,0.0,0.6
2026.01,7,10,-0.012852247,-0.04390198000000001,-0.04408997875,-0.14111226222222223,-0.24400191,-0.341602674,-0.91729053,-1.50101667,0.9247532412465835,0.2,0.5
2026.02,7,28,0.6107339453571429,-0.10309020999999996,-0.17461071083333335,-0.07949253407407408,-0.2713006316,-0.31570519869565217,-0.8474707300000001,-2.44444435,3.3550521100686126,0.14285714285714285,0.6428571428571429
2026.03,7,13,-0.19916685230769232,-0.2373794600000001,-0.22205926636363638,-0.26242177666666666,-0.314906132,-0.393632665,-0.7064093899999999,-1.9688807799999999,0.1777965504971494,0.07692307692307693,0.6153846153846154
2026.05,7,9,-0.2722852522222222,-0.13242409,-0.2722852522222222,-0.30632090875,-0.4084278783333333,-0.54824685,-1.08539328,-2.01132199,0.0,0.0,0.6666666666666666
2026.06,7,34,-0.016157051470588216,-0.18535868,-0.13907107999999999,-0.13849412181818183,-0.23357884419354838,-0.28101983724137936,-1.40682554,-3.34695393,0.9350345377671082,0.20588235294117646,0.6470588235294118
