partition,extra_cost_bps,n,mean,median,trim10,exbest1,extop3,extop5,worst1,worst3_sum,pf,positive,negative,reference_risk,compounded_return,closed_opportunity_max_dd,mean_log_growth,worst_day_R,max_consecutive_losses
JAN_JUN,0,94,0.2958802340425532,0.2237895,0.1600760394736842,0.1724382795698925,0.1303974065934066,0.09720677528089888,-1.023129,-3.062621,2.243845984383557,0.5957446808510638,0.40425531914893614,0.005,0.1464443129927515,-0.019419594358899506,0.0014538856470841222,-1.010623,4
JAN_JUN,0.5,94,0.26748457714978385,0.20547173627111182,0.13250554765887868,0.1440146289145827,0.10156172742120108,0.06866772568469216,-1.0783179226519337,-3.2052887463395052,2.0700952991330386,0.5957446808510638,0.40425531914893614,0.005,0.13126398598353295,-0.022360735745739713,0.001312080630382288,-1.0578699083155652,4
JAN_JUN,1,94,0.23908892025701456,0.18715397254222366,0.10496292426512578,0.11559097825927295,0.07272604824899556,0.04012867608848546,-1.1402118453038674,-3.351765180453516,1.9110023698342034,0.5851063829787234,0.4148936170212766,0.005,0.11628197448347,-0.026104103579251747,0.0011702499718338744,-1.10511681663113,4
JAN_JUN,1.5,94,0.21069326336424524,0.16883620881333547,0.07742030087137287,0.08716732760396316,0.043890369076790045,0.011589626492278746,-1.2021057679558012,-3.5025902706802743,1.7662361440876944,0.5851063829787234,0.4148936170212766,0.005,0.10149572267626739,-0.02983371596487605,0.0010283936603388034,-1.1523637249466951,4
JAN_JUN,2,94,0.18229760647147594,0.14117103808585804,0.049877677477619974,0.05874367694865337,0.015054689904584528,-0.016976323842805993,-1.2639996906077346,-3.653415360907032,1.634084299562022,0.5851063829787234,0.4148936170212766,0.005,0.08690270723554172,-0.03354962134128592,0.0008865116847885375,-1.1996106332622603,4
JAN_JUN,2.5,94,0.15390194957870665,0.11896242260732257,0.02233505408386708,0.030320026293343606,-0.013780989267620981,-0.04584232334283333,-1.3258936132596684,-3.80424045113379,1.5123331420868493,0.5638297872340425,0.43617021276595747,0.005,0.07250043691747243,-0.0372518679839382,0.0007446040340660685,-1.2519960145503766,4
JAN_JUN,3,94,0.1255062926859373,0.08718076015662267,-0.005207569309885829,0.0018963756380338142,-0.04261666843982651,-0.07478795705726564,-1.387787535911602,-3.9550655413605478,1.4000953135237346,0.5638297872340425,0.43617021276595747,0.005,0.058286452158487156,-0.040940504005611666,0.0006026706970459088,-1.4001818174604521,4
JUL_AUG,0,25,0.07194632,0.246704,0.07332947619047618,0.02338254166666667,-0.06427936363636365,-0.1480871,-1.020049,-3.04827,1.3010533010854375,0.64,0.36,0.005,0.008892123782632488,-0.011162845682155864,0.000354112866572778,-1.158432,2
JUL_AUG,0.5,25,0.03266858358528005,0.18730232247557005,0.03461941269093344,-0.015724872049852113,-0.10305825131278219,-0.18573345255457496,-1.0597416369863013,-3.171757787535709,1.1295758160753626,0.6,0.4,0.005,0.00395376075061038,-0.013935068741291134,0.0001578386071879832,-1.238090897137779,2
JUL_AUG,1,25,-0.006609152829439905,0.11694564495114007,-0.004090650808609315,-0.054832285766370885,-0.14183713898920075,-0.22492471239870598,-1.1014284225941422,-3.2952455750714176,0.9751192146062582,0.56,0.44,0.005,-0.0009615167816771075,-0.01670017473722496,-3.847917341852686e-05,-1.317749794275558,2
JUL_AUG,1.5,25,-0.045886889244159866,0.04658896742671012,-0.04280071430815206,-0.09393969948288967,-0.18131596867033473,-0.26475169359805895,-1.1445741338912134,-3.418733362607127,0.8373196143973656,0.52,0.48,0.005,-0.005853811708466661,-0.019774406615183815,-0.0002348404969429102,-1.3974086914133372,4
JUL_AUG,2,25,-0.0851646256588798,-0.023767710097719885,-0.08151077780769482,-0.13304711319940846,-0.22112730671196143,-0.3045786747974119,-1.1877198451882844,-3.5422211501428356,0.7156228006102795,0.48,0.52,0.005,-0.010723226487542314,-0.02294767054680935,-0.0004312453850994429,-1.4770675885511162,4
JUL_AUG,2.5,25,-0.12444236207359977,-0.07887395424836599,-0.12022084130723755,-0.17215452691592723,-0.26093864475358813,-0.34440565599676487,-1.2308655564853557,-3.665708937678545,0.6095940442122422,0.48,0.52,0.005,-0.0155698631419805,-0.0261114038543786,-0.0006276938596205421,-1.6043583449726655,4
