partition,cap,extra_cost_bps,avg_tickets,max_tickets,total_n,total_mean,total_median,total_trim10,total_exbest1,total_extop3,total_extop5,total_worst1,total_worst3_sum,total_pf,total_positive,total_negative,inc_n,inc_mean,inc_median,inc_trim10,inc_exbest1,inc_extop3,inc_extop5,inc_worst1,inc_worst3_sum,inc_pf,inc_positive,inc_negative
JAN_JUN,1,0,1.0,1,94,0.2958802279787234,0.22378957,0.16007603736842105,0.172438268172043,0.13039740274725276,0.09720677415730337,-1.02312925,-3.06262143,2.2438459739113448,0.5957446808510638,0.40425531914893614,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
JAN_JUN,1,0.5,1.0,1,94,0.2674843901595745,0.205464585,0.13250607210526316,0.14401437897849462,0.10156149571428572,0.06866857550561799,-1.078308935,-3.205296785,2.07009919843918,0.5957446808510638,0.40425531914893614,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
JAN_JUN,1,1,1.0,1,94,0.23908855234042553,0.18713960000000002,0.1049639719736842,0.11559048978494622,0.07272558868131868,0.04013037685393259,-1.1401937,-3.35181193,1.9110096879716925,0.5851063829787234,0.4148936170212766,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
JAN_JUN,1,1.5,1.0,1,94,0.2106927145212766,0.168814615,0.07742187184210525,0.08716660059139783,0.043889681648351636,0.01159217820224718,-1.202078465,-3.5026605550000003,1.7662446377915757,0.5851063829787234,0.4148936170212766,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
JAN_JUN,1,2,1.0,1,94,0.18229687670212766,0.1411103,0.04987977171052631,0.05874271139784946,0.01505377461538461,-0.016978263820224725,-1.2639632299999999,-3.65350918,1.6340928254193348,0.5851063829787234,0.4148936170212766,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
JAN_JUN,1,2.5,1.0,1,94,0.15390103888297876,0.1188865675,0.02233767157894736,0.03031882220430107,-0.01378213241758242,-0.045844749831460675,-1.3258479949999997,-3.8043578049999995,1.5123433522284464,0.5638297872340425,0.43617021276595747,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
JAN_JUN,1,3,1.0,1,94,0.1255052010638298,0.08722084,-0.005204428552631591,0.0018949330107526808,-0.042618039450549455,-0.0747894086516854,-1.3877327599999998,-3.9552064299999996,1.4001037159341239,0.5638297872340425,0.43617021276595747,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
JAN_JUN,3,0,1.9361702127659575,3,94,0.41833284808510635,-0.09071220499999999,0.04039341342105264,0.2097750694623656,0.12460516461538461,0.053439051797752816,-1.03616692,-3.09085474,2.3116730617596133,0.44680851063829785,0.5531914893617021,94,0.12245262010638297,-0.005940210000000001,-0.035296817368421045,0.037336801290322574,-0.005973539340659336,-0.04749249438202247,-1.0254054,-3.02768239,1.7731020559883595,0.23404255319148937,0.5
JAN_JUN,3,0.5,1.9361702127659575,3,94,0.3638614861170213,-0.1264749275,-0.012150433749999997,0.15554149397849462,0.06981530587912088,-0.0003063217977528044,-1.100040865,-3.29000127,2.0565831667710857,0.44680851063829785,0.5531914893617021,94,0.09637709595744681,-0.016407875000000016,-0.057697885657894736,0.011527115000000001,-0.031746189835164834,-0.07256818617977528,-1.079864835,-3.14083071,1.5563579067444857,0.23404255319148937,0.5
JAN_JUN,3,1,1.9361702127659575,3,94,0.3093901241489362,-0.163002415,-0.06442073118421053,0.10130791849462364,0.015025447142857137,-0.054051695393258437,-1.17403138,-3.50521109,1.8342940333903768,0.425531914893617,0.574468085106383,94,0.07030157180851064,-0.020342150000000003,-0.08009895394736842,-0.014282571290322581,-0.057700141538461536,-0.09764387797752809,-1.13432427,-3.25397903,1.3737827774146614,0.22340425531914893,0.5106382978723404
JAN_JUN,3,1.5,1.9361702127659575,3,94,0.2549187621808511,-0.20014265500000003,-0.11653173907894737,0.047074343010752674,-0.039764411593406615,-0.10779706898876407,-1.25751409,-3.72042091,1.6409652573566933,0.4148936170212766,0.5851063829787234,94,0.04422604765957447,-0.05145621499999997,-0.10250002223684211,-0.04009225758064517,-0.08365409324175825,-0.12271956977528092,-1.188783705,-3.36712735,1.2168421619951404,0.19148936170212766,0.5425531914893617
JAN_JUN,3,2,1.9361702127659575,3,94,0.200447400212766,-0.25616107,-0.16864274697368423,-0.007159232473118287,-0.09455427032967034,-0.16154244258426967,-1.3409967999999999,-3.9356307299999997,1.471188574344086,0.40425531914893614,0.5957446808510638,94,0.01815052351063832,-0.10077782000000002,-0.1249010905263158,-0.06590194387096775,-0.10960804494505495,-0.14779526157303371,-1.2432431400000001,-3.48027567,1.0819816418380943,0.18085106382978725,0.5531914893617021
JAN_JUN,3,2.5,1.9361702127659575,3,94,0.14597603824468092,-0.31172016249999995,-0.22075375486842108,-0.06139280795698925,-0.14934412906593408,-0.21528781617977533,-1.4244795099999998,-4.15084055,1.3209038323815263,0.3617021276595745,0.6382978723404256,94,-0.007925000638297824,-0.14545972500000004,-0.14730215881578948,-0.09171163016129032,-0.13556199664835167,-0.17287095337078653,-1.297702575,-3.59342399,0.9668978703709405,0.18085106382978725,0.5531914893617021
