partition,group,horizon,n,mean,median,trim10,exbest1,extop3,extop5,worst1,worst3_sum,pf,positive,negative
JAN_JUN,CROSSOVER_EVENT,1,345,0.5161074666956522,-0.08541716,0.00794288509025271,0.4041917532558139,0.20465177318713448,0.041004865764705876,-22.94849314,-60.95655127,1.2611909696736137,0.48985507246376814,0.5072463768115942
JAN_JUN,CROSSOVER_EVENT,3,345,0.9301206499420289,0.06564508,0.4025391448375451,0.6871866088662791,0.2808853226608187,-0.0010436336176470383,-36.91843452,-106.64706411,1.2839467451013735,0.5014492753623189,0.4985507246376812
JAN_JUN,CROSSOVER_EVENT,5,344,1.1510232414534884,0.03353042,0.2044345845652174,0.5834835742274053,0.11464181090909094,-0.21715409660766957,-47.94567867,-125.60452516999999,1.3017998557574282,0.5,0.49709302325581395
JAN_JUN,CROSSOVER_EVENT,10,342,2.681733414005848,0.98927236,0.8174006250364964,2.020004749618768,1.2653320802949852,0.8334381710385758,-77.80794148,-170.61800391,1.569275321231933,0.5292397660818714,0.47076023391812866
JAN_JUN,CROSSOVER_EVENT,15,340,2.5680040011764707,-0.05038861,0.3430147001470588,1.7464090058702064,0.33915972163204744,-0.4309118812238806,-112.38051835,-259.33420689,1.3960477352653131,0.4970588235294118,0.5029411764705882
JAN_JUN,CROSSOVER_EVENT,30,338,3.0238085613313612,0.8569699,0.5780630951838236,2.303787630059347,1.2745056918805973,0.6198450576576577,-116.5842294,-315.81642611,1.346520237901489,0.5118343195266272,0.4881656804733728
JAN_JUN,CROSSOVER_EVENT,60,332,3.2400482363253014,-0.4968933,0.2541791143984962,2.660489598912387,1.536828652857143,0.5162580998470949,-204.04166732,-558.96837547,1.238829524400989,0.49698795180722893,0.5030120481927711
JAN_JUN,CROSSOVER_EVENT,90,329,2.207327699027356,-1.27972102,0.2066857570943396,0.8899371872560974,-0.6695516818404909,-1.7368568851851853,-260.54311713,-709.50990634,1.12197842223444,0.47112462006079026,0.5288753799392097
JAN_JUN,CONTEXT_ONLY,1,16787,-0.4512152270995413,-0.45911574,-0.45315750659891296,-0.46038426558739426,-0.47322196053622495,-0.48201294867775,-127.60939616,-284.99043061,0.8085459970564396,0.4457020313337702,0.5521534520760112
JAN_JUN,CONTEXT_ONLY,3,16787,-0.4008775064162745,-0.46259207,-0.4590036181296999,-0.4102074772006434,-0.42820032668434227,-0.4446891753116435,-313.82804838,-622.26337014,0.8909967761454244,0.46815988562578187,0.530708286173825
JAN_JUN,CONTEXT_ONLY,5,16723,-0.3728189855534294,-0.38342002,-0.42809921739292917,-0.3853259565536419,-0.40549961408672247,-0.42366920110001194,-290.99145379,-585.39254453,0.9160263246621224,0.47838306523949053,0.5210189559289601
