partition,cap,extra_cost_bps,reference_risk,compounded_return,closed_opportunity_max_dd,mean_log_growth,worst_day_R,max_consecutive_losses
JAN_JUN,1,0,0.0025,0.07135485793853724,-0.009741962429461015,0.0007332347857745516,-1.0106225,4
JAN_JUN,1,0,0.005,0.14644430968859723,-0.01941958595676352,0.0014538856164236027,-1.0106225,4
JAN_JUN,1,0.5,0.0025,0.06423389989510819,-0.011200859379025263,0.0006622893349861966,-1.05786761,4
JAN_JUN,1,0.5,0.005,0.13126388955008195,-0.022360715983868462,0.0013120797235313215,-1.05786761,4
JAN_JUN,1,1,0.0025,0.05715963484924136,-0.01309491100611837,0.0005913374663000661,-1.10511272,4
JAN_JUN,1,1,0.005,0.11628178734893857,-0.02610406334918114,0.001170248188419753,-1.10511272,4
JAN_JUN,1,1.5,0.0025,0.05013176078925374,-0.014985481109212717,0.000520379178325739,-1.15235783,4
JAN_JUN,1,1.5,0.005,0.10149544722203596,-0.029833655403644244,0.0010283909999884496,-1.15235783,4
JAN_JUN,1,2,0.0025,0.043149977630113634,-0.016872575820533697,0.00044941446967226346,-1.19960294,4
JAN_JUN,1,2,0.005,0.08690234579693001,-0.033549540585276705,0.0008865081471285041,-1.19960294,4
JAN_JUN,1,2.5,0.0025,0.03621398720132318,-0.018756201261977856,0.00037844333894815644,-1.2519155450000001,4
JAN_JUN,1,2.5,0.005,0.07249999178452415,-0.03725176716888712,0.0007445996187225386,-1.2519155450000001,4
JAN_JUN,1,3,0.0025,0.029323493234864495,-0.020636363545117997,0.00030746578476140347,-1.4000852899999998,4
JAN_JUN,1,3,0.005,0.05828592557674939,-0.040940383266605096,0.0006026654036446943,-1.4000852899999998,4
JAN_JUN,3,0,0.0025,0.10152098525282938,-0.02106301008958744,0.0010286376447021794,-1.50763384,5
JAN_JUN,3,0,0.005,0.2096164433588601,-0.04178075963046868,0.0020245034084830815,-1.50763384,5
JAN_JUN,3,0.5,0.0025,0.08753498003977112,-0.02444685889725773,0.000892698393800167,-1.65799546,5
JAN_JUN,3,0.5,0.005,0.17914490905446456,-0.048397152789314446,0.0017530800260186392,-1.65799546,5
JAN_JUN,3,1,0.0025,0.07372390093886372,-0.027819512550809167,0.0007567328463956391,-1.80835708,6
JAN_JUN,3,1,0.005,0.14942967147831854,-0.05496981256597577,0.00148155193098267,-1.80835708,6
JAN_JUN,3,1.5,0.0025,0.060085593006929505,-0.03118100644948052,0.0006207409891890065,-2.02023703,6
JAN_JUN,3,1.5,0.005,0.12045223793322712,-0.06149901528583146,0.001209919017842426,-2.02023703,6
JAN_JUN,3,2,0.0025,0.04661792744619242,-0.034531375885690885,0.0004847228088681383,-2.27402092,7
JAN_JUN,3,2,0.005,0.0921945611476016,-0.06798503560784597,0.0009381811808669099,-2.27402092,7
JAN_JUN,3,2.5,0.0025,0.03331880129188369,-0.03787065604535178,0.0003486782921083423,-2.52780481,16
JAN_JUN,3,2.5,0.005,0.06463902870796723,-0.07442814653414354,0.0006663383141262899,-2.52780481,16
JAN_JUN,3,3,0.0025,0.020186137103542334,-0.04259380516311617,0.00021260742557234686,-2.7815887000000004,16
JAN_JUN,3,3,0.005,0.037768452738406344,-0.08373018354651818,0.0003943903114913109,-2.7815887000000004,16
JAN_JUN,5,0,0.0025,0.08490752263025403,-0.020736953105661038,0.0008669654336284584,-1.77362916,7
JAN_JUN,5,0,0.005,0.1722912427783354,-0.041138411259994956,0.0016910655419973847,-1.77362916,7
JAN_JUN,5,0.5,0.0025,0.0691468098175223,-0.024517646963459816,0.0007112867702101822,-2.1380340049999997,7
JAN_JUN,5,0.5,0.005,0.13853623634328516,-0.04853218684771776,0.001380249299577971,-2.1380340049999997,7
JAN_JUN,5,1,0.0025,0.053611352463630135,-0.028284452570497165,0.000555570705493617,-2.50243885,7
JAN_JUN,5,1,0.005,0.1057376982993623,-0.05587170413450149,0.001069284175475538,-2.50243885,7
JAN_JUN,5,1.5,0.0025,0.03829798346649471,-0.03203741842129659,0.0003998172146403692,-2.866843695,7
JAN_JUN,5,1.5,0.005,0.07386895995514586,-0.06315734166557307,0.0007581699726356566,-2.866843695,7
JAN_JUN,5,2,0.0025,0.02320357952708063,-0.03661169402801079,0.00024402627278072617,-3.23124854,7
JAN_JUN,5,2,0.005,0.04290408425967307,-0.07219402605324454,0.0004469064935085612,-3.23124854,7
JAN_JUN,5,2.5,0.0025,0.00832506055349147,-0.04745843995072008,8.819785501359361e-05,-3.5956533850000003,9
JAN_JUN,5,2.5,0.005,0.012817846054454352,-0.09297128835576851,0.00013549354004720144,-3.5956533850000003,9
JAN_JUN,5,3,0.0025,-0.006340610926934387,-0.05818583470691452,-6.766806359356634e-05,-3.96005823,10
JAN_JUN,5,3,0.005,-0.016414287150105733,-0.113293697167133,-0.00017606908629471912,-3.96005823,10
JAN_JUN,7,0,0.0025,0.11953638040693582,-0.022428221415050298,0.0012012197185366444,-1.6093452200000002,5
JAN_JUN,7,0,0.005,0.24558063705861466,-0.044451085272811386,0.0023361893228198375,-1.6093452200000002,5
JAN_JUN,7,0.5,0.0025,0.10199962489319825,-0.026607668805814333,0.0010332592589719987,-1.959035125,7
JAN_JUN,7,0.5,0.005,0.20695504390590136,-0.05260904687280088,0.002001071226373977,-1.959035125,7
JAN_JUN,7,1,0.0025,0.08473311113272186,-0.030770079975976583,0.0008652550660788848,-2.3087250299999997,10
JAN_JUN,7,1,0.005,0.16950814204018871,-0.06070059005063677,0.001665779457465721,-2.3087250299999997,10
JAN_JUN,7,1.5,0.0025,0.06773274255757378,-0.03491552103900142,0.0006972071082077311,-2.658414935,16
JAN_JUN,7,1.5,0.005,0.13320453853855718,-0.06872622973746101,0.0013303137662790832,-2.658414935,16
JAN_JUN,7,2,0.0025,0.050994483683041825,-0.03904405786445819,0.0005291153536653625,-3.00810484,16
JAN_JUN,7,2,0.005,0.09800988614023742,-0.0766864770686757,0.000994673902313951,-3.00810484,16
JAN_JUN,7,2.5,0.0025,0.03451435921180446,-0.04606568033752667,0.00036097977071490573,-3.357794745,16
JAN_JUN,7,2.5,0.005,0.06389085285249374,-0.0904372038961122,0.0006588596143831643,-3.357794745,16
JAN_JUN,7,3,0.0025,0.018288453151018347,-0.05758468059569666,0.00019280032757569573,-3.70748465,16
JAN_JUN,7,3,0.005,0.030815092425640733,-0.11227317592083119,0.00032287065060958227,-3.70748465,16
JAN_JUN,10,0,0.0025,0.13034031546592573,-0.022981998948992777,0.0013033909735380156,-1.57488712,7
JAN_JUN,10,0,0.005,0.2651089467181056,-0.04553658055733678,0.002501683429349636,-1.57488712,7
JAN_JUN,10,0.5,0.0025,0.11205559795651743,-0.028662018944242695,0.0011298956674559654,-1.86184427,7
JAN_JUN,10,0.5,0.005,0.22460931753184,-0.05665287084032611,0.002155551794315567,-1.86184427,7
JAN_JUN,10,1,0.0025,0.094061894521702,-0.03472540510912392,0.0009563540291984846,-2.15737939,12
JAN_JUN,10,1,0.005,0.18538568775215736,-0.06840018371191303,0.0018092361332762259,-2.15737939,12
JAN_JUN,10,1.5,0.0025,0.07635464841033235,-0.040752349203516,0.0007827660247677745,-2.4529145100000003,16
JAN_JUN,10,1.5,0.005,0.14739849403536853,-0.08000661366746475,0.0014627361774778214,-2.4529145100000003,16
JAN_JUN,10,2,0.0025,0.05892937306187407,-0.04990305188610189,0.0006091316201198092,-2.7484496299999996,16
JAN_JUN,10,2,0.005,0.11060938013819177,-0.09760379935822128,0.0011160516574387127,-2.7484496299999996,16
JAN_JUN,10,2.5,0.0025,0.04178165104287501,-0.06180817102194924,0.0004354507811642391,-3.04398475,16
JAN_JUN,10,2.5,0.005,0.07498116067971772,-0.1200879700595755,0.0007691823029464149,-3.04398475,16
JAN_JUN,10,3,0.0025,0.024907132999278492,-0.07356747690788701,0.00026172347376429575,-3.33951987,16
JAN_JUN,10,3,0.005,0.04047778597373042,-0.1420243837936972,0.00042212784305458643,-3.33951987,16
JUL_AUG,1,0,0.0025,0.004471489820842223,-0.005580212302028098,0.00017846089647866745,-1.15843226,2
JUL_AUG,1,0,0.005,0.008892112731598845,-0.011162851176701016,0.0003541124284274749,-1.15843226,2
JUL_AUG,1,0.5,0.0025,0.0020098911731156743,-0.006974706271458464,8.03149617682345e-05,-1.23809482,2
JUL_AUG,1,0.5,0.005,0.003954729008076141,-0.013934585302933566,0.0001578771849407159,-1.23809482,2
JUL_AUG,1,1,0.0025,-0.00044594695078703506,-0.008367409797092495,-1.7841856587989847e-05,-1.31775738,2
JUL_AUG,1,1,0.005,-0.0009595782825833066,-0.016699204790717515,-3.8401558902346035e-05,-1.31775738,2
JUL_AUG,1,1.5,0.0025,-0.002896037402256413,-0.009916862663628567,-0.00011600956130348497,-1.3974199400000002,4
JUL_AUG,1,1.5,0.005,-0.005850911974529915,-0.01977190942662088,-0.00023472382477769498,-1.3974199400000002,4
JUL_AUG,1,2,0.0025,-0.005340393005402233,-0.011519649382568331,-0.00021418815509286347,-1.4770825,4
JUL_AUG,1,2,0.005,-0.010719374465797848,-0.02294434885071206,-0.00043108963437940334,-1.4770825,4
JUL_AUG,1,2.5,0.0025,-0.007779026557107271,-0.013120029240304865,-0.0003123776406718718,-1.6040080200000002,4
JUL_AUG,1,2.5,0.005,-0.015565067720052839,-0.02610726255241902,-0.0006274990094196543,-1.6040080200000002,4
JUL_AUG,1,3,0.0025,-0.010211950827079153,-0.0149031809780924,-0.0004105780207573908,-1.7392527500000001,4
JUL_AUG,1,3,0.005,-0.020388093268347895,-0.02964236384304475,-0.0008239519716287633,-1.7392527500000001,4
JUL_AUG,3,0,0.0025,-0.003980844413600915,-0.014887996946807536,-0.00015955156264066801,-1.5325416,4
JUL_AUG,3,0,0.005,-0.008045043496321624,-0.02959378652491773,-0.0003231031791402282,-1.5325416,4
JUL_AUG,3,0.5,0.0025,-0.008732415286950346,-0.018032841910048725,-0.0003508306501170962,-1.7846134750000002,5
JUL_AUG,3,0.5,0.005,-0.017484352126213576,-0.03579799142010409,-0.000705560351058073,-1.7846134750000002,5
JUL_AUG,3,1,0.0025,-0.013462444606386126,-0.02185104564165319,-0.0005421553965809029,-2.03668535,9
JUL_AUG,3,1,0.005,-0.02683827698334995,-0.0432862748249897,-0.0010881999960758698,-2.03668535,9
JUL_AUG,3,1.5,0.0025,-0.01817102501107004,-0.025655249789358514,-0.0007335258273735836,-2.288757225,9
JUL_AUG,3,1.5,0.005,-0.03610755089730655,-0.05071970596343023,-0.001471022316661823,-2.288757225,9
JUL_AUG,3,2,0.0025,-0.022858248763003797,-0.029573823054737325,-0.0009249419678599456,-2.5408291000000003,10
JUL_AUG,3,2,0.005,-0.045292900741601194,-0.058347727105130476,-0.0018540275156566845,-2.5408291000000003,10
