delay_minutes,entry_improvement_mean,days,bootstrap_B,ci95_low,ci95_high,ci98333_low,ci98333_high
1,-0.5497676905765146,124,10000,-1.1844295523631008,0.08414535287763869,-1.3240594855150454,0.231118760722835
3,-0.8285742199633369,124,10000,-1.8349472636937223,0.11592121910718287,-2.0518173805710007,0.3306576728751258
5,-1.2377036456644321,124,10000,-2.6703764795775657,0.028433947243012084,-2.9983737515873274,0.2855461716881916
