month,delay_minutes,gross_n,gross_mean,gross_median,gross_trim10,gross_exbest1,gross_extop3,gross_extop5,gross_worst1,gross_worst3_sum,gross_pf,gross_positive,gross_negative,inc_mean
2026.01,0,39,7.001167958457304,1.1908533475331256,3.1143555114792956,5.014799992278668,1.4237237372405667,-0.9739884588855467,-18.71186710593034,-51.519677338156356,2.9464622865195578,0.5128205128205128,0.48717948717948717,0.0
2026.02,0,47,14.206068426047244,3.769944456151328,5.347880426768348,9.55117408810708,4.2859359027877435,2.447807319507208,-23.6853247705071,-52.60259618853435,5.885299104784663,0.5957446808510638,0.40425531914893614,0.0
2026.03,0,61,-0.9621410606164835,0.9382061498420113,0.06874126021731966,-1.9227623170103378,-3.2660056772133803,-4.243581380114419,-77.80794147805737,-163.7154304749726,0.8667785570820855,0.5737704918032787,0.4262295081967213,0.0
2026.04,0,66,-2.7762916646368767,-2.66899598125931,-3.0194634009609325,-3.4414321752502106,-4.102477209253632,-4.584395305062908,-28.77688674436625,-76.32890165465119,0.4673754216665757,0.30303030303030304,0.696969696969697,0.0
2026.05,0,66,0.4840686502392161,1.1271023799821662,0.35052273037912157,-0.14211711608673494,-1.244830740226704,-1.9477301366807758,-41.23863093990129,-90.1381278868857,1.0977621426126583,0.5454545454545454,0.45454545454545453,0.0
2026.06,0,63,2.9587203947803142,3.9866909712736236,3.6990980186473004,2.534919528302699,1.739939990256013,1.111127450581386,-49.8034833538848,-98.03413630808635,1.8367457754390781,0.6666666666666666,0.3333333333333333,0.0
2026.07,0,57,-0.29792171702826553,0.9338995713895175,-0.3291678704267895,-0.691705123678798,-1.3828172467164335,-1.9023963762161182,-22.664482530989417,-54.730799498536044,0.9194008391209312,0.543859649122807,0.45614035087719296,0.0
2026.08,0,31,2.809145179202324,1.8287460357877814,3.0047883761199174,2.102265496626081,0.7355568748375434,-0.6823103564458519,-26.807740677642332,-54.52411690754673,1.9202396279252731,0.6129032258064516,0.3870967741935484,0.0
2026.01,1,39,5.6798049122062535,1.3524213796004485,4.091057260374135,4.249120264676593,2.1614720934021348,0.3629367690941571,-26.675644877239076,-57.191894229869575,2.6731888028451563,0.5384615384615384,0.46153846153846156,-1.3213630462510504
2026.02,1,47,12.670152087472262,1.3529419723184557,4.67352076641616,8.6574525468906,4.137229525070506,1.8907339192579637,-17.308365845910746,-43.57815768908728,5.593339470288845,0.5106382978723404,0.48936170212765956,-1.5359163385749808
2026.03,1,61,-0.3236271749252852,-0.41994036846775035,0.4480297207077973,-1.2063126130151394,-2.649302023197925,-3.596282022718205,-71.00259511835088,-167.77555120737173,0.953162363761569,0.4918032786885246,0.5081967213114754,0.6385138856911983
2026.04,1,66,-4.630822342074903,-3.418910553594761,-4.114966540413799,-5.268740569951274,-5.856778440719914,-6.3186565799441095,-34.06865204171969,-95.34463209366541,0.26945838742463074,0.3181818181818182,0.6818181818181818,-1.8545306774380266
2026.05,1,66,-0.1592663890840937,0.5098879461601482,-0.5374317308143947,-0.7923383125694864,-1.81137252631092,-2.4452874383853906,-38.77576503536291,-79.64678612724083,0.9646148955995846,0.5151515151515151,0.4696969696969697,-0.6433350393233097
