opportunity,time,partition,deadline_minutes,delay_minutes,entry_bid,exit_ask,gross_executable_bps,control_bps,incremental_bps,entry_improvement_original_bps,entry_delay_ms
1767803400041_CTXSELL,2026.01.07 16:30:00,JAN_JUN,10,1,4449.75,4441.22,19.169616270576427,7.71714308213106,11.452473188445367,11.474469305795425,86
1767803400041_CTXSELL,2026.01.07 16:30:00,JAN_JUN,10,3,4444.7,4441.22,7.829549800885467,7.71714308213106,0.11240671875440711,0.11249479711604267,30
1767803400041_CTXSELL,2026.01.07 16:30:00,JAN_JUN,10,5,4449.39,4441.22,18.36206760926795,7.71714308213106,10.64492452713689,10.664506766563603,37
1767804000018_CTXSELL,2026.01.07 16:40:00,JAN_JUN,10,0,4441.04,4442.95,-4.300794408516596,-4.300794408516596,0.0,0.0,0
1767804000018_CTXSELL,2026.01.07 16:40:00,JAN_JUN,10,1,4442.43,4442.95,-1.170530542967536,-4.300794408516596,3.13026386554906,3.1298975014868757,88
1767804000018_CTXSELL,2026.01.07 16:40:00,JAN_JUN,10,3,4440.05,4442.95,-6.531457979075993,-4.300794408516596,-2.230663570559397,-2.2292075730004273,4
1767804000018_CTXSELL,2026.01.07 16:40:00,JAN_JUN,10,5,4444.21,4442.95,2.835149554139472,-4.300794408516596,7.135943962656068,7.13796768324553,62
1767816300014_CTXSELL,2026.01.07 20:05:00,JAN_JUN,10,0,4450.59,4450.06,1.1908533475331256,1.1908533475331256,0.0,0.0,0
1767816300014_CTXSELL,2026.01.07 20:05:00,JAN_JUN,10,1,4451.93,4450.06,4.200425433463444,1.1908533475331256,3.0095720859303183,3.0108367654628836,44
1767816300014_CTXSELL,2026.01.07 20:05:00,JAN_JUN,10,3,4451.4,4450.06,3.01028889787311,1.1908533475331256,1.8194355503399846,1.8199834179277143,17
1767816300014_CTXSELL,2026.01.07 20:05:00,JAN_JUN,10,5,4450.21,4450.06,0.33706274535277253,1.1908533475331256,-0.853790602180353,-0.8538193812508209,74
1767827400165_CTXSELL,2026.01.07 23:10:00,JAN_JUN,10,0,4452.91,4454.15,-2.7846958505781205,-2.7846958505781205,0.0,0.0,0
1767827400165_CTXSELL,2026.01.07 23:10:00,JAN_JUN,10,1,4453.32,4454.15,-1.8637780352634155,-2.7846958505781205,0.9209178153147051,0.9207462086587299,227
1767827400165_CTXSELL,2026.01.07 23:10:00,JAN_JUN,10,3,4454.08,4454.15,-0.1571592786831601,-2.7846958505781205,2.6275365718949604,2.627495278368691,1346
1767827400165_CTXSELL,2026.01.07 23:10:00,JAN_JUN,10,5,4453.91,4454.15,-0.5388523791450248,-2.7846958505781205,2.245843471433096,2.245722460144041,15
1767866700025_CTXSELL,2026.01.08 10:05:00,JAN_JUN,10,0,4425.75,4425.97,-0.4970908885505387,-0.4970908885505387,0.0,0.0,0
1767866700025_CTXSELL,2026.01.08 10:05:00,JAN_JUN,10,1,4429.11,4425.97,7.089460410780989,-0.4970908885505387,7.586551299331528,7.591933570580518,74
1767866700025_CTXSELL,2026.01.08 10:05:00,JAN_JUN,10,3,4427.63,4425.97,3.7491841007488302,-0.4970908885505387,4.246274989299369,4.247867593063569,13
1767866700025_CTXSELL,2026.01.08 10:05:00,JAN_JUN,10,5,4432.44,4425.97,14.596926297929233,-0.4970908885505387,15.094017186479771,15.116082019995707,30
1767871200003_CTXSELL,2026.01.08 11:20:00,JAN_JUN,10,0,4426.51,4430.43,-8.85573510508295,-8.85573510508295,0.0,0.0,0
1767871200003_CTXSELL,2026.01.08 11:20:00,JAN_JUN,10,1,4428.08,4430.43,-5.3070405232072675,-8.85573510508295,3.548694581875682,3.546812274228927,63
1767871200003_CTXSELL,2026.01.08 11:20:00,JAN_JUN,10,3,4427.27,4430.43,-7.1375813989204495,-8.85573510508295,1.7181537061625,1.7169282346594004,36
1767871200003_CTXSELL,2026.01.08 11:20:00,JAN_JUN,10,5,4427.6,4430.43,-6.391724636371684,-8.85573510508295,2.4640104687112654,2.462436547076919,169
1767874800039_CTXSELL,2026.01.08 12:20:00,JAN_JUN,10,0,4424.39,4424.79,-0.90407943241811,-0.90407943241811,0.0,0.0,0
1767874800039_CTXSELL,2026.01.08 12:20:00,JAN_JUN,10,1,4424.54,4424.79,-0.5650304890451888,-0.90407943241811,0.33904894337292113,0.33902978715627735,25
1767874800039_CTXSELL,2026.01.08 12:20:00,JAN_JUN,10,3,4425.44,4424.79,1.4687805054404448,-0.90407943241811,2.372859937858555,2.3732085100980527,34
1767874800039_CTXSELL,2026.01.08 12:20:00,JAN_JUN,10,5,4425.96,4424.79,2.643494292763768,-0.90407943241811,3.547573725181878,3.548511772243651,242
1767878400132_CTXSELL,2026.01.08 13:20:00,JAN_JUN,10,0,4428.81,4426.53,5.14810976312069,5.14810976312069,0.0,0.0,0
1767878400132_CTXSELL,2026.01.08 13:20:00,JAN_JUN,10,1,4428.56,4426.53,4.583882797118374,5.14810976312069,-0.564226966002316,-0.5644857196402645,31
1767878400132_CTXSELL,2026.01.08 13:20:00,JAN_JUN,10,3,4427.3,4426.53,1.7392089987135195,5.14810976312069,-3.4089007644071705,-3.4094937466276902,174
1767878400132_CTXSELL,2026.01.08 13:20:00,JAN_JUN,10,5,4425.8,4426.53,-1.6494193140213371,5.14810976312069,-6.797529077142027,-6.796408064469277,41
1767885000010_CTXSELL,2026.01.08 15:10:00,JAN_JUN,10,0,4418.68,4425.95,-16.452877329880252,-16.452877329880252,0.0,0.0,0
1767885000010_CTXSELL,2026.01.08 15:10:00,JAN_JUN,10,1,4418.63,4425.95,-16.56622075168029,-16.452877329880252,-0.11334342180003887,-0.11315596513026945,4
1767885000010_CTXSELL,2026.01.08 15:10:00,JAN_JUN,10,3,4419.76,4425.95,-14.005285354859991,-16.452877329880252,2.447591975020261,2.4441688468047635,11
1767885000010_CTXSELL,2026.01.08 15:10:00,JAN_JUN,10,5,4420.51,4425.95,-12.30627235318911,-16.452877329880252,4.146604976691142,4.14150832375263,20
1767888900003_CTXSELL,2026.01.08 16:15:00,JAN_JUN,10,0,4423.48,4429.1,-12.704929150806155,-12.704929150806155,0.0,0.0,0
1767888900003_CTXSELL,2026.01.08 16:15:00,JAN_JUN,10,1,4422.93,4429.1,-13.950028600950212,-12.704929150806155,-1.2450994501440569,-1.2433649524792076,26
1767888900003_CTXSELL,2026.01.08 16:15:00,JAN_JUN,10,3,4423.66,4429.1,-12.297509302253134,-12.704929150806155,0.4074198485530207,0.4069194389943914,3
1767888900003_CTXSELL,2026.01.08 16:15:00,JAN_JUN,10,5,4427.37,4429.1,-3.907511683009265,-12.704929150806155,8.79741746779689,8.793981209365313,39
1768271400116_CTXSELL,2026.01.13 02:30:00,JAN_JUN,10,0,4588.31,4585.48,6.167848292728339,6.167848292728339,0.0,0.0,0
1768271400116_CTXSELL,2026.01.13 02:30:00,JAN_JUN,10,1,4589.39,4585.48,8.519650759688682,6.167848292728339,2.3518024669603435,2.353807829026215,44
1768271400116_CTXSELL,2026.01.13 02:30:00,JAN_JUN,10,3,4589.12,4585.48,7.9318039188348255,6.167848292728339,1.7639556261064868,1.76535587176867,86
