view,arm,partition,n,mean,median,positive_rate,negative_rate,trim10,exbest1,extop3,extop5,worst1,stddev,event_days,ci95_low,ci95_high,ci98333_low,ci98333_high
COMMON_DEADLINE,CONTROL,ALL,430,2.295941372818686,1.025898833142,0.5372093023255814,0.4627906976744186,0.7726202914473604,1.7690526394889046,1.1687342808910657,0.8258132384818189,-77.807941478057,20.782346143695314,124,0.16133431317980354,4.753477948958858,-0.2382041008711788,5.384957477591222
COMMON_DEADLINE,DELAY_1,ALL,430,1.7480140886328839,0.476918488051,0.5162790697674419,0.4790697674418605,0.6080805518630552,1.2922884082934987,0.7865338091733793,0.5305969140594047,-71.002595118351,18.842875981068193,124,-0.22235153293109933,4.01476972852452,-0.6169267587039242,4.556958997501833
COMMON_DEADLINE,DELAY_3,ALL,430,1.4691274571257582,7.630804049999981e-05,0.5,0.5,0.5024596423078547,1.0881120825376922,0.5912226872944825,0.32671753691672234,-58.960501766887,16.46998555523497,124,-0.1818516882257506,3.296222353592569,-0.5103094079827654,3.712348536265399
COMMON_DEADLINE,DELAY_5,ALL,430,1.059055683856963,-0.0988143506115,0.4930232558139535,0.5046511627906977,0.36214081221888955,0.7092677712144428,0.4564089321231757,0.22113249286955766,-58.233144686225,13.45533223862584,124,-0.39755377834572136,2.639786556358438,-0.6882622108546098,3.0492627918213575
COMMON_DEADLINE,CONTROL,JAN_JUN,342,2.681733414115117,0.989272362356,0.5292397660818714,0.47076023391812866,0.8174006252905621,2.02000474972456,1.2653320804006492,0.8334381711279168,-77.807941478057,22.734371731395797,93,0.0908639277940203,5.700568972810111,-0.37180261569652356,6.446358222619488
COMMON_DEADLINE,DELAY_1,JAN_JUN,342,1.8134736779683656,0.223483371752,0.5058479532163743,0.48830409356725146,0.3399916320230291,1.2403333340497127,0.6029848857524306,0.2791264932590148,-71.002595118351,20.599023851082993,93,-0.617139549883814,4.5881027129973955,-1.0801789868923648,5.217148118833041
COMMON_DEADLINE,DELAY_3,JAN_JUN,342,1.4372184295809123,-0.4614547887605,0.47953216374269003,0.52046783625731,0.24864051955824812,0.9577829318512199,0.3311385953608849,-0.0039796749489525544,-58.960501766887,18.02848276245524,93,-0.5603609836052704,3.638005277331306,-0.987312572720028,4.141942832547497
COMMON_DEADLINE,DELAY_5,JAN_JUN,342,1.167743331088728,-0.16432420509950002,0.49122807017543857,0.5058479532163743,0.39134125788031027,0.728006302125651,0.40961914215471085,0.11262784760656676,-58.233144686225,14.607980854154041,93,-0.6090599110233055,3.1052215146671585,-0.9786091984204387,3.593789366690893
COMMON_DEADLINE,CONTROL,JUL_AUG,88,0.7966132123257386,1.1776623433164999,0.5681818181818182,0.4318181818181818,0.5994617886303472,0.5297290463008621,0.031477082753905906,-0.47947976348493976,-26.807740677642,10.053018143678432,31,-1.42036717369316,3.411811787752025,-1.8363889811289045,4.032861584367155
COMMON_DEADLINE,DELAY_1,JUL_AUG,88,1.4936143209881705,1.7221442942965,0.5568181818181818,0.4431818181818182,1.5956006650665555,1.2502103936564828,0.798952314517153,0.3837507136993735,-25.115551099264,9.357490339600377,31,-0.5012734461507802,3.8619334169037445,-0.8751205433162648,4.438539923392973
COMMON_DEADLINE,DELAY_3,JUL_AUG,88,1.5931375414477729,1.3616707322335,0.5795454545454546,0.42045454545454547,1.3437760061540696,1.3381015717002642,0.9098324072448706,0.5288374286750602,-21.139948758602,7.976322299082444,31,-0.21476573213570188,3.7949744650257093,-0.547024739164302,4.286428396764493
COMMON_DEADLINE,DELAY_5,JUL_AUG,88,0.6366559639335114,0.0733649104445,0.5,0.5,0.23038931212580557,0.33987096775026443,-0.11493359714476468,-0.48951157852854216,-18.093510214833,7.490936625079671,31,-0.8282714228728042,2.4757094412896863,-1.0991240963794455,2.9503530846434605
COMMON_DEADLINE,CONTROL,JAN_MAR,147,6.000273208887435,1.963123809855,0.564625850340136,0.43537414965986393,2.0569050236998234,4.47745858722711,2.7349646481590484,1.7306760404872605,-77.807941478057,31.120708917311262,40,0.8365316545967502,12.041398424121112,-0.04879800664422379,13.618482324148196
COMMON_DEADLINE,DELAY_1,JAN_MAR,147,5.423593755216279,1.216428738999,0.5102040816326531,0.4897959183673469,2.3106974678878234,4.109684596318932,2.6491122251505974,1.9093374111260564,-71.002595118351,27.580346280425875,40,0.864854000819891,10.71024554032867,-0.011739968310929032,12.022719859090632
COMMON_DEADLINE,DELAY_3,JAN_MAR,147,4.398362359765952,1.317431009531,0.5510204081632653,0.4489795918367347,1.5305718031668234,3.298866737878007,1.856156581918493,1.0823198134586338,-58.306751545405,23.87662673144476,40,0.6540023144200446,8.618555913853593,-0.06348723558413054,9.612493621105552
COMMON_DEADLINE,DELAY_5,JAN_MAR,147,3.7968965182187824,0.87991376845,0.5510204081632653,0.4489795918367347,1.7131312962296723,2.787847383360705,2.066919848168493,1.3854306590790775,-51.665562952834,18.819071744342477,40,0.46940366332448275,7.6013159606372565,-0.10074710784516352,8.54915551509905
COMMON_DEADLINE,CONTROL,APR_JUN,195,0.18006495344060003,0.130600020026,0.5025641025641026,0.49743589743589745,0.1663748987036624,-0.031306585260355645,-0.4402648871473698,-0.7629074593198737,-49.803483353885,12.844507395179484,53,-1.8421098016869408,2.2239894497890003,-2.3469461840317356,2.614845011960524
COMMON_DEADLINE,DELAY_1,APR_JUN,195,-0.9080014571877538,0.043533719043,0.5025641025641026,0.48717948717948717,-0.7080910312219236,-1.12397264324267,-1.5402323213846876,-1.8182153673206,-51.42533691424,12.49212611441131,53,-3.0057974990256926,1.1762955470364742,-3.4339827353404075,1.589192428666495
