view,arm,partition,metric,n,mean,median,positive_rate,negative_rate,trim10,exbest1,extop3,extop5,worst1,stddev,event_days,ci95_low,ci95_high,ci98333_low,ci98333_high
COMMON_DEADLINE,DELAY_1,ALL,gross_executable_bps,430,-0.5479272841858023,-0.10890225413749999,0.4790697674418605,0.5209302325581395,-0.11693744656593902,-0.6014108217034546,-0.6919837784338361,-0.7714290620819672,-38.928051906574005,6.538696088541486,124,-1.1807162182379616,0.08414267954942992,-1.3220253508094988,0.2322596332083694
COMMON_DEADLINE,DELAY_1,ALL,mae_bps,430,-0.28125590757670693,-0.31198070340800044,0.45813953488372094,0.541860465116279,-0.3912113589625377,-0.36897960562194165,-0.47357986059102103,-0.5587293645859105,-22.414739204278,5.493475609944577,124,-0.826027619744562,0.27452044776967727,-0.949991446795827,0.3962224808103694
COMMON_DEADLINE,DELAY_1,ALL,mfe_bps,430,-1.3527845260158096,-0.5441656420395005,0.4116279069767442,0.5767441860465117,-0.6903784712429827,-1.4013975727384804,-1.487365910791993,-1.5576452999998895,-38.926010021343004,6.5481672655943735,124,-2.030957312972914,-0.7035650783093413,-2.1806561030554263,-0.5754277678891583
COMMON_DEADLINE,DELAY_1,ALL,mae_atr,430,-0.02001268205045814,-0.03211919140050001,0.45813953488372094,0.541860465116279,-0.028859449270424418,-0.026597410735906764,-0.033934618734337244,-0.0396524412253153,-2.049797023004,0.39573843644054313,124,-0.06127141129957107,0.02176456059720869,-0.06937574842594406,0.031051303250651578
COMMON_DEADLINE,DELAY_1,ALL,mfe_atr,430,-0.09334412722860931,-0.043931476565999994,0.4116279069767442,0.5720930232558139,-0.05500727311640699,-0.09750075957693476,-0.10163286702590633,-0.10540874361990119,-4.040414507772001,0.451949598994804,124,-0.1426169614918158,-0.046689213178731495,-0.15268940268934547,-0.03852820821609763
COMMON_DEADLINE,DELAY_1,ALL,stop_r,430,-0.025906767240918605,-0.00464885819650003,0.46744186046511627,0.513953488372093,-0.01604366106612791,-0.03311305414081818,-0.0415587874945363,-0.04889099411275059,-2.819289878113,0.44247312430867874,124,-0.06482489968867934,0.014426734197154222,-0.07421819031204319,0.023454703843402775
COMMON_DEADLINE,DELAY_1,ALL,entry_improvement_price,430,-0.2682325581395279,-0.05,0.4790697674418605,0.5209302325581395,-0.05863372093022965,-0.29307692307691374,-0.33807962529273067,-0.37745882352940235,-18.79,3.0957622951730355,124,-0.5669036697247821,0.029444444444437192,-0.6319580419580093,0.09898454746136202
COMMON_DEADLINE,DELAY_1,ALL,entry_improvement_points,430,-26.823255813952994,-4.9999999999955005,0.4790697674418605,0.5209302325581395,-5.863372093024329,-29.307692307691674,-33.8079625292734,-37.74588235294066,-1878.999999999996,309.57622951730417,124,-56.69036697247635,2.9444444444453275,-63.19580419579997,9.898454746138292
COMMON_DEADLINE,DELAY_1,ALL,entry_improvement_bps,430,-0.5497676905765209,-0.108780293666,0.4790697674418605,0.5209302325581395,-0.11702755215285174,-0.6032853071654989,-0.6941893178997517,-0.773857932542953,-39.098345134971,6.551922546640901,124,-1.1844295523631088,0.08414535287765129,-1.3240594855150467,0.23111876072282184
COMMON_DEADLINE,DELAY_3,ALL,gross_executable_bps,430,-0.8268139156929278,-0.08535207953249996,0.4906976744186046,0.5046511627906977,-0.35810100307741577,-0.9137397460426784,-1.0791201520338782,-1.2384914264580846,-84.74922735871999,11.348628227580386,124,-1.8308700856977815,0.11564330550107003,-2.050868880027361,0.3292541815129061
