view,arm,partition,metric,n,mean,median,positive_rate,negative_rate,trim10,exbest1,extop3,extop5,worst1,stddev,stop_rate
COMMON_DEADLINE,CONTROL,ALL,mae_bps,430,10.137958512826826,7.317536346922999,1.0,0.0,8.411098547888589,9.972206538134214,9.738535589125929,9.538957797456993,0.099465274684,10.010908410796722,0.17674418604651163
COMMON_DEADLINE,CONTROL,ALL,mfe_bps,430,13.479550291863225,7.972619556994,0.9558139534883721,0.0,9.810886489418747,12.881615480630117,12.091536128594418,11.708312566275522,0.0,21.974457291616073,0.17674418604651163
COMMON_DEADLINE,CONTROL,ALL,mae_atr,430,0.7790869216813185,0.6234741721595001,1.0,0.0,0.6823052082826918,0.7693826696216574,0.7567083688448641,0.7472076709924,0.005729720881,0.656892950160029,0.17674418604651163
COMMON_DEADLINE,CONTROL,ALL,mfe_atr,430,0.9330864748297907,0.683486985233,0.9558139534883721,0.0,0.7743666381574098,0.8946884155044244,0.8626595659952787,0.8454503630042565,0.0,1.1898522557533928,0.17674418604651163
COMMON_DEADLINE,CONTROL,ALL,stop_r,430,0.059480220809832555,0.0463913792595,0.5186046511627908,0.4813953488372093,-0.018289698562194767,0.03216902670231935,0.013319658468255271,0.0026562554263576486,-1.358573388203,0.9648373057066417,0.17674418604651163
COMMON_DEADLINE,DELAY_1,ALL,mae_bps,430,9.856702605250119,6.9544578382335,1.0,0.0,8.011810631080834,9.706163711689603,9.458395479400307,9.23814981097536,0.082645481875,10.09213773755669,0.1813953488372093
COMMON_DEADLINE,DELAY_1,ALL,mfe_bps,430,12.126765765847415,7.517319329274001,0.9441860465116279,0.0,8.76058908044863,11.59780902797172,10.903177831190124,10.600147103231107,0.0,19.768116706876828,0.1813953488372093
COMMON_DEADLINE,DELAY_1,ALL,mae_atr,430,0.7590742396308604,0.5712691376145,1.0,0.0,0.6631715582626424,0.7487876510859698,0.7321499780924661,0.721184853878967,0.001610167055,0.6677890508358999,0.1813953488372093
COMMON_DEADLINE,DELAY_1,ALL,mfe_atr,430,0.8397423476011814,0.636812926695,0.9441860465116279,0.0,0.7032720289297936,0.8058907300926154,0.7771427417365832,0.763679863437953,0.0,1.0586140028892974,0.1813953488372093
COMMON_DEADLINE,DELAY_1,ALL,stop_r,430,0.033573453568913954,0.0072304000955,0.5023255813953489,0.4930232558139535,-0.026823855242752905,0.010013092482538464,-0.006414588340332552,-0.01590501668408941,-1.162091503268,0.8911717157425302,0.1813953488372093
COMMON_DEADLINE,DELAY_3,ALL,mae_bps,430,8.693400091852965,5.933717578722,1.0,0.0,7.136160545561355,8.550672568701664,8.297895645518059,8.099978048641995,0.339056067907,8.969858660511626,0.13953488372093023
COMMON_DEADLINE,DELAY_3,ALL,mfe_bps,430,10.490407231247156,5.842279503384,0.9511627906976744,0.0,7.567134914201951,9.987095402838998,9.393906774882609,9.092543205664466,0.0,17.745624656009426,0.13953488372093023
COMMON_DEADLINE,DELAY_3,ALL,mae_atr,430,0.6664720005437047,0.5352069769704999,1.0,0.0,0.5928089061540436,0.6545681096218251,0.6433305582981078,0.6358120300401034,0.020264365305,0.5646272061813963,0.13953488372093023
COMMON_DEADLINE,DELAY_3,ALL,mfe_atr,430,0.7219181370149884,0.48971156750449996,0.9511627906976744,0.0,0.5882381124476977,0.6953351620270117,0.6696313981530093,0.6555897682285717,0.0,0.9194247240208139,0.13953488372093023
COMMON_DEADLINE,DELAY_3,ALL,stop_r,430,0.014619749277827903,-0.028166276613,0.4813953488372093,0.5186046511627908,-0.032135398631543605,-0.0029501601133403283,-0.016852453407161596,-0.02662538922344471,-1.315338697119,0.7718760061194111,0.13953488372093023
COMMON_DEADLINE,DELAY_5,ALL,mae_bps,430,7.631799147930366,5.659056171175,1.0,0.0,6.275501703911166,7.503734095150874,7.271606564325141,7.118027300579149,0.076872666194,7.722313239592614,0.07906976744186046
COMMON_DEADLINE,DELAY_5,ALL,mfe_bps,430,8.642703024490658,4.796238988434,0.9209302325581395,0.0,6.101986288276613,8.167066331190288,7.844140726141644,7.548054234346204,0.0,14.822830701164321,0.07906976744186046
COMMON_DEADLINE,DELAY_5,ALL,mae_atr,430,0.5844096893421187,0.4736939522635,1.0,0.0,0.52017011658125,0.5724682517131702,0.5651755591052319,0.5587246644683718,0.001529386061,0.4937880849701348,0.07906976744186046
COMMON_DEADLINE,DELAY_5,ALL,mfe_atr,430,0.5928832234045976,0.41270621920649997,0.9209302325581395,0.0,0.477894863134564,0.575800743321324,0.5539733169426487,0.54109228612612,0.0,0.7208757919616058,0.07906976744186046
COMMON_DEADLINE,DELAY_5,ALL,stop_r,430,0.018633687849188372,-0.007010978224,0.4906976744186046,0.5069767441860465,-0.0037367636025406985,0.009512531883759905,-0.003020619675468386,-0.011821703816498825,-1.079456551473,0.618103993115181,0.07906976744186046
COMMON_DEADLINE,CONTROL,JAN_JUN,mae_bps,342,10.593787231436094,7.724196438089,1.0,0.0,8.709762548727317,10.386597294707293,10.094713183458351,9.845133936364483,0.099465274684,10.702280587435379,0.1695906432748538
