schema_version,run_id,original_event_time_msc,original_event_time,arm,exit_view,status,symbol,side,point,signal_m5_bar_time_msc,original_m15_bar_time_msc,m5_fast2,m5_slow2,m5_fast1,m5_slow1,original_context_fast,original_context_slow,original_context,original_bid,original_ask,original_atr,stop_distance,entry_target_msc,common_deadline_target_msc,observed_path_end_msc,entry_time_msc,entry_time,entry_tick_index,entry_delay_ms,entry_bid,entry_ask,entry_spread_points,entry_spread_bps,entry_improvement_price,entry_improvement_points,entry_improvement_bps,equal_hold_target_msc,exit_target_msc,entry_context,entry_context_bar_time_msc,entry_context_fast,entry_context_slow,exit_time_msc,exit_time,exit_tick_index,exit_delay_ms,exit_bid,exit_ask,holding_ms,gross_executable_bps,mid_return_bps,gross_r,mfe_bps,mae_bps,mfe_atr,mae_atr,best_ask,worst_ask,time_to_mfe_ms,time_to_mae_ms,ticks_scanned,max_tick_gap_ms,stop_price,stop_hit,risk_exit_time_msc,risk_exit_ask,stop_r,stop_time_msc,stop_through_price,net_bps_0,net_bps_0_5,net_bps_1,net_bps_1_5,net_bps_2
S31_V2,RamusenEA_s31_1767225600_37588,1767391200005,2026.01.02 22:00:00,CONTROL,COMMON_DEADLINE,OK,XAUUSD,SELL,0.010000000000,1767390900000,1767390300000,4320.528218351676,4320.483708286165,4320.058574681341,4320.274280260150,4329.490073133174,4346.478747610523,BEARISH,4318.180000000000,4318.280000000000,3.606428571428,4.508035714286,1767391200005,1767391800005,1767392160005,1767391200005,2026.01.02 22:00:00,0,0,4318.180000000000,4318.280000000000,9.999999999945,0.231576363462,0.000000000000,0.000000000000,0.000000000000,1767391800005,1767391800005,BEARISH,1767390300000,4329.490073133174,4346.478747610523,1767391800110,2026.01.02 22:10:00,5679,105,4319.280000000000,4319.480000000000,600105,-3.010527583378,-2.663128179832,-0.288373935433,1.852632359004,5.604212885985,0.221826104179,0.671023965142,4317.380000000000,4320.600000000000,25500,259092,5680,2357,4322.688035714285,NO,1767391800110,4319.480000000000,-0.288373935433,,0,-3.010527583378,-3.510527583378,-4.010527583378,-4.510527583378,-5.010527583378
S31_V2,RamusenEA_s31_1767225600_37588,1767391200005,2026.01.02 22:00:00,CONTROL,EQUAL_HOLD,OK,XAUUSD,SELL,0.010000000000,1767390900000,1767390300000,4320.528218351676,4320.483708286165,4320.058574681341,4320.274280260150,4329.490073133174,4346.478747610523,BEARISH,4318.180000000000,4318.280000000000,3.606428571428,4.508035714286,1767391200005,1767391800005,1767392160005,1767391200005,2026.01.02 22:00:00,0,0,4318.180000000000,4318.280000000000,9.999999999945,0.231576363462,0.000000000000,0.000000000000,0.000000000000,1767391800005,1767391800005,BEARISH,1767390300000,4329.490073133174,4346.478747610523,1767391800110,2026.01.02 22:10:00,5679,105,4319.280000000000,4319.480000000000,600105,-3.010527583378,-2.663128179832,-0.288373935433,1.852632359004,5.604212885985,0.221826104179,0.671023965142,4317.380000000000,4320.600000000000,25500,259092,5680,2357,4322.688035714285,NO,1767391800110,4319.480000000000,-0.288373935433,,0,-3.010527583378,-3.510527583378,-4.010527583378,-4.510527583378,-5.010527583378
S31_V2,RamusenEA_s31_1767225600_37588,1767391200005,2026.01.02 22:00:00,DELAY_1,COMMON_DEADLINE,OK,XAUUSD,SELL,0.010000000000,1767390900000,1767390300000,4320.528218351676,4320.483708286165,4320.058574681341,4320.274280260150,4329.490073133174,4346.478747610523,BEARISH,4318.180000000000,4318.280000000000,3.606428571428,4.508035714286,1767391260005,1767391800005,1767392160005,1767391260130,2026.01.02 22:01:00,656,125,4317.830000000000,4318.030000000000,19.999999999982,0.463184905730,-0.350000000000,-35.000000000036,-0.810526657065,1767391860130,1767391800005,BEARISH,1767390300000,4329.490073133174,4346.478747610523,1767391800110,2026.01.02 22:10:00,5679,105,4319.280000000000,4319.480000000000,539980,-3.821363972180,-3.358090566542,-0.366013071895,0.000000000000,6.415259516934,0.000000000000,0.768072885720,4317.830000000000,4320.600000000000,-1,198967,5024,2357,4322.338035714285,NO,1767391800110,4319.480000000000,-0.366013071895,,0,-3.821363972180,-4.321363972180,-4.821363972180,-5.321363972180,-5.821363972180
S31_V2,RamusenEA_s31_1767225600_37588,1767391200005,2026.01.02 22:00:00,DELAY_1,EQUAL_HOLD,OK,XAUUSD,SELL,0.010000000000,1767390900000,1767390300000,4320.528218351676,4320.483708286165,4320.058574681341,4320.274280260150,4329.490073133174,4346.478747610523,BEARISH,4318.180000000000,4318.280000000000,3.606428571428,4.508035714286,1767391260005,1767391800005,1767392160005,1767391260130,2026.01.02 22:01:00,656,125,4317.830000000000,4318.030000000000,19.999999999982,0.463184905730,-0.350000000000,-35.000000000036,-0.810526657065,1767391860130,1767391860130,BEARISH,1767390300000,4329.490073133174,4346.478747610523,1767391860557,2026.01.02 22:11:00,6402,427,4320.740000000000,4320.940000000000,600427,-7.202692093018,-6.739340378375,-0.689879183997,0.000000000000,8.221722485601,0.000000000000,0.984353337295,4317.830000000000,4321.380000000000,-1,591121,5747,2357,4322.338035714285,NO,1767391860557,4320.940000000000,-0.689879183997,,0,-7.202692093018,-7.702692093018,-8.202692093018,-8.702692093018,-9.202692093018
S31_V2,RamusenEA_s31_1767225600_37588,1767391200005,2026.01.02 22:00:00,DELAY_3,COMMON_DEADLINE,OK,XAUUSD,SELL,0.010000000000,1767390900000,1767390300000,4320.528218351676,4320.483708286165,4320.058574681341,4320.274280260150,4329.490073133174,4346.478747610523,BEARISH,4318.180000000000,4318.280000000000,3.606428571428,4.508035714286,1767391380005,1767391800005,1767392160005,1767391380038,2026.01.02 22:03:00,1825,33,4318.170000000000,4318.310000000000,14.000000000033,0.324206158065,-0.010000000000,-1.000000000022,-0.023157904488,1767391980038,1767391800005,BEARISH,1767390300000,4329.490073133174,4346.478747610523,1767391800110,2026.01.02 22:10:00,5679,105,4319.280000000000,4319.480000000000,420072,-3.033692513263,-2.639964429952,-0.290592196474,0.000000000000,5.627383822314,0.000000000000,0.673796791444,4318.210000000000,4320.600000000000,-1,79059,3855,2357,4322.678035714285,NO,1767391800110,4319.480000000000,-0.290592196474,,0,-3.033692513263,-3.533692513263,-4.033692513263,-4.533692513263,-5.033692513263
S31_V2,RamusenEA_s31_1767225600_37588,1767391200005,2026.01.02 22:00:00,DELAY_3,EQUAL_HOLD,OK,XAUUSD,SELL,0.010000000000,1767390900000,1767390300000,4320.528218351676,4320.483708286165,4320.058574681341,4320.274280260150,4329.490073133174,4346.478747610523,BEARISH,4318.180000000000,4318.280000000000,3.606428571428,4.508035714286,1767391380005,1767391800005,1767392160005,1767391380038,2026.01.02 22:03:00,1825,33,4318.170000000000,4318.310000000000,14.000000000033,0.324206158065,-0.010000000000,-1.000000000022,-0.023157904488,1767391980038,1767391980038,BEARISH,1767390300000,4329.490073133174,4346.478747610523,1767391980603,2026.01.02 22:13:00,7686,565,4321.020000000000,4321.220000000000,600565,-7.063177225538,-6.669383823041,-0.676569617746,0.000000000000,8.267391047596,0.000000000000,0.989898989899,4318.210000000000,4321.740000000000,-1,539775,5862,2357,4322.678035714285,NO,1767391980603,4321.220000000000,-0.676569617746,,0,-7.063177225538,-7.563177225538,-8.063177225538,-8.563177225538,-9.063177225538
S31_V2,RamusenEA_s31_1767225600_37588,1767391200005,2026.01.02 22:00:00,DELAY_5,COMMON_DEADLINE,OK,XAUUSD,SELL,0.010000000000,1767390900000,1767390300000,4320.528218351676,4320.483708286165,4320.058574681341,4320.274280260150,4329.490073133174,4346.478747610523,BEARISH,4318.180000000000,4318.280000000000,3.606428571428,4.508035714286,1767391500005,1767391800005,1767392160005,1767391500036,2026.01.02 22:05:00,3079,31,4318.760000000000,4318.940000000000,17.999999999938,0.416777614410,0.580000000000,57.999999999993,1.343158460277,1767392100036,1767391800005,BEARISH,1767390300000,4329.490073133174,4346.478747610523,1767391800110,2026.01.02 22:10:00,5679,105,4319.280000000000,4319.480000000000,300074,-1.667145199083,-1.227178531319,-0.159714795009,1.273513693746,3.936315053395,0.152505446623,0.471380471380,4318.210000000000,4320.460000000000,70542,17928,2601,2357,4323.268035714285,NO,1767391800110,4319.480000000000,-0.159714795009,,0,-1.667145199083,-2.167145199083,-2.667145199083,-3.167145199083,-3.667145199083
S31_V2,RamusenEA_s31_1767225600_37588,1767391200005,2026.01.02 22:00:00,DELAY_5,EQUAL_HOLD,OK,XAUUSD,SELL,0.010000000000,1767390900000,1767390300000,4320.528218351676,4320.483708286165,4320.058574681341,4320.274280260150,4329.490073133174,4346.478747610523,BEARISH,4318.180000000000,4318.280000000000,3.606428571428,4.508035714286,1767391500005,1767391800005,1767392160005,1767391500036,2026.01.02 22:05:00,3079,31,4318.760000000000,4318.940000000000,17.999999999938,0.416777614410,0.580000000000,57.999999999993,1.343158460277,1767392100036,1767392100036,BEARISH,1767390300000,4329.490073133174,4346.478747610523,1767392100128,2026.01.02 22:15:00,8652,92,4320.000000000000,4320.200000000000,600092,-3.334290398169,-2.894288988967,-0.319429590018,1.273513693746,6.900128740656,0.152505446623,0.826302238067,4318.210000000000,4321.740000000000,70542,419777,5574,2806,4323.268035714285,NO,1767392100128,4320.200000000000,-0.319429590018,,0,-3.334290398169,-3.834290398169,-4.334290398169,-4.834290398169,-5.334290398169
S31_V2,RamusenEA_s31_1767225600_37588,1767765900054,2026.01.07 06:05:00,CONTROL,COMMON_DEADLINE,OK,XAUUSD,SELL,0.010000000000,1767765600000,1767764700000,4476.455762231505,4476.343463922793,4475.784609785204,4476.048603566176,4479.220002981468,4479.256297309420,BEARISH,4473.100000000000,4473.260000000000,3.528571428571,4.410714285714,1767765900054,1767766500054,1767766860054,1767765900054,2026.01.07 06:05:00,0,0,4473.100000000000,4473.260000000000,15.999999999985,0.357687372294,0.000000000000,0.000000000000,0.000000000000,1767766500054,1767766500054,BEARISH,1767764700000,4479.220002981468,4479.256297309420,1767766500136,2026.01.07 06:15:00,5895,82,4470.380000000000,4470.560000000000,600082,5.678388589569,6.058329868237,0.575870445344,8.226956696699,1.833180568285,1.042914979757,0.232388663968,4469.420000000000,4473.920000000000,549407,22272,5896,3559,4477.510714285715,NO,1767766500136,4470.560000000000,0.575870445344,,0,5.678388589569,5.178388589569,4.678388589569,4.178388589569,3.678388589569
S31_V2,RamusenEA_s31_1767225600_37588,1767765900054,2026.01.07 06:05:00,CONTROL,EQUAL_HOLD,OK,XAUUSD,SELL,0.010000000000,1767765600000,1767764700000,4476.455762231505,4476.343463922793,4475.784609785204,4476.048603566176,4479.220002981468,4479.256297309420,BEARISH,4473.100000000000,4473.260000000000,3.528571428571,4.410714285714,1767765900054,1767766500054,1767766860054,1767765900054,2026.01.07 06:05:00,0,0,4473.100000000000,4473.260000000000,15.999999999985,0.357687372294,0.000000000000,0.000000000000,0.000000000000,1767766500054,1767766500054,BEARISH,1767764700000,4479.220002981468,4479.256297309420,1767766500136,2026.01.07 06:15:00,5895,82,4470.380000000000,4470.560000000000,600082,5.678388589569,6.058329868237,0.575870445344,8.226956696699,1.833180568285,1.042914979757,0.232388663968,4469.420000000000,4473.920000000000,549407,22272,5896,3559,4477.510714285715,NO,1767766500136,4470.560000000000,0.575870445344,,0,5.678388589569,5.178388589569,4.678388589569,4.178388589569,3.678388589569
